epoch (ms),time (-07:00),elapsed (s),Pressure (Pa)
1612377624209,2021-02-03T18:41:04.714Z,45.657,99486.66889880953
1612377624248,2021-02-03T18:41:04.717Z,45.696000000000005,99486.66889880953
1612377624288,2021-02-03T18:41:04.719Z,45.736000000000004,99486.66889880953
1612377624327,2021-02-03T18:41:04.730Z,45.775,99486.66889880953
1612377624367,2021-02-03T18:41:04.732Z,45.815,99486.66889880953
1612377624407,2021-02-03T18:41:04.744Z,45.855,99486.66889880953
1612377624446,2021-02-03T18:41:04.747Z,45.894,99486.66889880953
1612377624486,2021-02-03T18:41:04.748Z,45.934,99486.66889880953
1612377624525,2021-02-03T18:41:04.758Z,45.973,99486.66889880953
1612377624565,2021-02-03T18:41:04.761Z,46.013000000000005,99486.66889880953
1612377624606,2021-02-03T18:41:04.763Z,46.053999999999995,99486.66889880953
1612377624645,2021-02-03T18:41:04.789Z,46.093,99486.00483630953
1612377624685,2021-02-03T18:41:04.791Z,46.133,99486.00483630953
1612377624724,2021-02-03T18:41:04.794Z,46.172,99486.66889880953
1612377624764,2021-02-03T18:41:04.820Z,46.211999999999996,99486.66889880953
1612377624803,2021-02-03T18:41:04.822Z,46.251000000000005,99486.66889880953
1612377624843,2021-02-03T18:41:04.824Z,46.291000000000004,99486.66889880953
1612377624883,2021-02-03T18:41:04.850Z,46.331,99486.66889880953
1612377624922,2021-02-03T18:41:04.852Z,46.37,99486.66889880953
1612377624962,2021-02-03T18:41:04.863Z,46.41,99486.66889880953
1612377625001,2021-02-03T18:41:04.865Z,46.449,99486.66889880953
1612377625041,2021-02-03T18:41:04.868Z,46.489,99486.66889880953
1612377625082,2021-02-03T18:41:04.879Z,46.53,99486.66889880953
1612377625121,2021-02-03T18:41:04.881Z,46.568999999999996,99486.66889880953
1612377625161,2021-02-03T18:41:04.884Z,46.608999999999995,99486.66889880953
1612377625200,2021-02-03T18:41:04.895Z,46.648,99486.66889880953
1612377625240,2021-02-03T18:41:04.897Z,46.688,99486.66889880953
1612377625280,2021-02-03T18:41:04.899Z,46.728,99486.66889880953
1612377625319,2021-02-03T18:41:04.911Z,46.766999999999996,99486.66889880953
1612377625359,2021-02-03T18:41:04.912Z,46.806999999999995,99486.66889880953
1612377625398,2021-02-03T18:41:04.925Z,46.846000000000004,99487.34077380953
1612377625438,2021-02-03T18:41:04.927Z,46.886,99487.34077380953
1612377625477,2021-02-03T18:41:04.939Z,46.925,99487.34077380953
1612377625517,2021-02-03T18:41:04.941Z,46.965,99487.34077380953
1612377625558,2021-02-03T18:41:04.943Z,47.006,99487.34077380953
1612377625597,2021-02-03T18:41:04.969Z,47.045,99487.34077380953
1612377625637,2021-02-03T18:41:04.972Z,47.085,99487.34077380953
1612377625677,2021-02-03T18:41:04.974Z,47.125,99487.34077380953
1612377625716,2021-02-03T18:41:04.985Z,47.163999999999994,99487.34077380953
1612377625756,2021-02-03T18:41:04.987Z,47.20399999999999,99487.34077380953
1612377625795,2021-02-03T18:41:04.998Z,47.243,99487.34077380953
1612377625835,2021-02-03T18:41:05.000Z,47.283,99487.34077380953
1612377625874,2021-02-03T18:41:05.002Z,47.321999999999996,99487.34077380953
1612377625914,2021-02-03T18:41:05.013Z,47.361999999999995,99487.34077380953
1612377625953,2021-02-03T18:41:05.030Z,47.401,99487.34077380953
1612377625994,2021-02-03T18:41:05.032Z,47.442,99487.34077380953
1612377626034,2021-02-03T18:41:05.043Z,47.482,99487.34077380953
1612377626074,2021-02-03T18:41:05.046Z,47.522,99487.34077380953
1612377626113,2021-02-03T18:41:05.049Z,47.56100000000001,99487.34077380953
1612377626153,2021-02-03T18:41:05.120Z,47.601000000000006,99487.34077380953
1612377626192,2021-02-03T18:41:05.122Z,47.64,99487.34077380953
1612377626232,2021-02-03T18:41:05.124Z,47.68,99487.34077380953
1612377626271,2021-02-03T18:41:05.135Z,47.718999999999994,99487.34077380953
1612377626311,2021-02-03T18:41:05.179Z,47.75899999999999,99487.34077380953
1612377626350,2021-02-03T18:41:05.182Z,47.798,99486.66889880953
1612377626390,2021-02-03T18:41:05.193Z,47.838,99486.66889880953
1612377626431,2021-02-03T18:41:05.195Z,47.879,99486.66889880953
1612377626470,2021-02-03T18:41:05.197Z,47.918,99486.66889880953
1612377626510,2021-02-03T18:41:05.209Z,47.958,99486.66889880953
1612377626550,2021-02-03T18:41:05.211Z,47.998000000000005,99486.66889880953
1612377626589,2021-02-03T18:41:05.213Z,48.037,99486.66889880953
1612377626629,2021-02-03T18:41:05.224Z,48.077,99486.66889880953
1612377626668,2021-02-03T18:41:05.227Z,48.11600000000001,99486.66889880953
1612377626708,2021-02-03T18:41:05.229Z,48.156000000000006,99486.66889880953
1612377626747,2021-02-03T18:41:05.240Z,48.195,99486.66889880953
1612377626787,2021-02-03T18:41:05.242Z,48.235,99486.66889880953
1612377626826,2021-02-03T18:41:05.268Z,48.273999999999994,99486.66889880953
1612377626866,2021-02-03T18:41:05.270Z,48.31399999999999,99486.66889880953
1612377626907,2021-02-03T18:41:05.272Z,48.355,99486.66889880953
1612377626947,2021-02-03T18:41:05.284Z,48.395,99486.00483630953
1612377626986,2021-02-03T18:41:05.286Z,48.434,99486.00483630953
1612377627026,2021-02-03T18:41:05.288Z,48.474,99486.00483630953
1612377627065,2021-02-03T18:41:05.299Z,48.513000000000005,99486.00483630953
1612377627105,2021-02-03T18:41:05.302Z,48.553000000000004,99486.00483630953
1612377627144,2021-02-03T18:41:05.304Z,48.592,99486.00483630953
1612377627184,2021-02-03T18:41:05.315Z,48.632,99486.00483630953
1612377627223,2021-02-03T18:41:05.317Z,48.67100000000001,99486.00483630953
1612377627263,2021-02-03T18:41:05.344Z,48.711000000000006,99486.00483630953
1612377627303,2021-02-03T18:41:05.346Z,48.751000000000005,99486.00483630953
1612377627344,2021-02-03T18:41:05.348Z,48.792,99486.00483630953
1612377627383,2021-02-03T18:41:05.373Z,48.831,99486.00483630953
1612377627423,2021-02-03T18:41:05.376Z,48.871,99486.00483630953
1612377627462,2021-02-03T18:41:05.378Z,48.91,99486.00483630953
1612377627502,2021-02-03T18:41:05.419Z,48.95,99486.00483630953
1612377627541,2021-02-03T18:41:05.421Z,48.989,99486.00483630953
1612377627581,2021-02-03T18:41:05.434Z,49.028999999999996,99486.00483630953
1612377627620,2021-02-03T18:41:05.435Z,49.068000000000005,99486.00483630953
1612377627660,2021-02-03T18:41:05.437Z,49.108000000000004,99486.00483630953
1612377627699,2021-02-03T18:41:05.448Z,49.147,99486.00483630953
1612377627739,2021-02-03T18:41:05.451Z,49.187,99486.00483630953
1612377627780,2021-02-03T18:41:05.453Z,49.228,99486.00483630953
1612377627820,2021-02-03T18:41:05.464Z,49.268,99486.00483630953
1612377627859,2021-02-03T18:41:05.466Z,49.306999999999995,99486.00483630953
1612377627899,2021-02-03T18:41:05.469Z,49.347,99486.00483630953
1612377627938,2021-02-03T18:41:05.480Z,49.386,99486.00483630953
1612377627978,2021-02-03T18:41:05.482Z,49.426,99486.00483630953
1612377628017,2021-02-03T18:41:05.493Z,49.465,99486.00483630953
1612377628057,2021-02-03T18:41:05.496Z,49.505,99486.00483630953
1612377628096,2021-02-03T18:41:05.498Z,49.544,99486.00483630953
1612377628136,2021-02-03T18:41:05.524Z,49.583999999999996,99486.00483630953
1612377628176,2021-02-03T18:41:05.526Z,49.623999999999995,99486.00483630953
1612377628215,2021-02-03T18:41:05.529Z,49.663000000000004,99486.00483630953
1612377628256,2021-02-03T18:41:05.540Z,49.70399999999999,99486.00483630953
1612377628296,2021-02-03T18:41:05.542Z,49.744,99486.00483630953
1612377628335,2021-02-03T18:41:05.544Z,49.783,99486.00483630953
1612377628375,2021-02-03T18:41:05.563Z,49.823,99486.00483630953
1612377628414,2021-02-03T18:41:05.564Z,49.861999999999995,99486.00483630953
1612377628454,2021-02-03T18:41:05.570Z,49.902,99486.00483630953
1612377628493,2021-02-03T18:41:05.572Z,49.941,99486.00483630953
1612377628533,2021-02-03T18:41:05.584Z,49.981,99486.00483630953
1612377628573,2021-02-03T18:41:05.586Z,50.021,99486.00483630953
1612377628612,2021-02-03T18:41:05.588Z,50.06,99486.00483630953
1612377628653,2021-02-03T18:41:05.599Z,50.101000000000006,99486.00483630953
1612377628693,2021-02-03T18:41:05.602Z,50.141000000000005,99486.00483630953
1612377628732,2021-02-03T18:41:05.604Z,50.18,99485.34077380953
1612377628772,2021-02-03T18:41:05.675Z,50.22,99485.34077380953
1612377628811,2021-02-03T18:41:05.678Z,50.25899999999999,99485.34077380953
1612377628851,2021-02-03T18:41:05.689Z,50.299,99485.34077380953
1612377628890,2021-02-03T18:41:05.691Z,50.338,99485.34077380953
1612377628930,2021-02-03T18:41:05.693Z,50.378,99485.34077380953
1612377628969,2021-02-03T18:41:05.735Z,50.417,99485.34077380953
1612377629009,2021-02-03T18:41:05.738Z,50.457,99485.34077380953
1612377629049,2021-02-03T18:41:05.750Z,50.497,99485.34077380953
1612377629088,2021-02-03T18:41:05.752Z,50.536,99485.34077380953
1612377629129,2021-02-03T18:41:05.763Z,50.577,99485.34077380953
1612377629169,2021-02-03T18:41:05.765Z,50.617,99485.34077380953
1612377629208,2021-02-03T18:41:05.767Z,50.656000000000006,99485.34077380953
1612377629248,2021-02-03T18:41:05.778Z,50.696000000000005,99485.34077380953
1612377629287,2021-02-03T18:41:05.781Z,50.735,99484.67671130953
1612377629327,2021-02-03T18:41:05.783Z,50.775,99484.67671130953
1612377629366,2021-02-03T18:41:05.794Z,50.81399999999999,99485.34077380953
1612377629406,2021-02-03T18:41:05.796Z,50.854,99485.34077380953
1612377629446,2021-02-03T18:41:05.825Z,50.894,99485.34077380953
1612377629485,2021-02-03T18:41:05.827Z,50.933,99485.34077380953
