epoch (ms),time (-07:00),elapsed (s),X-Axis (deg/s),Y-Axis (deg/s),Z-Axis (deg/s)
1612379861121,2021-02-03T19:22:04.889Z,0.057,-0.028883183375000954,0.6498716473579407,0.0882541760802269
1612379861162,2021-02-03T19:22:04.902Z,0.098,-0.27278563380241394,0.4669448137283325,0.6370346546173096
1612379861202,2021-02-03T19:22:04.917Z,0.138,-0.821566104888916,0.8937740921974182,0.0882541760802269
1612379861243,2021-02-03T19:22:04.931Z,0.179,-0.15083441138267517,1.3206032514572144,-0.09467265754938126
1612379861282,2021-02-03T19:22:04.933Z,0.218,-1.309370994567871,1.4425544738769531,0.14922977983951569
1612379861322,2021-02-03T19:22:04.948Z,0.258,-1.7971758842468262,0.8937740921974182,0.14922977983951569
1612379861363,2021-02-03T19:22:04.977Z,0.299,-0.9435173273086548,0.28401798009872437,-0.09467265754938126
1612379861404,2021-02-03T19:22:04.992Z,0.34,-1.1874197721481323,0.5888960361480713,-0.3385750949382782
1612379861454,2021-02-03T19:22:05.007Z,0.39,-1.6752245426177979,1.5035301446914673,-0.5824775695800781
1612379861493,2021-02-03T19:22:05.023Z,0.429,-1.6752245426177979,1.6864569187164307,-0.15564827620983124
1612379861534,2021-02-03T19:22:05.066Z,0.47,-2.2849807739257812,1.9913350343704224,0.21020539104938507
1612379861584,2021-02-03T19:22:05.082Z,0.52,-3.5654687881469727,3.454749822616577,1.2467907667160034
1612379861623,2021-02-03T19:22:05.111Z,0.559,-3.199615001678467,3.454749822616577,1.3687419891357422
1612379861664,2021-02-03T19:22:05.113Z,0.6,-2.833761215209961,2.296213150024414,0.5150834321975708
1612379861704,2021-02-03T19:22:05.143Z,0.64,-1.8581514358520508,0.5888960361480713,-0.3995507061481476
1612379861744,2021-02-03T19:22:05.157Z,0.68,-2.163029432296753,1.0767009258270264,-0.46052631735801697
1612379861785,2021-02-03T19:22:05.202Z,0.721,-1.9191269874572754,2.4181644916534424,-0.9483312368392944
1612379861824,2021-02-03T19:22:05.216Z,0.76,-2.163029432296753,3.149871826171875,-1.9849165678024292
1612379861865,2021-02-03T19:22:05.245Z,0.801,-2.4069318771362305,2.9059693813323975,-1.7410141229629517
1612379861905,2021-02-03T19:22:05.246Z,0.841,-2.7727856636047363,3.271822929382324,-1.8019896745681763
1612379861944,2021-02-03T19:22:05.247Z,0.88,-2.7118101119995117,4.7352375984191895,-1.9849165678024292
1612379861985,2021-02-03T19:22:05.277Z,0.921,-1.6142489910125732,8.942554473876953,-2.7166237831115723
1612379862025,2021-02-03T19:22:05.292Z,0.961,-2.2240052223205566,12.47913932800293,-6.923941135406494
1612379862066,2021-02-03T19:22:05.306Z,1.002,0.2759948670864105,12.540115356445312,-11.984916687011719
1612379862105,2021-02-03T19:22:05.308Z,1.041,3.141848564147949,12.784017562866211,-15.277599334716797
1612379862145,2021-02-03T19:22:05.323Z,1.081,5.641848564147949,9.125481605529785,-14.484916687011719
1612379862186,2021-02-03T19:22:05.353Z,1.122,6.2516045570373535,5.344993591308594,-9.545892715454102
1612379862226,2021-02-03T19:22:05.367Z,1.162,3.507702350616455,4.674262046813965,-8.69223403930664
1612379862267,2021-02-03T19:22:05.381Z,1.203,2.4101412296295166,4.918164253234863,-9.484916687011719
1612379862306,2021-02-03T19:22:05.383Z,1.242,4.849165916442871,6.747432708740234,-7.83857536315918
