epoch (ms),time (-07:00),elapsed (s),Pressure (Pa)
1612463914492,2021-02-04T18:40:12.788Z,0.276,99519.74776785714
1612463914569,2021-02-04T18:40:12.801Z,0.353,99520.91964285714
1612463914647,2021-02-04T18:40:12.815Z,0.431,99521.93526785714
1612463914725,2021-02-04T18:40:12.819Z,0.509,99523.09151785714
1612463914802,2021-02-04T18:40:12.832Z,0.586,99523.57589285714
1612463914880,2021-02-04T18:40:12.846Z,0.664,99524.73214285714
1612463914958,2021-02-04T18:40:12.859Z,0.742,99526.06026785714
1612463915035,2021-02-04T18:40:12.863Z,0.819,99527.07589285714
1612463915113,2021-02-04T18:40:12.877Z,0.897,99527.73214285714
1612463915191,2021-02-04T18:40:12.891Z,0.975,99528.23995535714
1612463915268,2021-02-04T18:40:12.894Z,1.052,99528.90401785714
1612463915346,2021-02-04T18:40:12.907Z,1.13,99529.41183035714
1612463915423,2021-02-04T18:40:12.920Z,1.207,99530.07589285714
1612463915501,2021-02-04T18:40:12.924Z,1.285,99531.23214285714
1612463915579,2021-02-04T18:40:12.938Z,1.363,99531.89620535714
1612463915656,2021-02-04T18:40:12.951Z,1.44,99532.56026785714
1612463915734,2021-02-04T18:40:12.955Z,1.518,99532.37276785714
1612463915812,2021-02-04T18:40:12.968Z,1.596,99533.02901785714
1612463915889,2021-02-04T18:40:12.981Z,1.673,99533.02901785714
1612463915967,2021-02-04T18:40:12.994Z,1.751,99533.70089285714
1612463916045,2021-02-04T18:40:12.999Z,1.829,99535.01339285714
1612463916122,2021-02-04T18:40:13.012Z,1.906,99534.85714285714
1612463916200,2021-02-04T18:40:13.025Z,1.984,99535.52120535714
1612463916277,2021-02-04T18:40:13.030Z,2.061,99535.52120535714
1612463916355,2021-02-04T18:40:13.070Z,2.139,99535.52120535714
1612463916433,2021-02-04T18:40:13.074Z,2.217,99536.18526785714
1612463916510,2021-02-04T18:40:13.088Z,2.294,99536.18526785714
1612463916588,2021-02-04T18:40:13.101Z,2.372,99536.84151785714
1612463916667,2021-02-04T18:40:13.114Z,2.451,99536.84151785714
1612463916743,2021-02-04T18:40:13.120Z,2.527,99536.68526785714
1612463916821,2021-02-04T18:40:13.132Z,2.605,99536.68526785714
1612463916899,2021-02-04T18:40:13.145Z,2.683,99536.68526785714
1612463916976,2021-02-04T18:40:13.150Z,2.76,99536.68526785714
1612463917055,2021-02-04T18:40:13.163Z,2.839,99536.68526785714
1612463917133,2021-02-04T18:40:13.175Z,2.917,99536.68526785714
1612463917211,2021-02-04T18:40:13.180Z,2.995,99536.68526785714
1612463917288,2021-02-04T18:40:13.193Z,3.072,99537.35714285714
1612463917366,2021-02-04T18:40:13.206Z,3.15,99537.35714285714
1612463917443,2021-02-04T18:40:13.219Z,3.227,99537.35714285714
1612463917521,2021-02-04T18:40:13.223Z,3.305,99537.35714285714
1612463917599,2021-02-04T18:40:13.236Z,3.383,99537.35714285714
1612463917676,2021-02-04T18:40:13.249Z,3.46,99538.01339285714
1612463917754,2021-02-04T18:40:13.254Z,3.538,99537.35714285714
1612463917832,2021-02-04T18:40:13.267Z,3.616,99537.35714285714
1612463917909,2021-02-04T18:40:13.282Z,3.693,99537.35714285714
1612463917987,2021-02-04T18:40:13.285Z,3.771,99537.35714285714
1612463918065,2021-02-04T18:40:13.298Z,3.849,99537.35714285714
1612463918142,2021-02-04T18:40:13.312Z,3.926,99537.35714285714
1612463918220,2021-02-04T18:40:13.325Z,4.004,99537.35714285714
1612463918297,2021-02-04T18:40:13.329Z,4.081,99537.35714285714
1612463918375,2021-02-04T18:40:13.342Z,4.159,99537.35714285714
1612463918453,2021-02-04T18:40:13.356Z,4.237,99537.35714285714
1612463918530,2021-02-04T18:40:13.369Z,4.314,99537.35714285714
1612463918608,2021-02-04T18:40:13.373Z,4.392,99537.35714285714
1612463918686,2021-02-04T18:40:13.387Z,4.47,99537.35714285714
1612463918763,2021-02-04T18:40:13.400Z,4.547,99537.35714285714
