epoch (ms),time (-07:00),elapsed (s),X-Axis (T),Y-Axis (T),Z-Axis (T)
1612464490798,2021-02-04T18:49:27.037Z,0.013,-10.26282024383545,32.05288314819336,-76.98076629638672
1612464490839,2021-02-04T18:49:27.052Z,0.054,-11.01282024383545,31.302885055541992,-78.16826629638672
1612464490879,2021-02-04T18:49:27.066Z,0.094,-12.07532024383545,32.80288314819336,-76.98076629638672
1612464490918,2021-02-04T18:49:27.068Z,0.133,-9.88782024383545,32.05288314819336,-76.60576629638672
1612464490960,2021-02-04T18:49:27.112Z,0.175,-10.26282024383545,32.80288314819336,-77.79326629638672
1612464490979,2021-02-04T18:49:27.127Z,0.194,-11.70032024383545,31.302885055541992,-76.60576629638672
1612464491018,2021-02-04T18:49:27.141Z,0.233,-10.63782024383545,32.42788314819336,-78.23076629638672
1612464491059,2021-02-04T18:49:27.143Z,0.274,-9.88782024383545,32.42788314819336,-76.29326629638672
1612464491099,2021-02-04T18:49:27.157Z,0.314,-11.32532024383545,32.42788314819336,-77.48076629638672
1612464491138,2021-02-04T18:49:27.171Z,0.353,-9.88782024383545,32.42788314819336,-77.48076629638672
1612464491179,2021-02-04T18:49:27.186Z,0.394,-11.32532024383545,33.55288314819336,-77.04326629638672
1612464491219,2021-02-04T18:49:27.188Z,0.434,-10.26282024383545,32.80288314819336,-77.48076629638672
1612464491258,2021-02-04T18:49:27.202Z,0.473,-9.88782024383545,32.05288314819336,-78.23076629638672
1612464491299,2021-02-04T18:49:27.217Z,0.514,-11.01282024383545,31.302885055541992,-77.48076629638672
1612464491339,2021-02-04T18:49:27.232Z,0.554,-11.70032024383545,32.80288314819336,-76.66826629638672
1612464491378,2021-02-04T18:49:27.246Z,0.593,-10.26282024383545,32.42788314819336,-77.10576629638672
1612464491419,2021-02-04T18:49:27.248Z,0.634,-11.32532024383545,32.80288314819336,-77.48076629638672
1612464491459,2021-02-04T18:49:27.262Z,0.674,-12.07532024383545,31.677885055541992,-76.73076629638672
1612464491499,2021-02-04T18:49:27.277Z,0.714,-11.01282024383545,31.677885055541992,-77.10576629638672
1612464491540,2021-02-04T18:49:27.292Z,0.755,-11.70032024383545,32.80288314819336,-76.29326629638672
1612464491579,2021-02-04T18:49:27.306Z,0.794,-10.26282024383545,31.302885055541992,-75.91826629638672
1612464491619,2021-02-04T18:49:27.321Z,0.834,-9.51282024383545,31.677885055541992,-78.29326629638672
1612464491658,2021-02-04T18:49:27.323Z,0.873,-10.63782024383545,33.55288314819336,-76.73076629638672
1612464491699,2021-02-04T18:49:27.337Z,0.914,-11.01282024383545,31.677885055541992,-78.23076629638672
1612464491739,2021-02-04T18:49:27.352Z,0.954,-12.07532024383545,31.677885055541992,-78.29326629638672
1612464491778,2021-02-04T18:49:27.366Z,0.993,-10.63782024383545,31.677885055541992,-76.66826629638672
1612464491819,2021-02-04T18:49:27.368Z,1.034,-11.01282024383545,32.05288314819336,-75.48076629638672
