epoch (ms),time (-07:00),elapsed (s),W-Axis,X-Axis (i),Y-Axis (j),Z-Axis (k)
1612465154743,2021-02-04T18:59:14.743Z,0,-0.20729563677892068,0.44657102016018335,-0.6647718594277984,0.5618551573478904
1612465154758,2021-02-04T18:59:14.759Z,0.015,-0.20729563677892068,0.44657102016018335,-0.6647718594277984,0.5618551573478904
1612465154773,2021-02-04T18:59:14.773Z,0.03,-0.20733556810544995,0.44651983149418206,-0.6648057012674459,0.5618410645752917
1612465154803,2021-02-04T18:59:14.803Z,0.06,-0.2074151226647668,0.4464401974846385,-0.6649218518226446,0.5617375258326451
1612465154819,2021-02-04T18:59:14.819Z,0.076,-0.20746670599715777,0.44643747334455786,-0.6650745781431786,0.5615398060726319
1612465154833,2021-02-04T18:59:14.833Z,0.09,-0.20753857356283933,0.4464190536237156,-0.6652268893121551,0.5613474456887481
1612465154863,2021-02-04T18:59:14.863Z,0.12,-0.20768295136311096,0.44642371878860243,-0.6652909085756084,0.5612144527564342
1612465154878,2021-02-04T18:59:14.879Z,0.135,-0.20789524640873544,0.44657459552599915,-0.6651675627799042,0.5611620181167676
1612465154893,2021-02-04T18:59:14.893Z,0.15,-0.20807686582454554,0.4466716965002334,-0.6651248143464319,0.5610680839210711
1612465154908,2021-02-04T18:59:14.908Z,0.165,-0.20805085239070223,0.4466936488536158,-0.6651979681579661,0.560973519920378
1612465154938,2021-02-04T18:59:14.938Z,0.195,-0.2079684332863691,0.4467430161843557,-0.6653853487227582,0.5607424952257597
1612465154953,2021-02-04T18:59:14.953Z,0.21,-0.20781963299132022,0.44679020004867026,-0.6655900933281723,0.5605170335923942
1612465154968,2021-02-04T18:59:14.968Z,0.225,-0.20768357628405157,0.4468403391220404,-0.6658002913668927,0.5602778020686946
1612465154998,2021-02-04T18:59:14.999Z,0.255,-0.20758639385491584,0.4470072747593196,-0.6659707903779817,0.5599779386385539
1612465155013,2021-02-04T18:59:15.013Z,0.27,-0.20745743876189612,0.4472021909958967,-0.6661463266618556,0.5596612215847551
1612465155028,2021-02-04T18:59:15.029Z,0.285,-0.2072795794202922,0.4473803816103893,-0.6662789928243987,0.5594267367818544
1612465155058,2021-02-04T18:59:15.058Z,0.315,-0.20719181583473756,0.44754101443119026,-0.6663660523092398,0.5592270345600301
1612465155073,2021-02-04T18:59:15.073Z,0.33,-0.20721971823822635,0.4476035993988257,-0.6663881025960189,0.5591403248711039
1612465155088,2021-02-04T18:59:15.088Z,0.345,-0.20717773197226422,0.4476542541768368,-0.6664491931133966,0.5590425109870546
1612465155118,2021-02-04T18:59:15.118Z,0.375,-0.20727145684998216,0.44766582090984675,-0.6666425623554197,0.5587678856382134
1612465155133,2021-02-04T18:59:15.133Z,0.39,-0.2076363212277694,0.44780934259088573,-0.6666879910393093,0.5584631352195839
1612465155148,2021-02-04T18:59:15.148Z,0.405,-0.2078513458180911,0.44803352469608126,-0.6666724640813203,0.5582218236738465
1612465155178,2021-02-04T18:59:15.178Z,0.435,-0.20801853418909355,0.44823854700931287,-0.6666561810888215,0.5580143641743192
1612465155193,2021-02-04T18:59:15.194Z,0.45,-0.20798676039399028,0.4484123676798232,-0.6666263493519753,0.5579221866553131
1612465155208,2021-02-04T18:59:15.208Z,0.465,-0.20790035862472167,0.44849189217401425,-0.6667454896465661,0.5577480753654335
1612465155223,2021-02-04T18:59:15.223Z,0.48,-0.2078141584249712,0.44854421841718584,-0.6669245402829816,0.5575240059862628
1612465155253,2021-02-04T18:59:15.253Z,0.51,-0.20779667872095325,0.44856267704176084,-0.6670163651650548,0.557405807002105
1612465155268,2021-02-04T18:59:15.268Z,0.525,-0.20773917103420486,0.4485989503224303,-0.6671669607157149,0.5572177896630639
1612465155283,2021-02-04T18:59:15.283Z,0.54,-0.20768858940711815,0.44863377554871914,-0.667331571416876,0.5570114532550168
1612465155313,2021-02-04T18:59:15.313Z,0.57,-0.2076335865940107,0.4486694546845267,-0.6675107346161187,0.5567884996328915
1612465155328,2021-02-04T18:59:15.328Z,0.585,-0.20756405232938335,0.44880613106021,-0.6675913524268297,0.5566075880441148
1612465155343,2021-02-04T18:59:15.343Z,0.6,-0.2075947491898087,0.448984603341644,-0.6675684502912105,0.55647965843035
1612465155373,2021-02-04T18:59:15.373Z,0.63,-0.20768729545951983,0.4492030682768868,-0.6674808996776422,0.5563738305499875
1612465155388,2021-02-04T18:59:15.388Z,0.645,-0.20783438101387744,0.4493867497564067,-0.6675398595880636,0.5560997707903678
1612465155403,2021-02-04T18:59:15.403Z,0.66,-0.20791321638003268,0.4495474065992357,-0.6676411394722148,0.5558187947151965
1612465155433,2021-02-04T18:59:15.433Z,0.69,-0.20782117579873347,0.4496089048323628,-0.6677935174626121,0.5556203826534691
1612465155448,2021-02-04T18:59:15.448Z,0.705,-0.207734180397233,0.44966704434487803,-0.667952277695418,0.5554149928173838
1612465155463,2021-02-04T18:59:15.463Z,0.72,-0.20759076720659228,0.449617858183329,-0.6680674772165577,0.5553698775219255
1612465155493,2021-02-04T18:59:15.493Z,0.75,-0.2074786842312651,0.44958630093888474,-0.6681790232656023,0.5553031122419352
1612465155508,2021-02-04T18:59:15.508Z,0.765,-0.20746238622004923,0.44959619296085146,-0.6682330627808853,0.5552361618135742
1612465155523,2021-02-04T18:59:15.523Z,0.78,-0.2074759361280261,0.44959602699268103,-0.6682753379179174,0.5551803501303779
1612465155538,2021-02-04T18:59:15.538Z,0.795,-0.207383621109149,0.4497090534563629,-0.668283243379343,0.5551137789259288
1612465155568,2021-02-04T18:59:15.568Z,0.825,-0.20739231134478409,0.44970777193239336,-0.668305508075073,0.5550847655405337
1612465155583,2021-02-04T18:59:15.583Z,0.84,-0.20739290132650454,0.4497146767311672,-0.668336167530521,0.5550420355095385
1612465155598,2021-02-04T18:59:15.598Z,0.855,-0.20739928668107388,0.4497186513529811,-0.6683730149331536,0.5549920570770397
1612465155628,2021-02-04T18:59:15.628Z,0.885,-0.207426053136575,0.4497100755698453,-0.6684220116495783,0.5549299908578359
1612465155643,2021-02-04T18:59:15.643Z,0.9,-0.20744602055450512,0.44970783950279053,-0.6684758358520616,0.5548594998084829
1612465155658,2021-02-04T18:59:15.658Z,0.915,-0.20740506114478446,0.44977346889057124,-0.6684890455695948,0.5548056986433385
1612465155688,2021-02-04T18:59:15.688Z,0.945,-0.20735233959183674,0.4498823472820976,-0.6684436723092493,0.5547917968206332
1612465155703,2021-02-04T18:59:15.703Z,0.96,-0.20739292027712858,0.4499005528317136,-0.6684082025583463,0.5548045997766816
1612465155718,2021-02-04T18:59:15.718Z,0.975,-0.2073357388414047,0.4499951486226222,-0.6683875990435114,0.5547740756921177
1612465155748,2021-02-04T18:59:15.748Z,1.005,-0.20730132624175296,0.45007205330902056,-0.668319285450308,0.5548068489698033
1612465155763,2021-02-04T18:59:15.763Z,1.02,-0.20728529711190052,0.45010577138888724,-0.6683145129863546,0.554791232713223
1612465155778,2021-02-04T18:59:15.778Z,1.035,-0.20733592750008828,0.45013022780037226,-0.6683358126212902,0.5547268091195003
1612465155808,2021-02-04T18:59:15.808Z,1.065,-0.20733910191317412,0.4501388790622399,-0.6683819421152756,0.5546630200659145
1612465155823,2021-02-04T18:59:15.823Z,1.08,-0.2075164381340553,0.4503091241857269,-0.6682798686948677,0.5545814977768453
1612465155838,2021-02-04T18:59:15.838Z,1.095,-0.20747764016257683,0.4505177616556391,-0.6681746647555203,0.5545533271419523
1612465155853,2021-02-04T18:59:15.853Z,1.11,-0.20740396208828285,0.4506225850064942,-0.6681424995702456,0.5545344738248215
1612465155883,2021-02-04T18:59:15.883Z,1.14,-0.20730603653442078,0.4506814075445197,-0.6681190164307662,0.5545515810036662
1612465155898,2021-02-04T18:59:15.898Z,1.155,-0.20719266277921758,0.4505853497160597,-0.6681781770071041,0.5546007274455891
1612465155913,2021-02-04T18:59:15.913Z,1.17,-0.2071916268575523,0.45054501814496045,-0.6682074586964956,0.5545986012669426
1612465155943,2021-02-04T18:59:15.943Z,1.2,-0.20740686042482398,0.45059396836768767,-0.6681169380387607,0.5545874385749174
1612465155958,2021-02-04T18:59:15.958Z,1.215,-0.207671401453729,0.450822377774085,-0.6678091739471086,0.554673489458839
1612465155973,2021-02-04T18:59:15.974Z,1.23,-0.2078454363146292,0.4509977450287312,-0.667477147176465,0.5548653589649913
1612465156003,2021-02-04T18:59:16.003Z,1.26,-0.20801381618202217,0.45111516959437614,-0.6672843313457811,0.5549387147961863
1612465156018,2021-02-04T18:59:16.018Z,1.275,-0.2081732877701348,0.4511618257957847,-0.667241504960062,0.5548924790103199
1612465156033,2021-02-04T18:59:16.033Z,1.29,-0.2084306576915348,0.4511345262438156,-0.6672272406688206,0.5548352092959801
1612465156063,2021-02-04T18:59:16.064Z,1.32,-0.2087996228503852,0.45115017492033427,-0.6669117481031199,0.5550630211146562
1612465156078,2021-02-04T18:59:16.078Z,1.335,-0.20918056961107206,0.4511631847523575,-0.6665751826475486,0.5553132412428907
1612465156093,2021-02-04T18:59:16.093Z,1.35,-0.20955300400432722,0.45151604354246727,-0.6662158838762481,0.5553172039541983
1612465156123,2021-02-04T18:59:16.123Z,1.38,-0.21015593372554997,0.45154888884797323,-0.666027505885039,0.5552886149604161
