epoch (ms),time (-07:00),elapsed (s),Pressure (Pa)
1612465154991,2021-02-04T19:01:33.273Z,0.262,99504.951953125
1612465155069,2021-02-04T19:01:33.285Z,0.34,99504.600390625
1612465155146,2021-02-04T19:01:33.299Z,0.417,99505.084765625
1612465155224,2021-02-04T19:01:33.303Z,0.495,99504.741015625
1612465155302,2021-02-04T19:01:33.316Z,0.573,99504.561328125
1612465155379,2021-02-04T19:01:33.329Z,0.65,99504.381640625
1612465155457,2021-02-04T19:01:33.333Z,0.728,99504.873828125
1612465155534,2021-02-04T19:01:33.346Z,0.805,99504.701953125
1612465155612,2021-02-04T19:01:33.359Z,0.883,99503.647265625
1612465155690,2021-02-04T19:01:33.363Z,0.961,99504.319140625
1612465155767,2021-02-04T19:01:33.377Z,1.038,99504.131640625
1612465155845,2021-02-04T19:01:33.390Z,1.116,99503.959765625
1612465155923,2021-02-04T19:01:33.403Z,1.194,99503.959765625
1612465156000,2021-02-04T19:01:33.408Z,1.271,99503.787890625
1612465156078,2021-02-04T19:01:33.420Z,1.349,99504.451953125
1612465156156,2021-02-04T19:01:33.434Z,1.427,99503.608203125
1612465156233,2021-02-04T19:01:33.438Z,1.504,99503.436328125
1612465156311,2021-02-04T19:01:33.450Z,1.582,99504.100390625
1612465156388,2021-02-04T19:01:33.480Z,1.659,99504.764453125
1612465156466,2021-02-04T19:01:33.494Z,1.737,99503.920703125
1612465156544,2021-02-04T19:01:33.498Z,1.815,99503.920703125
1612465156621,2021-02-04T19:01:33.511Z,1.892,99504.584765625
1612465156699,2021-02-04T19:01:33.529Z,1.97,99504.584765625
1612465156777,2021-02-04T19:01:33.530Z,2.048,99504.412890625
1612465156854,2021-02-04T19:01:33.558Z,2.125,99504.412890625
1612465156932,2021-02-04T19:01:33.571Z,2.203,99504.412890625
1612465157010,2021-02-04T19:01:33.584Z,2.281,99503.569140625
1612465157087,2021-02-04T19:01:33.587Z,2.358,99504.241015625
1612465157165,2021-02-04T19:01:33.600Z,2.436,99504.241015625
1612465157242,2021-02-04T19:01:33.614Z,2.513,99504.241015625
1612465157320,2021-02-04T19:01:33.618Z,2.591,99504.241015625
1612465157398,2021-02-04T19:01:33.645Z,2.669,99504.241015625
1612465157475,2021-02-04T19:01:33.658Z,2.746,99503.366015625
1612465157553,2021-02-04T19:01:33.663Z,2.824,99503.366015625
1612465157631,2021-02-04T19:01:33.676Z,2.902,99503.366015625
1612465157708,2021-02-04T19:01:33.691Z,2.979,99503.366015625
1612465157786,2021-02-04T19:01:33.694Z,3.057,99503.366015625
1612465157864,2021-02-04T19:01:33.707Z,3.135,99503.366015625
1612465157941,2021-02-04T19:01:33.735Z,3.212,99503.366015625
1612465158019,2021-02-04T19:01:33.749Z,3.29,99504.022265625
1612465158096,2021-02-04T19:01:33.753Z,3.367,99504.022265625
1612465158174,2021-02-04T19:01:33.765Z,3.445,99504.022265625
1612465158252,2021-02-04T19:01:33.778Z,3.523,99504.022265625
1612465158329,2021-02-04T19:01:33.783Z,3.6,99504.022265625
1612465158407,2021-02-04T19:01:33.796Z,3.678,99504.022265625
1612465158485,2021-02-04T19:01:33.809Z,3.756,99504.022265625
1612465158562,2021-02-04T19:01:33.813Z,3.833,99504.022265625
1612465158640,2021-02-04T19:01:33.826Z,3.911,99504.022265625
1612465158718,2021-02-04T19:01:33.840Z,3.989,99504.022265625
1612465158795,2021-02-04T19:01:33.844Z,4.066,99504.022265625
1612465158873,2021-02-04T19:01:33.858Z,4.144,99504.022265625
1612465158950,2021-02-04T19:01:33.869Z,4.221,99504.022265625
1612465159028,2021-02-04T19:01:33.874Z,4.299,99504.022265625
1612465159106,2021-02-04T19:01:33.888Z,4.377,99504.694140625
1612465159183,2021-02-04T19:01:33.901Z,4.454,99504.694140625
1612465159261,2021-02-04T19:01:33.914Z,4.532,99504.694140625
1612465159339,2021-02-04T19:01:33.918Z,4.61,99504.694140625
1612465159416,2021-02-04T19:01:33.932Z,4.687,99504.694140625
1612465159494,2021-02-04T19:01:33.945Z,4.765,99504.694140625
1612465159572,2021-02-04T19:01:33.977Z,4.843,99504.022265625
