epoch (ms),time (-07:00),elapsed (s),Pressure (Pa)
1612465545743,2021-02-04T19:07:13.569Z,0.221,99516.20870535714
1612465545821,2021-02-04T19:07:13.586Z,0.299,99516.02120535714
1612465545899,2021-02-04T19:07:13.629Z,0.377,99516.66964285714
1612465545976,2021-02-04T19:07:13.646Z,0.454,99516.66964285714
1612465546054,2021-02-04T19:07:13.675Z,0.532,99517.31808035714
1612465546131,2021-02-04T19:07:13.691Z,0.609,99517.31808035714
1612465546209,2021-02-04T19:07:13.721Z,0.687,99517.31808035714
1612465546287,2021-02-04T19:07:13.749Z,0.765,99517.31808035714
1612465546364,2021-02-04T19:07:13.765Z,0.842,99517.31808035714
1612465546442,2021-02-04T19:07:13.781Z,0.92,99517.31808035714
1612465546520,2021-02-04T19:07:13.811Z,0.998,99517.31808035714
1612465546597,2021-02-04T19:07:13.839Z,1.075,99517.31808035714
1612465546675,2021-02-04T19:07:13.856Z,1.153,99517.31808035714
1612465546753,2021-02-04T19:07:13.885Z,1.231,99518.17745535714
1612465546830,2021-02-04T19:07:13.914Z,1.308,99518.17745535714
1612465546908,2021-02-04T19:07:13.930Z,1.386,99518.17745535714
1612465546986,2021-02-04T19:07:13.960Z,1.464,99518.17745535714
1612465547063,2021-02-04T19:07:14.006Z,1.541,99518.17745535714
1612465547141,2021-02-04T19:07:14.035Z,1.619,99518.83370535714
1612465547218,2021-02-04T19:07:14.051Z,1.696,99518.17745535714
1612465547296,2021-02-04T19:07:14.081Z,1.774,99519.67745535714
1612465547374,2021-02-04T19:07:14.109Z,1.852,99519.02120535714
1612465547451,2021-02-04T19:07:14.126Z,1.929,99519.67745535714
1612465547529,2021-02-04T19:07:14.154Z,2.007,99519.67745535714
1612465547607,2021-02-04T19:07:14.170Z,2.085,99519.67745535714
1612465547684,2021-02-04T19:07:14.199Z,2.162,99519.67745535714
1612465547762,2021-02-04T19:07:14.216Z,2.24,99519.02120535714
1612465547840,2021-02-04T19:07:14.245Z,2.318,99519.02120535714
1612465547917,2021-02-04T19:07:14.261Z,2.395,99519.88058035714
1612465547995,2021-02-04T19:07:14.290Z,2.473,99519.88058035714
1612465548072,2021-02-04T19:07:14.319Z,2.55,99519.88058035714
1612465548150,2021-02-04T19:07:14.336Z,2.628,99519.88058035714
1612465548228,2021-02-04T19:07:14.365Z,2.706,99519.88058035714
1612465548305,2021-02-04T19:07:14.381Z,2.783,99519.88058035714
1612465548383,2021-02-04T19:07:14.410Z,2.861,99519.88058035714
1612465548461,2021-02-04T19:07:14.439Z,2.939,99519.88058035714
1612465548538,2021-02-04T19:07:14.456Z,3.016,99519.88058035714
1612465548616,2021-02-04T19:07:14.485Z,3.094,99519.22433035714
1612465548694,2021-02-04T19:07:14.514Z,3.172,99519.88058035714
1612465548771,2021-02-04T19:07:14.531Z,3.249,99519.88058035714
1612465548849,2021-02-04T19:07:14.560Z,3.327,99519.22433035714
1612465548926,2021-02-04T19:07:14.576Z,3.404,99519.22433035714
1612465549004,2021-02-04T19:07:14.605Z,3.482,99519.22433035714
1612465549082,2021-02-04T19:07:14.621Z,3.56,99519.88058035714
1612465549159,2021-02-04T19:07:14.650Z,3.637,99519.22433035714
1612465549237,2021-02-04T19:07:14.666Z,3.715,99519.22433035714
1612465549315,2021-02-04T19:07:14.695Z,3.793,99519.22433035714
1612465549392,2021-02-04T19:07:14.724Z,3.87,99519.22433035714
1612465549470,2021-02-04T19:07:14.740Z,3.948,99519.22433035714
1612465549548,2021-02-04T19:07:14.769Z,4.026,99519.22433035714
1612465549625,2021-02-04T19:07:14.786Z,4.103,99519.22433035714
1612465549703,2021-02-04T19:07:14.815Z,4.181,99519.22433035714
1612465549780,2021-02-04T19:07:14.845Z,4.258,99519.88058035714
1612465549858,2021-02-04T19:07:14.861Z,4.336,99519.88058035714
1612465549936,2021-02-04T19:07:14.890Z,4.414,99519.88058035714
1612465550013,2021-02-04T19:07:14.919Z,4.491,99519.88058035714
1612465550091,2021-02-04T19:07:14.937Z,4.569,99520.04464285714
1612465550169,2021-02-04T19:07:14.995Z,4.647,99520.04464285714
1612465550246,2021-02-04T19:07:15.012Z,4.724,99520.04464285714
1612465550324,2021-02-04T19:07:15.040Z,4.802,99520.04464285714
1612465550402,2021-02-04T19:07:15.056Z,4.88,99520.04464285714
1612465550479,2021-02-04T19:07:15.085Z,4.957,99520.04464285714
1612465550557,2021-02-04T19:07:15.114Z,5.035,99520.04464285714
1612465550634,2021-02-04T19:07:15.131Z,5.112,99520.04464285714
1612465550712,2021-02-04T19:07:15.159Z,5.19,99520.04464285714
1612465550790,2021-02-04T19:07:15.176Z,5.268,99520.04464285714
1612465550867,2021-02-04T19:07:15.206Z,5.345,99519.38839285714
1612465550945,2021-02-04T19:07:15.234Z,5.423,99520.04464285714
1612465551023,2021-02-04T19:07:15.250Z,5.501,99520.04464285714
1612465551100,2021-02-04T19:07:15.279Z,5.578,99519.38839285714
1612465551178,2021-02-04T19:07:15.295Z,5.656,99520.04464285714
1612465551256,2021-02-04T19:07:15.325Z,5.734,99519.38839285714
1612465551333,2021-02-04T19:07:15.341Z,5.811,99519.38839285714
1612465551411,2021-02-04T19:07:15.370Z,5.889,99519.38839285714
1612465551488,2021-02-04T19:07:15.400Z,5.966,99519.38839285714
1612465551566,2021-02-04T19:07:15.415Z,6.044,99519.38839285714
1612465551644,2021-02-04T19:07:15.444Z,6.122,99519.38839285714
1612465551721,2021-02-04T19:07:15.461Z,6.199,99519.38839285714
1612465551799,2021-02-04T19:07:15.490Z,6.277,99518.73995535714
1612465551877,2021-02-04T19:07:15.519Z,6.355,99518.73995535714
1612465551954,2021-02-04T19:07:15.536Z,6.432,99518.73995535714
1612465552032,2021-02-04T19:07:15.565Z,6.51,99518.73995535714
1612465552110,2021-02-04T19:07:15.581Z,6.588,99518.73995535714
1612465552187,2021-02-04T19:07:15.610Z,6.665,99518.73995535714
1612465552265,2021-02-04T19:07:15.626Z,6.743,99518.73995535714
1612465552342,2021-02-04T19:07:15.655Z,6.82,99518.08370535714
1612465552420,2021-02-04T19:07:15.684Z,6.898,99518.08370535714
1612465552498,2021-02-04T19:07:15.701Z,6.976,99518.08370535714
1612465552575,2021-02-04T19:07:15.730Z,7.053,99518.08370535714
1612465552653,2021-02-04T19:07:15.746Z,7.131,99518.08370535714
1612465552731,2021-02-04T19:07:15.775Z,7.209,99518.08370535714
1612465552808,2021-02-04T19:07:15.804Z,7.286,99518.08370535714
1612465552886,2021-02-04T19:07:15.820Z,7.364,99518.08370535714
1612465552964,2021-02-04T19:07:15.849Z,7.442,99518.08370535714
1612465553041,2021-02-04T19:07:15.866Z,7.519,99518.28683035714
1612465553119,2021-02-04T19:07:15.895Z,7.597,99518.28683035714
1612465553198,2021-02-04T19:07:15.911Z,7.676,99518.93526785714
1612465553274,2021-02-04T19:07:15.970Z,7.752,99518.93526785714
1612465553352,2021-02-04T19:07:16.000Z,7.83,99518.28683035714
1612465553429,2021-02-04T19:07:16.016Z,7.907,99518.28683035714
1612465553507,2021-02-04T19:07:16.045Z,7.985,99518.28683035714
1612465553585,2021-02-04T19:07:16.074Z,8.063,99518.28683035714
1612465553664,2021-02-04T19:07:16.091Z,8.142,99518.28683035714
