epoch (ms),time (-07:00),elapsed (s),Pressure (Pa)
1612465907392,2021-02-04T19:12:12.150Z,64.567,99507.459765625
1612465907433,2021-02-04T19:12:12.152Z,64.608,99507.459765625
1612465907472,2021-02-04T19:12:12.154Z,64.64699999999999,99507.459765625
1612465907513,2021-02-04T19:12:12.167Z,64.688,99507.459765625
1612465907553,2021-02-04T19:12:12.167Z,64.72800000000001,99507.459765625
1612465907594,2021-02-04T19:12:12.180Z,64.76899999999999,99507.459765625
1612465907634,2021-02-04T19:12:12.182Z,64.809,99507.459765625
1612465907675,2021-02-04T19:12:12.193Z,64.85,99506.787890625
1612465907714,2021-02-04T19:12:12.195Z,64.889,99506.787890625
1612465907755,2021-02-04T19:12:12.198Z,64.93,99507.459765625
1612465907795,2021-02-04T19:12:12.208Z,64.97,99507.459765625
1612465907836,2021-02-04T19:12:12.212Z,65.01100000000001,99506.787890625
1612465907875,2021-02-04T19:12:12.214Z,65.05,99507.459765625
1612465907916,2021-02-04T19:12:12.225Z,65.09100000000001,99507.459765625
1612465907957,2021-02-04T19:12:12.227Z,65.132,99507.459765625
1612465907997,2021-02-04T19:12:12.238Z,65.172,99507.459765625
1612465908038,2021-02-04T19:12:12.240Z,65.21300000000001,99507.459765625
1612465908077,2021-02-04T19:12:12.242Z,65.252,99507.459765625
1612465908118,2021-02-04T19:12:12.253Z,65.293,99506.787890625
1612465908158,2021-02-04T19:12:12.255Z,65.333,99506.787890625
1612465908199,2021-02-04T19:12:12.257Z,65.374,99506.787890625
1612465908239,2021-02-04T19:12:12.268Z,65.414,99506.787890625
1612465908280,2021-02-04T19:12:12.271Z,65.455,99506.787890625
1612465908319,2021-02-04T19:12:12.273Z,65.494,99506.787890625
1612465908360,2021-02-04T19:12:12.284Z,65.535,99506.787890625
1612465908400,2021-02-04T19:12:12.286Z,65.575,99506.787890625
1612465908441,2021-02-04T19:12:12.289Z,65.616,99506.787890625
1612465908482,2021-02-04T19:12:12.300Z,65.657,99506.787890625
1612465908521,2021-02-04T19:12:12.302Z,65.696,99506.787890625
1612465908562,2021-02-04T19:12:12.304Z,65.737,99506.787890625
1612465908602,2021-02-04T19:12:12.315Z,65.777,99505.912890625
1612465908643,2021-02-04T19:12:12.317Z,65.818,99505.912890625
1612465908682,2021-02-04T19:12:12.328Z,65.857,99506.787890625
1612465908723,2021-02-04T19:12:12.330Z,65.898,99506.787890625
1612465908763,2021-02-04T19:12:12.333Z,65.938,99506.787890625
1612465908804,2021-02-04T19:12:12.344Z,65.979,99506.787890625
1612465908844,2021-02-04T19:12:12.346Z,66.01899999999999,99505.912890625
1612465908885,2021-02-04T19:12:12.349Z,66.06,99506.131640625
1612465908924,2021-02-04T19:12:12.360Z,66.09899999999999,99506.131640625
1612465908965,2021-02-04T19:12:12.362Z,66.14,99506.131640625
1612465909006,2021-02-04T19:12:12.364Z,66.181,99506.131640625
1612465909046,2021-02-04T19:12:12.375Z,66.221,99506.787890625
1612465909087,2021-02-04T19:12:12.378Z,66.262,99506.787890625
1612465909126,2021-02-04T19:12:12.388Z,66.301,99506.131640625
1612465909167,2021-02-04T19:12:12.390Z,66.342,99506.131640625
1612465909207,2021-02-04T19:12:12.393Z,66.382,99506.131640625
1612465909248,2021-02-04T19:12:12.404Z,66.423,99506.131640625
1612465909287,2021-02-04T19:12:12.406Z,66.462,99506.131640625
1612465909328,2021-02-04T19:12:12.408Z,66.503,99506.131640625
1612465909368,2021-02-04T19:12:12.420Z,66.543,99506.131640625
1612465909409,2021-02-04T19:12:12.422Z,66.584,99506.131640625
1612465909449,2021-02-04T19:12:12.424Z,66.624,99506.131640625
1612465909490,2021-02-04T19:12:12.435Z,66.665,99506.131640625
1612465909531,2021-02-04T19:12:12.438Z,66.706,99505.256640625
1612465909570,2021-02-04T19:12:12.448Z,66.745,99505.256640625
1612465909611,2021-02-04T19:12:12.450Z,66.786,99505.912890625
1612465909651,2021-02-04T19:12:12.453Z,66.82600000000001,99505.912890625
1612465909692,2021-02-04T19:12:12.464Z,66.867,99505.912890625
1612465909731,2021-02-04T19:12:12.466Z,66.906,99505.912890625
1612465909772,2021-02-04T19:12:12.468Z,66.947,99505.912890625
1612465909812,2021-02-04T19:12:12.479Z,66.987,99505.912890625
1612465909853,2021-02-04T19:12:12.482Z,67.028,99505.912890625
1612465909892,2021-02-04T19:12:12.494Z,67.067,99505.912890625
1612465909933,2021-02-04T19:12:12.497Z,67.108,99505.912890625
1612465909974,2021-02-04T19:12:12.500Z,67.149,99505.912890625
1612465910014,2021-02-04T19:12:12.510Z,67.189,99505.912890625
1612465910055,2021-02-04T19:12:12.512Z,67.23,99505.912890625
1612465910095,2021-02-04T19:12:12.524Z,67.27,99505.912890625
1612465910136,2021-02-04T19:12:12.527Z,67.311,99505.912890625
1612465910175,2021-02-04T19:12:12.529Z,67.35,99505.912890625
1612465910216,2021-02-04T19:12:12.569Z,67.391,99505.912890625
1612465910256,2021-02-04T19:12:12.571Z,67.431,99505.912890625
1612465910297,2021-02-04T19:12:12.573Z,67.472,99505.912890625
1612465910336,2021-02-04T19:12:12.584Z,67.51100000000001,99505.912890625
1612465910377,2021-02-04T19:12:12.587Z,67.55199999999999,99505.256640625
1612465910417,2021-02-04T19:12:12.589Z,67.592,99505.256640625
1612465910458,2021-02-04T19:12:12.600Z,67.633,99505.256640625
1612465910497,2021-02-04T19:12:12.602Z,67.672,99505.256640625
1612465910538,2021-02-04T19:12:12.613Z,67.71300000000001,99505.256640625
1612465910578,2021-02-04T19:12:12.615Z,67.753,99505.256640625
1612465910619,2021-02-04T19:12:12.617Z,67.794,99505.256640625
1612465910660,2021-02-04T19:12:12.628Z,67.835,99505.256640625
1612465910700,2021-02-04T19:12:12.631Z,67.875,99505.256640625
1612465910741,2021-02-04T19:12:12.634Z,67.916,99505.256640625
1612465910780,2021-02-04T19:12:12.645Z,67.955,99505.912890625
1612465910821,2021-02-04T19:12:12.647Z,67.99600000000001,99505.912890625
1612465910861,2021-02-04T19:12:12.658Z,68.036,99505.912890625
1612465910902,2021-02-04T19:12:12.661Z,68.077,99505.912890625
1612465910941,2021-02-04T19:12:12.663Z,68.116,99505.912890625
1612465910982,2021-02-04T19:12:12.674Z,68.157,99505.912890625
1612465911022,2021-02-04T19:12:12.676Z,68.197,99505.912890625
1612465911063,2021-02-04T19:12:12.678Z,68.238,99505.912890625
1612465911102,2021-02-04T19:12:12.689Z,68.277,99505.912890625
1612465911143,2021-02-04T19:12:12.692Z,68.318,99506.787890625
1612465911184,2021-02-04T19:12:12.694Z,68.359,99506.787890625
1612465911224,2021-02-04T19:12:12.705Z,68.399,99507.459765625
1612465911265,2021-02-04T19:12:12.707Z,68.44,99507.459765625
1612465911304,2021-02-04T19:12:12.719Z,68.479,99507.459765625
1612465911345,2021-02-04T19:12:12.720Z,68.52,99507.459765625
1612465911385,2021-02-04T19:12:12.723Z,68.56,99507.459765625
1612465911426,2021-02-04T19:12:12.734Z,68.601,99507.459765625
1612465911466,2021-02-04T19:12:12.737Z,68.641,99507.459765625
1612465911507,2021-02-04T19:12:12.739Z,68.682,99507.459765625
1612465911546,2021-02-04T19:12:12.750Z,68.721,99507.459765625
1612465911587,2021-02-04T19:12:12.752Z,68.762,99507.459765625
1612465911627,2021-02-04T19:12:12.763Z,68.80199999999999,99506.584765625
1612465911668,2021-02-04T19:12:12.766Z,68.843,99506.584765625
1612465911709,2021-02-04T19:12:12.768Z,68.884,99507.459765625
1612465911748,2021-02-04T19:12:12.779Z,68.923,99507.459765625
1612465911789,2021-02-04T19:12:12.782Z,68.964,99507.459765625
1612465911829,2021-02-04T19:12:12.784Z,69.00399999999999,99507.459765625
1612465911870,2021-02-04T19:12:12.795Z,69.045,99507.459765625
1612465911909,2021-02-04T19:12:12.797Z,69.084,99507.459765625
1612465911950,2021-02-04T19:12:12.808Z,69.125,99507.459765625
1612465911990,2021-02-04T19:12:12.811Z,69.165,99507.459765625
1612465912031,2021-02-04T19:12:12.813Z,69.206,99507.459765625
1612465912071,2021-02-04T19:12:12.824Z,69.24600000000001,99507.459765625
1612465912112,2021-02-04T19:12:12.826Z,69.28699999999999,99507.459765625
1612465912151,2021-02-04T19:12:12.828Z,69.32600000000001,99507.459765625
1612465912192,2021-02-04T19:12:12.839Z,69.367,99507.459765625
1612465912232,2021-02-04T19:12:12.843Z,69.407,99507.459765625
1612465912273,2021-02-04T19:12:12.844Z,69.44800000000001,99507.459765625
1612465912314,2021-02-04T19:12:12.855Z,69.48899999999999,99507.459765625
1612465912353,2021-02-04T19:12:12.857Z,69.528,99507.459765625
1612465912394,2021-02-04T19:12:12.868Z,69.569,99507.459765625
1612465912434,2021-02-04T19:12:12.870Z,69.609,99507.459765625
1612465912475,2021-02-04T19:12:12.873Z,69.65,99506.584765625
1612465912514,2021-02-04T19:12:12.883Z,69.689,99506.584765625
1612465912555,2021-02-04T19:12:12.886Z,69.73,99506.584765625
1612465912595,2021-02-04T19:12:12.888Z,69.77,99506.584765625
1612465912636,2021-02-04T19:12:12.899Z,69.811,99506.584765625
1612465912676,2021-02-04T19:12:12.901Z,69.851,99506.584765625
1612465912717,2021-02-04T19:12:12.904Z,69.892,99506.584765625
1612465912756,2021-02-04T19:12:12.915Z,69.931,99506.584765625
1612465912797,2021-02-04T19:12:12.917Z,69.972,99506.584765625
1612465912838,2021-02-04T19:12:12.919Z,70.013,99506.584765625
1612465912878,2021-02-04T19:12:12.930Z,70.053,99506.584765625
1612465912919,2021-02-04T19:12:12.932Z,70.094,99506.584765625
1612465912958,2021-02-04T19:12:12.943Z,70.133,99506.584765625
1612465912999,2021-02-04T19:12:12.945Z,70.17399999999999,99506.584765625
1612465913039,2021-02-04T19:12:12.947Z,70.214,99506.584765625
1612465913080,2021-02-04T19:12:12.958Z,70.255,99508.123828125
1612465913119,2021-02-04T19:12:12.961Z,70.294,99508.123828125
1612465913160,2021-02-04T19:12:12.963Z,70.335,99508.123828125
1612465913200,2021-02-04T19:12:12.974Z,70.375,99508.123828125
1612465913241,2021-02-04T19:12:12.976Z,70.416,99508.123828125
1612465913281,2021-02-04T19:12:12.978Z,70.456,99508.123828125
1612465913322,2021-02-04T19:12:12.990Z,70.497,99508.123828125
1612465913363,2021-02-04T19:12:12.992Z,70.538,99508.123828125
