epoch (ms),time (-07:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1612466596541,2021-02-04T19:27:00.568Z,0.028,0.6012495160102844,-0.22569236159324646,0.7896321415901184
1612466596580,2021-02-04T19:27:00.569Z,0.067,0.6083295941352844,-0.22325095534324646,0.7869465947151184
1612466596620,2021-02-04T19:27:00.598Z,0.107,0.6144331097602844,-0.22447165846824646,0.7913411259651184
1612466596659,2021-02-04T19:27:00.627Z,0.146,0.6112592816352844,-0.20982322096824646,0.7937825322151184
1612466596699,2021-02-04T19:27:00.642Z,0.186,0.6742475628852844,-0.21885642409324646,0.7615559697151184
1612466596738,2021-02-04T19:27:00.644Z,0.225,0.6617963910102844,-0.21299704909324646,0.7691243290901184
1612466596778,2021-02-04T19:27:00.658Z,0.265,0.6754682660102844,-0.23472556471824646,0.7459309697151184
1612466596817,2021-02-04T19:27:00.672Z,0.304,0.6432417035102844,-0.23106345534324646,0.7752278447151184
1612466596855,2021-02-04T19:27:00.687Z,0.342,0.5756147503852844,-0.21324118971824646,0.8052571415901184
1612466596895,2021-02-04T19:27:00.702Z,0.382,0.5895307660102844,-0.23155173659324646,0.7857258915901184
1612466596935,2021-02-04T19:27:00.704Z,0.422,0.6415327191352844,-0.22715720534324646,0.7679036259651184
1612466596974,2021-02-04T19:27:00.733Z,0.461,0.6361616253852844,-0.17344626784324646,0.7679036259651184
1612466597014,2021-02-04T19:27:00.748Z,0.501,0.6862104535102844,-0.22813376784324646,0.7464192509651184
1612466597053,2021-02-04T19:27:00.762Z,0.54,0.6620405316352844,-0.23619040846824646,0.7503255009651184
1612466597093,2021-02-04T19:27:00.777Z,0.58,0.6866987347602844,-0.22495993971824646,0.7342122197151184
1612466597132,2021-02-04T19:27:00.779Z,0.619,0.6823042035102844,-0.22178611159324646,0.7381184697151184
1612466597172,2021-02-04T19:27:00.794Z,0.659,0.7064741253852844,-0.23008689284324646,0.7285969853401184
1612466597211,2021-02-04T19:27:00.808Z,0.698,0.6681440472602844,-0.22227439284324646,0.7447102665901184
1612466597251,2021-02-04T19:27:00.822Z,0.738,0.6862104535102844,-0.22300681471824646,0.7371419072151184
1612466597289,2021-02-04T19:27:00.837Z,0.776,0.6901167035102844,-0.20811423659324646,0.7381184697151184
1612466597329,2021-02-04T19:27:00.852Z,0.816,0.7428510785102844,-0.19883689284324646,0.7078450322151184
1612466597368,2021-02-04T19:27:00.854Z,0.855,0.6866987347602844,-0.23081931471824646,0.7295735478401184
1612466597408,2021-02-04T19:27:00.868Z,0.895,0.6825483441352844,-0.22495993971824646,0.7471516728401184
1612466597447,2021-02-04T19:27:00.882Z,0.934,0.6862104535102844,-0.22666892409324646,0.7405598759651184
1612466597487,2021-02-04T19:27:00.897Z,0.974,0.6837690472602844,-0.23033103346824646,0.7408040165901184
1612466597526,2021-02-04T19:27:00.912Z,1.013,0.6742475628852844,-0.22935447096824646,0.7437337040901184
1612466597566,2021-02-04T19:27:00.914Z,1.053,0.6803510785102844,-0.22373923659324646,0.7410481572151184
1612466597605,2021-02-04T19:27:00.928Z,1.092,0.6823042035102844,-0.22544822096824646,0.7410481572151184
1612466597645,2021-02-04T19:27:00.943Z,1.132,0.6647260785102844,-0.22203025221824646,0.7547200322151184
1612466597683,2021-02-04T19:27:00.957Z,1.17,0.6722944378852844,-0.22471579909324646,0.7459309697151184
1612466597723,2021-02-04T19:27:00.972Z,1.21,0.6547163128852844,-0.23081931471824646,0.7608235478401184
1612466597762,2021-02-04T19:27:00.974Z,1.249,0.6569135785102844,-0.23033103346824646,0.7644856572151184
1612466597802,2021-02-04T19:27:00.989Z,1.289,0.6708295941352844,-0.22740134596824646,0.7471516728401184
1612466597841,2021-02-04T19:27:01.003Z,1.328,0.6730268597602844,-0.23179587721824646,0.7520344853401184
1612466597881,2021-02-04T19:27:01.017Z,1.368,0.6322553753852844,-0.22788962721824646,0.7679036259651184
1612466597920,2021-02-04T19:27:01.032Z,1.407,0.6595991253852844,-0.22569236159324646,0.7603352665901184
1612466597960,2021-02-04T19:27:01.047Z,1.447,0.6661909222602844,-0.22764548659324646,0.7434895634651184
1612466597999,2021-02-04T19:27:01.049Z,1.486,0.6408002972602844,-0.23814353346824646,0.7578938603401184
