epoch (ms),time (-07:00),elapsed (s),Pressure (Pa)
1612466596784,2021-02-04T19:27:00.650Z,0.248,99521.30319940476
1612466596862,2021-02-04T19:27:00.654Z,0.326,99520.45163690476
1612466596939,2021-02-04T19:27:00.667Z,0.403,99521.20163690476
1612466597017,2021-02-04T19:27:00.680Z,0.481,99521.95163690476
1612466597095,2021-02-04T19:27:00.694Z,0.559,99522.03757440476
1612466597172,2021-02-04T19:27:00.698Z,0.636,99521.45944940476
1612466597250,2021-02-04T19:27:00.712Z,0.714,99521.68601190476
1612466597328,2021-02-04T19:27:00.724Z,0.792,99522.12351190476
1612466597405,2021-02-04T19:27:00.729Z,0.869,99521.71726190476
1612466597483,2021-02-04T19:27:00.742Z,0.947,99522.07663690476
1612466597561,2021-02-04T19:27:00.754Z,1.025,99521.63132440476
1612466597638,2021-02-04T19:27:00.758Z,1.102,99522.02194940476
1612466597716,2021-02-04T19:27:00.772Z,1.18,99521.71726190476
1612466597793,2021-02-04T19:27:00.785Z,1.257,99522.24851190476
1612466597871,2021-02-04T19:27:00.799Z,1.335,99522.32663690476
1612466597949,2021-02-04T19:27:00.803Z,1.413,99522.85007440476
1612466598026,2021-02-04T19:27:00.817Z,1.49,99521.88913690476
1612466598104,2021-02-04T19:27:00.831Z,1.568,99522.41257440476
1612466598182,2021-02-04T19:27:00.833Z,1.646,99522.27976190476
1612466598259,2021-02-04T19:27:00.847Z,1.723,99522.79538690476
1612466598337,2021-02-04T19:27:00.860Z,1.801,99522.63132440476
1612466598415,2021-02-04T19:27:00.864Z,1.879,99522.35788690476
1612466598492,2021-02-04T19:27:00.877Z,1.956,99522.18601190476
1612466598570,2021-02-04T19:27:00.890Z,2.034,99522.71726190476
1612466598647,2021-02-04T19:27:00.904Z,2.111,99522.57663690476
1612466598725,2021-02-04T19:27:00.908Z,2.189,99522.43601190476
1612466598803,2021-02-04T19:27:00.922Z,2.267,99523.10788690476
1612466598880,2021-02-04T19:27:00.934Z,2.344,99522.93601190476
1612466598958,2021-02-04T19:27:00.938Z,2.422,99522.79538690476
1612466599036,2021-02-04T19:27:00.952Z,2.5,99523.45944940476
1612466599113,2021-02-04T19:27:00.964Z,2.577,99523.32663690476
1612466599191,2021-02-04T19:27:00.969Z,2.655,99523.32663690476
1612466599269,2021-02-04T19:27:00.983Z,2.733,99522.52976190476
1612466599346,2021-02-04T19:27:00.995Z,2.81,99523.18601190476
1612466599424,2021-02-04T19:27:01.009Z,2.888,99523.85007440476
1612466599501,2021-02-04T19:27:01.013Z,2.965,99522.99069940476
1612466599579,2021-02-04T19:27:01.027Z,3.043,99523.65476190476
1612466599657,2021-02-04T19:27:01.029Z,3.121,99523.65476190476
1612466599734,2021-02-04T19:27:01.043Z,3.198,99524.31101190476
1612466599812,2021-02-04T19:27:01.056Z,3.276,99523.51413690476
1612466599890,2021-02-04T19:27:01.088Z,3.354,99523.51413690476
1612466599967,2021-02-04T19:27:01.101Z,3.431,99524.17819940476
1612466600045,2021-02-04T19:27:01.115Z,3.509,99524.17819940476
1612466600123,2021-02-04T19:27:01.119Z,3.587,99524.84226190476
1612466600200,2021-02-04T19:27:01.132Z,3.664,99524.04538690476
1612466600278,2021-02-04T19:27:01.144Z,3.742,99524.04538690476
1612466600355,2021-02-04T19:27:01.148Z,3.819,99524.04538690476
1612466600433,2021-02-04T19:27:01.162Z,3.897,99523.37351190476
1612466600511,2021-02-04T19:27:01.175Z,3.975,99524.04538690476
1612466600588,2021-02-04T19:27:01.189Z,4.052,99523.37351190476
1612466600666,2021-02-04T19:27:01.192Z,4.13,99523.37351190476
1612466600744,2021-02-04T19:27:01.206Z,4.208,99523.37351190476
1612466600821,2021-02-04T19:27:01.209Z,4.285,99523.37351190476
1612466600899,2021-02-04T19:27:01.223Z,4.363,99523.37351190476
1612466600977,2021-02-04T19:27:01.236Z,4.441,99523.37351190476
1612466601054,2021-02-04T19:27:01.249Z,4.518,99523.37351190476
1612466601132,2021-02-04T19:27:01.254Z,4.596,99522.70944940476
1612466601209,2021-02-04T19:27:01.266Z,4.673,99522.70944940476
1612466601287,2021-02-04T19:27:01.280Z,4.751,99522.04538690476
1612466601365,2021-02-04T19:27:01.284Z,4.829,99522.70944940476
1612466601442,2021-02-04T19:27:01.297Z,4.906,99522.04538690476
1612466601520,2021-02-04T19:27:01.310Z,4.984,99522.70944940476
1612466601598,2021-02-04T19:27:01.314Z,5.062,99522.04538690476
1612466601675,2021-02-04T19:27:01.328Z,5.139,99522.04538690476
1612466601753,2021-02-04T19:27:01.341Z,5.217,99522.04538690476
1612466601831,2021-02-04T19:27:01.354Z,5.295,99522.04538690476
1612466601908,2021-02-04T19:27:01.358Z,5.372,99522.04538690476
1612466601987,2021-02-04T19:27:01.372Z,5.451,99522.04538690476
1612466602063,2021-02-04T19:27:01.384Z,5.527,99522.04538690476
1612466602141,2021-02-04T19:27:01.389Z,5.605,99521.38913690476
1612466602219,2021-02-04T19:27:01.402Z,5.683,99521.38913690476
1612466602298,2021-02-04T19:27:01.415Z,5.762,99521.38913690476
1612466602375,2021-02-04T19:27:01.419Z,5.839,99521.38913690476
1612466602453,2021-02-04T19:27:01.433Z,5.917,99521.38913690476
1612466602531,2021-02-04T19:27:01.446Z,5.995,99521.38913690476
1612466602608,2021-02-04T19:27:01.459Z,6.072,99521.38913690476
1612466602686,2021-02-04T19:27:01.463Z,6.15,99521.52194940476
