epoch (ms),time (-07:00),elapsed (s),W-Axis,X-Axis (i),Y-Axis (j),Z-Axis (k)
1612473661979,2021-02-04T21:21:01.979Z,0,0.05160998012091481,0.03659818080985025,-0.9973507310573085,-0.03589571524263806
1612473661995,2021-02-04T21:21:01.995Z,0.016,0.05160998012091481,0.03659818080985025,-0.9973507310573085,-0.03589571524263806
1612473662016,2021-02-04T21:21:02.016Z,0.037,0.05171803611247375,0.03655153339546232,-0.9973474962084087,-0.03587759682485969
1612473662039,2021-02-04T21:21:02.039Z,0.06,0.05180177956538595,0.03655673644707919,-0.9973434797884282,-0.035863128387067955
1612473662055,2021-02-04T21:21:02.055Z,0.076,0.05180177956538595,0.03655673644707919,-0.9973434797884282,-0.035863128387067955
1612473662069,2021-02-04T21:21:02.069Z,0.09,0.05180177956538595,0.03655673644707919,-0.9973434797884282,-0.035863128387067955
1612473662099,2021-02-04T21:21:02.100Z,0.12,0.05039925663046677,0.03585420816871679,-0.9978644379974874,-0.02099890634412323
1612473662115,2021-02-04T21:21:02.115Z,0.136,0.04756715682314868,0.03442175807844394,-0.9982358839157133,0.008810688143715013
1612473662129,2021-02-04T21:21:02.129Z,0.15,-0.044743509554375366,-0.03295805461034697,0.9977074109711046,-0.038622623970857015
1612473662159,2021-02-04T21:21:02.159Z,0.18,-0.04191855936056826,-0.03147066170631969,0.9962864612140023,-0.06830606879759178
1612473662174,2021-02-04T21:21:02.174Z,0.195,-0.03907118618596863,-0.02996524037759144,0.9939949022061243,-0.0977223677945426
1612473662189,2021-02-04T21:21:02.189Z,0.21,-0.03618921697268306,-0.028447114830732343,0.9908677076423038,-0.12673708290945176
1612473662219,2021-02-04T21:21:02.219Z,0.24,-0.033347036385821975,-0.026929404039027695,0.9869430667229745,-0.1552616031407499
1612473662234,2021-02-04T21:21:02.234Z,0.255,-0.030558808804072295,-0.025420460039019183,0.9822773391434613,-0.1831698349104524
1612473662249,2021-02-04T21:21:02.249Z,0.27,-0.0277768710310659,-0.023917103456111432,0.9769349245204692,-0.21036770391430942
1612473662286,2021-02-04T21:21:02.286Z,0.307,-0.025002030172046406,-0.02242390056862029,0.9709908669935398,-0.2367462848403299
1612473662294,2021-02-04T21:21:02.294Z,0.315,-0.02225816701975539,-0.020948273993056078,0.9645122972587737,-0.26226279235575023
1612473662309,2021-02-04T21:21:02.310Z,0.33,-0.01958346764556505,-0.019502585400856715,0.9575747962650463,-0.28685649115125994
1612473662339,2021-02-04T21:21:02.339Z,0.36,-0.016991102364622295,-0.01809361331005807,0.9502522318270676,-0.31049093304877357
1612473662354,2021-02-04T21:21:02.354Z,0.375,-0.014449995489225567,-0.016713504144727147,0.9426265147784616,-0.33311726170550904
1612473662369,2021-02-04T21:21:02.369Z,0.39,-0.01198671031333947,-0.015372137943932948,0.9347650242955867,-0.35473139909594703
1612473662399,2021-02-04T21:21:02.399Z,0.42,-0.009630140835940324,-0.014081822382826374,0.9267350463969293,-0.37532801180506065
1612473662414,2021-02-04T21:21:02.414Z,0.435,-0.007373688442965108,-0.012841527586027843,0.9186187419895375,-0.3948674850548762
1612473662429,2021-02-04T21:21:02.429Z,0.45,-0.005183822515594994,-0.011637055678536175,0.9104534282154182,-0.4134153625230365
1612473662459,2021-02-04T21:21:02.459Z,0.48,-0.003062349464805741,-0.010469303127736501,0.9022917699572744,-0.4309879088502877
1612473662474,2021-02-04T21:21:02.474Z,0.495,-0.0010261134742510758,-0.00934591288273095,0.8941643102688664,-0.4476402431025711
1612473662489,2021-02-04T21:21:02.489Z,0.51,0.0009118454440504992,-0.008273790687541355,0.886136817322975,-0.4633489547956849
1612473662519,2021-02-04T21:21:02.519Z,0.54,0.002716791063793565,-0.007271662995161496,0.8782585724563832,-0.4781230195990112
1612473662534,2021-02-04T21:21:02.534Z,0.555,0.004425071799637707,-0.006314797479630179,0.8705677915294795,-0.4919880714243425
1612473662549,2021-02-04T21:21:02.549Z,0.57,0.005994336339221779,-0.005340776547197071,0.8631016184384015,-0.5049664744185869
1612473662579,2021-02-04T21:21:02.579Z,0.6,0.007400637368872348,-0.004389488275703186,0.8558684023435779,-0.5171220753642833
1612473662594,2021-02-04T21:21:02.594Z,0.615,0.008762820920375324,-0.0034432709370003853,0.8488808137743099,-0.5285004454687217
1612473662609,2021-02-04T21:21:02.609Z,0.63,0.010115328785043664,-0.0025280729488074156,0.8421744623446904,-0.5391043163852127
1612473662639,2021-02-04T21:21:02.639Z,0.66,0.011210443383237541,-0.0016598217796715692,0.8357512622885073,-0.5489912554257833
1612473662654,2021-02-04T21:21:02.654Z,0.675,0.012213866835259499,-0.0007628287552673514,0.8295305965382477,-0.5583271701754443
1612473662669,2021-02-04T21:21:02.669Z,0.69,0.013171890508311135,0.00008733743336062693,0.8235388131329381,-0.5671069713345107
1612473662699,2021-02-04T21:21:02.699Z,0.72,0.01413908581803573,0.0008670665361540859,0.8178055663132814,-0.5753202500823914
1612473662714,2021-02-04T21:21:02.714Z,0.735,0.0150659135687079,0.0016393841858062927,0.8123480458577127,-0.582975971253522
1612473662729,2021-02-04T21:21:02.729Z,0.75,0.01587408293899975,0.0024227981772726604,0.8071315849884741,-0.5901531564380821
1612473662759,2021-02-04T21:21:02.759Z,0.78,0.01663306740706876,0.0031398285234927096,0.8021175395809252,-0.5969262393647289
1612473662780,2021-02-04T21:21:02.781Z,0.801,0.017430889733624316,0.003811234122400957,0.7973306080285258,-0.6032789902511272
1612473662789,2021-02-04T21:21:02.789Z,0.81,0.018188137606245568,0.004448115463517792,0.7927691964190896,-0.6092342793443838
1612473662819,2021-02-04T21:21:02.819Z,0.84,0.018906187596084055,0.0050591498878503095,0.788435529452816,-0.6148059669273321
1612473662834,2021-02-04T21:21:02.834Z,0.855,0.019721381007474562,0.005488099530433285,0.7843630411738052,-0.619964166331637
1612473662849,2021-02-04T21:21:02.849Z,0.87,0.02063371503627263,0.005837499853731591,0.7805556827728306,-0.6247183361246086
1612473662879,2021-02-04T21:21:02.879Z,0.9,0.021494330955266924,0.006109025055365236,0.7769045903604427,-0.6292216867102811
1612473662894,2021-02-04T21:21:02.894Z,0.915,0.022341966948163695,0.0062396080066889495,0.7733848440156894,-0.6335122625897922
1612473662909,2021-02-04T21:21:02.909Z,0.93,0.023086172561846103,0.0062853480344883935,0.7700395963165831,-0.6375472869843646
1612473662939,2021-02-04T21:21:02.939Z,0.96,0.02367338676042613,0.006355502705053965,0.7668627006148313,-0.6413429478448991
1612473662954,2021-02-04T21:21:02.955Z,0.975,0.024191337199150023,0.006401648033812299,0.7638298321082265,-0.6449323884629199
1612473662969,2021-02-04T21:21:02.969Z,0.99,0.024730666707678886,0.006426344704762603,0.761016914774869,-0.648228626060643
1612473662999,2021-02-04T21:21:02.999Z,1.02,0.025202051555434604,0.006472621511370264,0.7583253944784493,-0.6513567055441066
1612473663014,2021-02-04T21:21:03.014Z,1.035,0.025640404386528107,0.006560399070503831,0.7558396840172216,-0.654221600752893
1612473663029,2021-02-04T21:21:03.029Z,1.05,0.026017365194775717,0.006814311382946755,0.7535791842101454,-0.6568067257526143
1612473663059,2021-02-04T21:21:03.059Z,1.08,0.02653305752273844,0.007096361813957839,0.7514620270781206,-0.6592044147054403
1612473663074,2021-02-04T21:21:03.074Z,1.095,0.027209666729687304,0.0072783806195245515,0.7496194262878961,-0.6612695176278898
1612473663089,2021-02-04T21:21:03.089Z,1.11,0.028069240371033116,0.0072565752077325,0.7480082325332857,-0.6630559131202116
1612473663119,2021-02-04T21:21:03.119Z,1.14,0.029296661850537368,0.007152463663077582,0.7465292177927416,-0.6646688460050774
1612473663134,2021-02-04T21:21:03.134Z,1.155,0.030938648482587712,0.0068865714731020725,0.745266752301436,-0.6660126448330292
1612473663149,2021-02-04T21:21:03.149Z,1.17,0.032670726469392446,0.006555815271314245,0.7439255387373406,-0.667431223222624
1612473663179,2021-02-04T21:21:03.179Z,1.2,0.034793630417280695,0.005739011122717886,0.7427425840205336,-0.6686478302635996
1612473663194,2021-02-04T21:21:03.194Z,1.215,0.03720623229073216,0.004914941493147545,0.7411702656376171,-0.670267242943821
1612473663224,2021-02-04T21:21:03.224Z,1.245,0.039553703318151834,0.004317788980658172,0.7392995315594477,-0.6722001665338377
1612473663239,2021-02-04T21:21:03.239Z,1.26,0.042074243168685695,0.0035229108677219106,0.7374368288991175,-0.6740951494737327
1612473663254,2021-02-04T21:21:03.254Z,1.275,0.04459450734861656,0.0024502193490989334,0.7360276301965173,-0.6754766124202777
1612473663284,2021-02-04T21:21:03.284Z,1.305,0.04669363543565065,0.0012320966421565198,0.7352802218703239,-0.676151744561821
1612473663299,2021-02-04T21:21:03.299Z,1.32,0.04844621851467403,0.0000017073813203774501,0.7348776704355604,-0.6764671266247291
1612473663314,2021-02-04T21:21:03.314Z,1.335,0.04992315705406697,-0.0012545659958936245,0.734682030580919,-0.6765710741639895
1612473663344,2021-02-04T21:21:03.344Z,1.365,0.05110646908032734,-0.002289136866239637,0.7345456056222359,-0.6766281415457178
1612473663359,2021-02-04T21:21:03.359Z,1.38,0.05222096009111412,-0.0032341560740077363,0.7343128804524209,-0.6767917738590797
1612473663374,2021-02-04T21:21:03.374Z,1.395,0.0533767937480001,-0.004236827337883127,0.7340446541645048,-0.6769870108619551
1612473663404,2021-02-04T21:21:03.404Z,1.425,0.05472169110618736,-0.005250922985855222,0.7338477866253317,-0.6770859549535622
1612473663419,2021-02-04T21:21:03.419Z,1.44,0.056073814993955536,-0.006239445452254137,0.7336782313373894,-0.6771506844522216
1612473663434,2021-02-04T21:21:03.434Z,1.455,0.057447638680599294,-0.007486523305281479,0.7336216205622756,-0.6770842182641709
1612473663464,2021-02-04T21:21:03.464Z,1.485,0.058890695940001465,-0.008962928856776835,0.7336242235778929,-0.6769394732306164
1612473663479,2021-02-04T21:21:03.479Z,1.5,0.06030759960088726,-0.010408648105120537,0.7336148235883737,-0.6768042139987029
1612473663494,2021-02-04T21:21:03.494Z,1.515,0.061787699608244824,-0.011932393548038924,0.7336372366895691,-0.6766212405059637
1612473663524,2021-02-04T21:21:03.524Z,1.545,0.06300528472874711,-0.013041081637122004,0.7334636624927323,-0.6766766732263872
1612473663539,2021-02-04T21:21:03.539Z,1.56,0.06402174784390807,-0.013549883317899546,0.7332820401922076,-0.6767681035603228
1612473663561,2021-02-04T21:21:03.561Z,1.582,0.06483144979559809,-0.013748450095038976,0.7333665347407233,-0.6765954396533931
1612473663584,2021-02-04T21:21:03.584Z,1.605,0.06520429615737493,-0.014191859084643089,0.7333780846999104,-0.6765379337333819
1612473663599,2021-02-04T21:21:03.599Z,1.62,0.06502048573345039,-0.014429790035501447,0.7332611406151295,-0.6766773361494508
1612473663614,2021-02-04T21:21:03.614Z,1.635,0.06450756581737684,-0.014049950049129048,0.7331828224295235,-0.6768192681582077
1612473663644,2021-02-04T21:21:03.644Z,1.665,0.06407648452775787,-0.01358710099419843,0.7330380523660014,-0.6770264460127071
1612473663659,2021-02-04T21:21:03.659Z,1.68,0.06386942154361112,-0.013154337071690034,0.7328793383282237,-0.6772263549652168
1612473663674,2021-02-04T21:21:03.674Z,1.695,0.06344443939536694,-0.012767866819235179,0.7327786087326192,-0.6773826800786842
1612473663704,2021-02-04T21:21:03.704Z,1.725,0.06304465466398733,-0.012578525012422749,0.7326026878599651,-0.6776137941092737
1612473663719,2021-02-04T21:21:03.719Z,1.74,0.06280782578279541,-0.012478397724366203,0.7323272283129938,-0.6779353193941725
1612473663734,2021-02-04T21:21:03.734Z,1.755,0.06260561276797258,-0.012248716015225812,0.7321898926261545,-0.6781065309684206
1612473663764,2021-02-04T21:21:03.764Z,1.785,0.06261609374899299,-0.012089395769113652,0.7321179801236307,-0.6781860618541569
1612473663779,2021-02-04T21:21:03.779Z,1.8,0.06277587568462643,-0.012253751560711554,0.7320170758839303,-0.6782772557141046
1612473663794,2021-02-04T21:21:03.794Z,1.815,0.06280912170102133,-0.012568025893603755,0.7319225099987112,-0.6783704727606226
1612473663824,2021-02-04T21:21:03.824Z,1.845,0.06275698247208511,-0.012819205077697585,0.731823425686429,-0.6784774887560784
1612473663839,2021-02-04T21:21:03.839Z,1.86,0.06261615825770471,-0.012954593526344812,0.7316251497230336,-0.6787017279515073
1612473663854,2021-02-04T21:21:03.854Z,1.875,0.06259008361024787,-0.013272770424751218,0.7314143154149048,-0.6789251904334236
1612473663884,2021-02-04T21:21:03.884Z,1.905,0.0625147798461486,-0.01367379089546333,0.7312182252910852,-0.6791353596636613
1612473663899,2021-02-04T21:21:03.899Z,1.92,0.06226588292399491,-0.013993455683012154,0.7310424917263071,-0.6793408704857489
1612473663914,2021-02-04T21:21:03.914Z,1.935,0.06204442951414752,-0.014206987806478681,0.7308337706900118,-0.679581231261392
1612473663944,2021-02-04T21:21:03.944Z,1.965,0.06165085155351944,-0.014324352925840795,0.730438260078337,-0.6800396559243538
1612473663959,2021-02-04T21:21:03.959Z,1.98,0.061357527739932735,-0.014338468913795525,0.7300574018639507,-0.6804747255280753
1612473663981,2021-02-04T21:21:03.981Z,2.002,0.06116420173605616,-0.014337142140552464,0.7297147633984358,-0.680859567649304
1612473664005,2021-02-04T21:21:04.005Z,2.026,0.060864622620249116,-0.014296483944451871,0.7294098885195334,-0.6812138598047186
1612473664019,2021-02-04T21:21:04.019Z,2.04,0.06031543079844891,-0.013927382541650365,0.7291082735955305,-0.6815931353803976
1612473664034,2021-02-04T21:21:04.034Z,2.055,0.059452110647092826,-0.013169540468516901,0.7287245952001453,-0.6820941827151425
1612473664064,2021-02-04T21:21:04.064Z,2.085,0.05849921514940369,-0.012141623174628195,0.7283138441878699,-0.6826341385968595
1612473664079,2021-02-04T21:21:04.079Z,2.1,0.05753812112730236,-0.011014943211215523,0.7280454123708406,-0.6830211659743542
1612473664094,2021-02-04T21:21:04.094Z,2.115,0.0565710938705764,-0.009776288971476149,0.7279203972596989,-0.6832540016461773
1612473664124,2021-02-04T21:21:04.124Z,2.145,0.05561232016991087,-0.008497783882693054,0.7277998311512779,-0.6834782098140172
1612473664139,2021-02-04T21:21:04.139Z,2.16,0.054788995503310574,-0.007301152926049709,0.727720114689346,-0.6836433966727198
1612473664154,2021-02-04T21:21:04.154Z,2.175,0.054112885110037506,-0.006166106307363971,0.7276360496522015,-0.6837978897632058
1612473664184,2021-02-04T21:21:04.184Z,2.205,0.053381038244195635,-0.0049469809957040905,0.7275423976837584,-0.6839649491805613
1612473664199,2021-02-04T21:21:04.199Z,2.22,0.05261669049359551,-0.0037443142978798587,0.7273144833178493,-0.6842741456083442
1612473664214,2021-02-04T21:21:04.214Z,2.235,0.051895737802749545,-0.002556567388305536,0.7270463500049749,-0.6846195303272766
1612473664244,2021-02-04T21:21:04.244Z,2.265,0.0512400505336376,-0.0013739015916705054,0.7267236933920069,-0.685014775810279
1612473664259,2021-02-04T21:21:04.259Z,2.28,0.05071424715376911,-0.00017002250389433455,0.7264042785554705,-0.6853939453513441
1612473664274,2021-02-04T21:21:04.274Z,2.295,0.05024571015525299,0.0010602911439512818,0.7258772900033746,-0.6859857172354547
1612473664304,2021-02-04T21:21:04.304Z,2.325,0.04991470301468624,0.0021411184509063427,0.725390438799767,-0.6865221404533262
1612473664319,2021-02-04T21:21:04.319Z,2.34,0.04981571443591633,0.0030544181271512675,0.7250254274799428,-0.6869113440850062
1612473664334,2021-02-04T21:21:04.334Z,2.355,0.04979211111010929,0.003939628286858053,0.724614683533816,-0.6873418257369092
1612473664364,2021-02-04T21:21:04.364Z,2.385,0.049829112278538694,0.004804742431555916,0.724173237418137,-0.6877987323534651
1612473664379,2021-02-04T21:21:04.379Z,2.4,0.04998705003213457,0.00560006645742856,0.7236023649506119,-0.6883818355554123
1612473664401,2021-02-04T21:21:04.401Z,2.422,0.050017066996014485,0.006380785996136371,0.7229526793182928,-0.6890551516719756
1612473664424,2021-02-04T21:21:04.424Z,2.445,0.049841139356373305,0.007277664730704484,0.7222679992407979,-0.689776654937249
1612473664439,2021-02-04T21:21:04.439Z,2.46,0.04957735020012184,0.00824055325870846,0.7214211247198696,-0.6906705006275013
1612473664454,2021-02-04T21:21:04.454Z,2.475,0.04929446172594855,0.009289764027003952,0.7205819948246859,-0.6915528505197185
1612473664484,2021-02-04T21:21:04.484Z,2.505,0.04901468333786436,0.010564952602954912,0.7196546315565755,-0.6925194249065912
1612473664499,2021-02-04T21:21:04.499Z,2.52,0.048788404792097784,0.011940598050381229,0.7186242296040802,-0.6935822448001274
1612473664514,2021-02-04T21:21:04.514Z,2.535,0.048669557318472924,0.013428876452769684,0.7175846722042601,-0.6946388829349711
1612473664544,2021-02-04T21:21:04.544Z,2.565,0.04852193207299579,0.015122544925700514,0.7165498196941317,-0.695681886093911
1612473664559,2021-02-04T21:21:04.559Z,2.58,0.04833634522740134,0.017021124917393854,0.7153525616867682,-0.6968820499372778
1612473664574,2021-02-04T21:21:04.574Z,2.595,0.048154313382817726,0.019109867324982308,0.7141882607144433,-0.6980337408257064
1612473664604,2021-02-04T21:21:04.604Z,2.625,0.04792996633589355,0.02127173401009834,0.7131112927417583,-0.6990869157861719
1612473664619,2021-02-04T21:21:04.619Z,2.64,0.047684099086491655,0.023544320795434556,0.7119379022296357,-0.7002259028495426
1612473664636,2021-02-04T21:21:04.636Z,2.657,0.04749889953108364,0.026057110645500904,0.7103524058650397,-0.7017580359425136
1612473664664,2021-02-04T21:21:04.664Z,2.685,0.0471679126452871,0.028944183473135463,0.7085891671227925,-0.7034478050971424
1612473664679,2021-02-04T21:21:04.679Z,2.7,0.04726145304104269,0.03172553606357705,0.7067530884968063,-0.7051665883450189
1612473664694,2021-02-04T21:21:04.694Z,2.715,0.0474988824420574,0.03447085162925961,0.7051022965180412,-0.7066727446277334
1612473664724,2021-02-04T21:21:04.724Z,2.745,0.04745355950269726,0.03751129410225494,0.7036664305580036,-0.7079509990183334
1612473664739,2021-02-04T21:21:04.739Z,2.76,0.04734808491581991,0.04076650268338231,0.7022207477043815,-0.7092124312272522
1612473664769,2021-02-04T21:21:04.769Z,2.79,0.04730653345594625,0.044143475559894806,0.7007902358360804,-0.7104269778201595
1612473664784,2021-02-04T21:21:04.784Z,2.805,0.04719317128929475,0.04755051422318463,0.6992277213793343,-0.711753009712944
1612473664799,2021-02-04T21:21:04.799Z,2.82,0.047085233176700034,0.05074725886790999,0.6976363709424288,-0.7130997058422945
1612473664836,2021-02-04T21:21:04.836Z,2.857,0.0470432304667483,0.053890194965203884,0.6959997240666239,-0.7144698492260176
1612473664844,2021-02-04T21:21:04.844Z,2.865,0.047167030739820724,0.05691355356001749,0.6943158024371373,-0.7158642923895797
1612473664859,2021-02-04T21:21:04.859Z,2.88,0.0475917877693762,0.05966878036237952,0.6931366736012943,-0.7167539397142604
1612473664889,2021-02-04T21:21:04.889Z,2.91,0.04820164062260682,0.062186644520151046,0.6920072725648319,-0.7175899649535215
1612473664904,2021-02-04T21:21:04.904Z,2.925,0.04913100177121637,0.06422237229354032,0.6909532371116383,-0.7183628997149663
1612473664919,2021-02-04T21:21:04.919Z,2.94,0.05002486269008671,0.0661473498729019,0.690055845227217,-0.7189888536586512
1612473664949,2021-02-04T21:21:04.949Z,2.97,0.050890278756632976,0.06811493763238757,0.6892028183788554,-0.7195623739037852
1612473664964,2021-02-04T21:21:04.964Z,2.985,0.051575022890941555,0.07023177561416685,0.6884475034081873,-0.7200330199087498
1612473664979,2021-02-04T21:21:04.979Z,3,0.05203797310110282,0.07257588061867638,0.6877574514139375,-0.7204265951035942
1612473665009,2021-02-04T21:21:05.009Z,3.03,0.05267400443906211,0.07481624620067459,0.6871883979195109,-0.7206941683721395
1612473665024,2021-02-04T21:21:05.024Z,3.045,0.053598399786950135,0.07684635621276442,0.6866688993634064,-0.7209075334078201
1612473665039,2021-02-04T21:21:05.039Z,3.06,0.05461243508942756,0.07884233634982464,0.6861914030138643,-0.7210705418767076
1612473665069,2021-02-04T21:21:05.069Z,3.09,0.05571423530285805,0.08084072586482631,0.6855237339620913,-0.7213999661775276
1612473665084,2021-02-04T21:21:05.084Z,3.105,0.0572392771195381,0.08266142566005329,0.6851161411754692,-0.7214614521674148
1612473665099,2021-02-04T21:21:05.099Z,3.12,0.05928467567162769,0.08419325296490246,0.6847375311312183,-0.7214785768448164
1612473665129,2021-02-04T21:21:05.129Z,3.15,0.061764107651578984,0.08544728512627438,0.6842787903870274,-0.72155837844004
1612473665144,2021-02-04T21:21:05.144Z,3.165,0.06424264027524827,0.0867107712610468,0.6838399199105263,-0.72160729573262
1612473665166,2021-02-04T21:21:05.166Z,3.187,0.06671151522069312,0.0880795985250507,0.6834674689390863,-0.721570354825241
1612473665189,2021-02-04T21:21:05.189Z,3.21,0.06927686611266794,0.0894465881820626,0.6831892431641042,-0.721423926487786
1612473665204,2021-02-04T21:21:05.204Z,3.225,0.0717370160227479,0.0910281835007392,0.6827736620799889,-0.7213790936190132
1612473665219,2021-02-04T21:21:05.219Z,3.24,0.07430272438440584,0.09250735370801245,0.6822269609816983,-0.7214484516364784
1612473665249,2021-02-04T21:21:05.249Z,3.27,0.07653807999571592,0.09406010145974979,0.6818053603521824,-0.7214125520248327
1612473665264,2021-02-04T21:21:05.264Z,3.285,0.07872074126134802,0.09555352731343644,0.6813644072508931,-0.7213980266433111
1612473665279,2021-02-04T21:21:05.279Z,3.3,0.08112334842404939,0.09716648575654249,0.6810719990087097,-0.7211924906378836
1612473665309,2021-02-04T21:21:05.309Z,3.33,0.08377642196573205,0.09819567130824844,0.6809348957803707,-0.7208791777874552
1612473665324,2021-02-04T21:21:05.324Z,3.345,0.08683390327414825,0.09926071295353373,0.6807520154290516,-0.7205441538139188
1612473665339,2021-02-04T21:21:05.339Z,3.36,0.09011560508791475,0.10035273828331792,0.6804437056441051,-0.7202811042141791
