epoch (ms),time (-07:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1612473745584,2021-02-04T21:23:00.269Z,83.60799999999999,-0.0690782368183136,-0.2257826030254364,0.9689805507659912
1612473745625,2021-02-04T21:23:00.281Z,83.649,0.0666639506816864,-0.2455579936504364,1.0876328945159912
1612473745664,2021-02-04T21:23:00.283Z,83.68799999999999,1.0927870273590088,-0.1740247905254364,0.8610703945159912
1612473745705,2021-02-04T21:23:00.286Z,83.729,0.3645155131816864,-0.2052747905254364,0.6476914882659912
1612473745745,2021-02-04T21:23:00.297Z,83.76899999999999,-0.5085313320159912,-0.3273451030254364,0.9562852382659912
1612473745786,2021-02-04T21:23:00.299Z,83.81,-0.3224962055683136,-0.2257826030254364,1.0966660976409912
1612473745825,2021-02-04T21:23:00.311Z,83.84899999999999,0.1479627788066864,-0.2167493999004364,1.1054551601409912
1612473745867,2021-02-04T21:23:00.313Z,83.891,-0.0414903424680233,-0.1789076030254364,1.0756700038909912
1612473745906,2021-02-04T21:23:00.316Z,83.93,-0.0656602680683136,-0.2477552592754364,1.0038926601409912
1612473745947,2021-02-04T21:23:00.327Z,83.971,-0.0685899555683136,-0.3092786967754364,0.9367539882659912
1612473745987,2021-02-04T21:23:00.329Z,84.01100000000001,-0.0397813580930233,-0.3703138530254364,0.9492051601409912
1612473746028,2021-02-04T21:23:00.331Z,84.052,-0.0456407330930233,-0.3646986186504364,0.9902207851409912
1612473746069,2021-02-04T21:23:00.343Z,84.09299999999999,-0.0793321430683136,-0.3273451030254364,0.9997422695159912
1612473746108,2021-02-04T21:23:00.346Z,84.132,0.0202772356569767,-0.2445814311504364,0.9814317226409912
1612473746149,2021-02-04T21:23:00.356Z,84.17299999999999,-0.0314805768430233,-0.3439466655254364,0.9582383632659912
1612473746189,2021-02-04T21:23:00.358Z,84.213,-0.0602891705930233,-0.3498060405254364,0.9702012538909912
1612473746230,2021-02-04T21:23:00.361Z,84.25399999999999,0.0141737200319767,-0.3327161967754364,0.9521348476409912
1612473746269,2021-02-04T21:23:00.372Z,84.29299999999999,0.0278455950319767,-0.3021986186504364,0.9433457851409912
1612473746310,2021-02-04T21:23:00.374Z,84.334,0.0537245012819767,-0.3109876811504364,0.9184434413909912
1612473746350,2021-02-04T21:23:00.376Z,84.374,0.0478651262819767,-0.3026868999004364,0.9123399257659912
1612473746391,2021-02-04T21:23:00.387Z,84.415,-0.0129258893430233,-0.3214857280254364,0.9135606288909912
1612473746430,2021-02-04T21:23:00.389Z,84.454,-0.0219590924680233,-0.3336927592754364,0.9125840663909912
1612473746471,2021-02-04T21:23:00.392Z,84.495,0.0090467669069767,-0.3173353374004364,0.9111192226409912
1612473746511,2021-02-04T21:23:00.432Z,84.535,-0.0327012799680233,-0.3268568217754364,0.9243028163909912
1612473746552,2021-02-04T21:23:00.435Z,84.57600000000001,-0.0336778424680233,-0.3239271342754364,0.9308946132659912
1612473746592,2021-02-04T21:23:00.446Z,84.616,-0.0978868305683136,-0.3700697124004364,0.9509141445159912
1612473746633,2021-02-04T21:23:00.448Z,84.65700000000001,-0.0556504987180233,-0.3336927592754364,0.9821641445159912
1612473746672,2021-02-04T21:23:00.450Z,84.696,-0.0827501118183136,-0.3476087749004364,0.9865586757659912
1612473746713,2021-02-04T21:23:00.462Z,84.73700000000001,-0.1120469868183136,-0.3715345561504364,1.0077989101409912
1612473746754,2021-02-04T21:23:00.464Z,84.77799999999999,-0.1137559711933136,-0.3834974467754364,0.9936387538909912
1612473746794,2021-02-04T21:23:00.466Z,84.818,-0.1340196430683136,-0.3500501811504364,0.9575059413909912
1612473746835,2021-02-04T21:23:00.477Z,84.859,-0.1054551899433136,-0.3251478374004364,0.9311387538909912
1612473746874,2021-02-04T21:23:00.480Z,84.898,-0.1218126118183136,-0.3229505717754364,0.9191758632659912
1612473746915,2021-02-04T21:23:00.491Z,84.939,-0.0883653461933136,-0.3153822124004364,0.9457871913909912
1612473746955,2021-02-04T21:23:00.493Z,84.979,-0.0952012836933136,-0.2995130717754364,0.9665391445159912
1612473746996,2021-02-04T21:23:00.495Z,85.02,-0.1140001118183136,-0.3061048686504364,0.9570176601409912
1612473747035,2021-02-04T21:23:00.507Z,85.059,-0.1017930805683136,-0.3258802592754364,0.9711778163909912
1612473747076,2021-02-04T21:23:00.509Z,85.1,-0.1425645649433136,-0.3510267436504364,0.9785020351409912
1612473747116,2021-02-04T21:23:00.511Z,85.14,-0.1367051899433136,-0.3214857280254364,0.9745957851409912
