epoch (ms),time (-07:00),elapsed (s),Pressure (Pa)
1612474192927,2021-02-04T21:30:24.678Z,45.878,99424.7296875
1612474192968,2021-02-04T21:30:24.690Z,45.919,99424.065625
1612474193008,2021-02-04T21:30:24.693Z,45.958999999999996,99424.065625
1612474193049,2021-02-04T21:30:24.694Z,46.0,99424.065625
1612474193088,2021-02-04T21:30:24.706Z,46.038999999999994,99424.065625
1612474193128,2021-02-04T21:30:24.708Z,46.07899999999999,99424.065625
1612474193169,2021-02-04T21:30:24.710Z,46.12,99424.065625
1612474193208,2021-02-04T21:30:24.721Z,46.159,99424.065625
1612474193249,2021-02-04T21:30:24.724Z,46.2,99424.065625
1612474193289,2021-02-04T21:30:24.735Z,46.24,99424.065625
1612474193328,2021-02-04T21:30:24.737Z,46.278999999999996,99424.065625
1612474193369,2021-02-04T21:30:24.739Z,46.32,99424.065625
1612474193409,2021-02-04T21:30:24.751Z,46.36,99424.065625
1612474193450,2021-02-04T21:30:24.753Z,46.401,99424.065625
1612474193490,2021-02-04T21:30:24.755Z,46.441,99424.065625
1612474193529,2021-02-04T21:30:24.766Z,46.48,99424.065625
1612474193570,2021-02-04T21:30:24.768Z,46.521,99424.065625
1612474193610,2021-02-04T21:30:24.770Z,46.56100000000001,99424.065625
1612474193649,2021-02-04T21:30:24.781Z,46.6,99424.065625
1612474193690,2021-02-04T21:30:24.783Z,46.641000000000005,99424.065625
1612474193730,2021-02-04T21:30:24.795Z,46.681000000000004,99424.065625
1612474193771,2021-02-04T21:30:24.797Z,46.722,99424.065625
1612474193810,2021-02-04T21:30:24.799Z,46.761,99424.065625
1612474193850,2021-02-04T21:30:24.810Z,46.801,99424.065625
1612474193891,2021-02-04T21:30:24.813Z,46.842,99424.065625
1612474193930,2021-02-04T21:30:24.815Z,46.881,99424.065625
1612474193971,2021-02-04T21:30:24.826Z,46.922,99424.065625
1612474194011,2021-02-04T21:30:24.828Z,46.961999999999996,99424.065625
1612474194051,2021-02-04T21:30:24.830Z,47.001999999999995,99424.065625
1612474194092,2021-02-04T21:30:24.841Z,47.043,99424.065625
1612474194131,2021-02-04T21:30:24.844Z,47.082,99424.065625
1612474194172,2021-02-04T21:30:24.855Z,47.123000000000005,99423.39375
1612474194212,2021-02-04T21:30:24.857Z,47.163000000000004,99423.39375
1612474194253,2021-02-04T21:30:24.859Z,47.20399999999999,99424.065625
1612474194303,2021-02-04T21:30:24.870Z,47.254,99424.065625
1612474194342,2021-02-04T21:30:24.873Z,47.293,99424.065625
1612474194392,2021-02-04T21:30:24.875Z,47.343,99424.065625
1612474194433,2021-02-04T21:30:24.886Z,47.38399999999999,99423.39375
1612474194472,2021-02-04T21:30:24.888Z,47.423,99423.39375
1612474194512,2021-02-04T21:30:24.890Z,47.463,99423.39375
1612474194553,2021-02-04T21:30:24.902Z,47.504,99423.39375
1612474194593,2021-02-04T21:30:24.903Z,47.544,99423.39375
1612474194634,2021-02-04T21:30:24.906Z,47.585,99423.39375
1612474194673,2021-02-04T21:30:24.917Z,47.623999999999995,99423.39375
1612474194713,2021-02-04T21:30:24.919Z,47.663999999999994,99423.39375
1612474194754,2021-02-04T21:30:24.930Z,47.705,99423.39375
1612474194793,2021-02-04T21:30:24.933Z,47.744,99423.39375
1612474194834,2021-02-04T21:30:24.935Z,47.785,99423.39375
1612474194884,2021-02-04T21:30:24.946Z,47.835,99423.39375
1612474194924,2021-02-04T21:30:24.948Z,47.875,99423.39375
1612474194965,2021-02-04T21:30:24.960Z,47.916000000000004,99424.065625
1612474195004,2021-02-04T21:30:24.962Z,47.955,99424.065625
1612474195044,2021-02-04T21:30:24.965Z,47.995,99424.065625
1612474195085,2021-02-04T21:30:24.976Z,48.036,99424.065625
1612474195124,2021-02-04T21:30:24.978Z,48.075,99424.065625
1612474195165,2021-02-04T21:30:24.980Z,48.11600000000001,99424.065625
1612474195205,2021-02-04T21:30:24.991Z,48.156000000000006,99423.39375
1612474195244,2021-02-04T21:30:24.993Z,48.195,99423.39375
1612474195285,2021-02-04T21:30:25.022Z,48.236000000000004,99424.190625
1612474195325,2021-02-04T21:30:25.030Z,48.276,99424.190625
1612474195366,2021-02-04T21:30:25.036Z,48.317,99424.190625
1612474195406,2021-02-04T21:30:25.038Z,48.357,99424.190625
1612474195445,2021-02-04T21:30:25.040Z,48.396,99424.190625
1612474195486,2021-02-04T21:30:25.051Z,48.437,99424.190625
1612474195526,2021-02-04T21:30:25.053Z,48.477,99424.190625
1612474195567,2021-02-04T21:30:25.056Z,48.518,99424.190625
1612474195606,2021-02-04T21:30:25.067Z,48.556999999999995,99424.190625
1612474195646,2021-02-04T21:30:25.068Z,48.597,99424.190625
1612474195697,2021-02-04T21:30:25.080Z,48.648,99423.534375
1612474195737,2021-02-04T21:30:25.082Z,48.688,99423.534375
1612474195776,2021-02-04T21:30:25.084Z,48.727,99423.534375
1612474195817,2021-02-04T21:30:25.096Z,48.768,99423.534375
1612474195857,2021-02-04T21:30:25.098Z,48.808,99423.534375
1612474195898,2021-02-04T21:30:25.100Z,48.849,99423.534375
1612474195937,2021-02-04T21:30:25.111Z,48.888000000000005,99423.534375
1612474195977,2021-02-04T21:30:25.113Z,48.928000000000004,99423.534375
1612474196018,2021-02-04T21:30:25.115Z,48.968999999999994,99423.534375
1612474196057,2021-02-04T21:30:25.126Z,49.008,99423.534375
1612474196098,2021-02-04T21:30:25.128Z,49.049,99423.534375
1612474196138,2021-02-04T21:30:25.140Z,49.089,99422.7375
1612474196178,2021-02-04T21:30:25.142Z,49.129,99422.7375
1612474196219,2021-02-04T21:30:25.144Z,49.17,99422.7375
1612474196258,2021-02-04T21:30:25.155Z,49.208999999999996,99422.7375
1612474196298,2021-02-04T21:30:25.158Z,49.248999999999995,99423.534375
1612474196339,2021-02-04T21:30:25.160Z,49.29,99423.534375
1612474196378,2021-02-04T21:30:25.171Z,49.32899999999999,99422.065625
1612474196419,2021-02-04T21:30:25.173Z,49.37,99422.065625
1612474196459,2021-02-04T21:30:25.175Z,49.41,99422.8703125
1612474196498,2021-02-04T21:30:25.186Z,49.449,99422.8703125
1612474196539,2021-02-04T21:30:25.188Z,49.49,99422.8703125
1612474196579,2021-02-04T21:30:25.200Z,49.53,99421.409375
1612474196620,2021-02-04T21:30:25.202Z,49.571000000000005,99421.409375
1612474196659,2021-02-04T21:30:25.206Z,49.61,99422.20625
1612474196699,2021-02-04T21:30:25.215Z,49.65,99422.20625
1612474196740,2021-02-04T21:30:25.218Z,49.691,99422.20625
1612474196780,2021-02-04T21:30:25.220Z,49.731,99422.20625
1612474196821,2021-02-04T21:30:25.230Z,49.772,99422.20625
1612474196860,2021-02-04T21:30:25.232Z,49.81100000000001,99422.20625
1612474196900,2021-02-04T21:30:25.235Z,49.851000000000006,99422.20625
1612474196941,2021-02-04T21:30:25.246Z,49.891999999999996,99422.20625
1612474196980,2021-02-04T21:30:25.248Z,49.931000000000004,99422.20625
1612474197021,2021-02-04T21:30:25.251Z,49.972,99422.20625
1612474197061,2021-02-04T21:30:25.261Z,50.012,99422.20625
1612474197100,2021-02-04T21:30:25.263Z,50.051,99422.20625
1612474197141,2021-02-04T21:30:25.266Z,50.092,99422.20625
1612474197181,2021-02-04T21:30:25.276Z,50.132,99422.20625
1612474197222,2021-02-04T21:30:25.279Z,50.173,99422.20625
1612474197262,2021-02-04T21:30:25.291Z,50.213,99422.20625
1612474197301,2021-02-04T21:30:25.293Z,50.251999999999995,99422.20625
1612474197342,2021-02-04T21:30:25.295Z,50.293,99422.20625
1612474197392,2021-02-04T21:30:25.306Z,50.343,99422.20625
1612474197433,2021-02-04T21:30:25.308Z,50.38399999999999,99422.20625
1612474197483,2021-02-04T21:30:25.310Z,50.434,99422.20625
1612474197522,2021-02-04T21:30:25.322Z,50.473,99422.20625
1612474197562,2021-02-04T21:30:25.324Z,50.513000000000005,99422.20625
1612474197603,2021-02-04T21:30:25.335Z,50.553999999999995,99422.20625
1612474197642,2021-02-04T21:30:25.337Z,50.593,99422.20625
1612474197683,2021-02-04T21:30:25.340Z,50.63399999999999,99422.20625
1612474197723,2021-02-04T21:30:25.351Z,50.674,99422.20625
1612474197762,2021-02-04T21:30:25.353Z,50.713,99422.20625
1612474197804,2021-02-04T21:30:25.355Z,50.755,99422.20625
1612474197843,2021-02-04T21:30:25.366Z,50.794,99422.20625
1612474197884,2021-02-04T21:30:25.368Z,50.835,99422.20625
1612474197924,2021-02-04T21:30:25.370Z,50.875,99422.20625
1612474197963,2021-02-04T21:30:25.381Z,50.913999999999994,99422.20625
1612474198004,2021-02-04T21:30:25.384Z,50.955,99422.20625
1612474198044,2021-02-04T21:30:25.395Z,50.995,99422.20625
1612474198085,2021-02-04T21:30:25.397Z,51.036,99422.20625
1612474198124,2021-02-04T21:30:25.399Z,51.075,99422.20625
1612474198164,2021-02-04T21:30:25.412Z,51.115,99421.534375
1612474198205,2021-02-04T21:30:25.413Z,51.156000000000006,99421.534375
1612474198244,2021-02-04T21:30:25.415Z,51.195,99421.534375
1612474198285,2021-02-04T21:30:25.426Z,51.236000000000004,99421.534375
1612474198325,2021-02-04T21:30:25.428Z,51.276,99421.534375
1612474198365,2021-02-04T21:30:25.430Z,51.316,99421.534375
1612474198406,2021-02-04T21:30:25.441Z,51.357,99421.534375
1612474198445,2021-02-04T21:30:25.471Z,51.396,99422.20625
1612474198486,2021-02-04T21:30:25.474Z,51.437,99422.20625
