epoch (ms),time (-07:00),elapsed (s),Pressure (Pa)
1612475362967,2021-02-04T21:52:39.173Z,0.237,99381.294140625
1612475363045,2021-02-04T21:52:39.217Z,0.315,99381.091015625
1612475363123,2021-02-04T21:52:39.249Z,0.393,99380.247265625
1612475363200,2021-02-04T21:52:39.277Z,0.47,99380.051953125
1612475363279,2021-02-04T21:52:39.307Z,0.549,99380.708203125
1612475363357,2021-02-04T21:52:39.352Z,0.627,99380.544140625
1612475363435,2021-02-04T21:52:39.397Z,0.705,99380.544140625
1612475363512,2021-02-04T21:52:39.413Z,0.782,99379.700390625
1612475363590,2021-02-04T21:52:39.442Z,0.86,99379.700390625
1612475363668,2021-02-04T21:52:39.458Z,0.938,99379.505078125
1612475363745,2021-02-04T21:52:39.502Z,1.015,99379.505078125
1612475363823,2021-02-04T21:52:39.518Z,1.093,99379.505078125
1612475363900,2021-02-04T21:52:39.562Z,1.17,99380.153515625
1612475363978,2021-02-04T21:52:39.592Z,1.248,99379.309765625
1612475364056,2021-02-04T21:52:39.622Z,1.326,99379.958203125
1612475364133,2021-02-04T21:52:39.637Z,1.403,99379.958203125
1612475364211,2021-02-04T21:52:39.667Z,1.481,99379.958203125
1612475364289,2021-02-04T21:52:39.683Z,1.559,99379.958203125
1612475364366,2021-02-04T21:52:39.713Z,1.636,99379.106640625
1612475364444,2021-02-04T21:52:39.772Z,1.714,99379.106640625
1612475364522,2021-02-04T21:52:39.804Z,1.792,99379.106640625
1612475364599,2021-02-04T21:52:39.847Z,1.869,99379.762890625
1612475364677,2021-02-04T21:52:39.892Z,1.947,99379.762890625
1612475364754,2021-02-04T21:52:39.908Z,2.024,99379.762890625
1612475364832,2021-02-04T21:52:39.952Z,2.102,99380.419140625
1612475364910,2021-02-04T21:52:39.968Z,2.18,99380.419140625
1612475364987,2021-02-04T21:52:40.042Z,2.257,99380.419140625
1612475365065,2021-02-04T21:52:40.059Z,2.335,99381.075390625
1612475365143,2021-02-04T21:52:40.118Z,2.413,99380.419140625
1612475365220,2021-02-04T21:52:40.162Z,2.49,99380.419140625
1612475365298,2021-02-04T21:52:40.193Z,2.568,99380.419140625
1612475365376,2021-02-04T21:52:40.252Z,2.646,99380.419140625
1612475365453,2021-02-04T21:52:40.269Z,2.723,99380.419140625
1612475365531,2021-02-04T21:52:40.327Z,2.801,99380.419140625
1612475365608,2021-02-04T21:52:40.372Z,2.878,99380.419140625
1612475365686,2021-02-04T21:52:40.388Z,2.956,99380.419140625
1612475365764,2021-02-04T21:52:40.417Z,3.034,99380.419140625
1612475365841,2021-02-04T21:52:40.462Z,3.111,99379.575390625
1612475365919,2021-02-04T21:52:40.494Z,3.189,99379.575390625
1612475365997,2021-02-04T21:52:40.522Z,3.267,99379.575390625
1612475366074,2021-02-04T21:52:40.539Z,3.344,99379.575390625
1612475366152,2021-02-04T21:52:40.598Z,3.422,99379.575390625
1612475366230,2021-02-04T21:52:40.627Z,3.5,99379.575390625
1612475366307,2021-02-04T21:52:40.643Z,3.577,99379.575390625
1612475366385,2021-02-04T21:52:40.703Z,3.655,99379.575390625
1612475366462,2021-02-04T21:52:40.762Z,3.732,99378.919140625
1612475366540,2021-02-04T21:52:40.792Z,3.81,99379.575390625
1612475366618,2021-02-04T21:52:40.822Z,3.888,99379.575390625
1612475366695,2021-02-04T21:52:40.852Z,3.965,99379.575390625
1612475366773,2021-02-04T21:52:40.868Z,4.043,99379.575390625
1612475366851,2021-02-04T21:52:40.897Z,4.121,99379.575390625
1612475366928,2021-02-04T21:52:40.927Z,4.198,99379.575390625
1612475367006,2021-02-04T21:52:40.944Z,4.276,99379.575390625
1612475367084,2021-02-04T21:52:40.972Z,4.354,99378.919140625
1612475367161,2021-02-04T21:52:41.002Z,4.431,99378.919140625
1612475367239,2021-02-04T21:52:41.018Z,4.509,99378.919140625
1612475367318,2021-02-04T21:52:41.047Z,4.588,99378.919140625
1612475367394,2021-02-04T21:52:41.064Z,4.664,99378.919140625
1612475367472,2021-02-04T21:52:41.093Z,4.742,99378.919140625
1612475367549,2021-02-04T21:52:41.109Z,4.819,99378.919140625
1612475367627,2021-02-04T21:52:41.137Z,4.897,99378.919140625
1612475367705,2021-02-04T21:52:41.154Z,4.975,99379.575390625
1612475367784,2021-02-04T21:52:41.183Z,5.054,99379.575390625
1612475367860,2021-02-04T21:52:41.212Z,5.13,99379.575390625
1612475367938,2021-02-04T21:52:41.229Z,5.208,99379.575390625
