epoch (ms),time (-07:00),elapsed (s),Pressure (Pa)
1612475741996,2021-02-04T21:57:32.301Z,0.34,99377.48046875
1612475742074,2021-02-04T21:57:32.314Z,0.418,99377.48828125
1612475742151,2021-02-04T21:57:32.342Z,0.495,99376.83203125
1612475742229,2021-02-04T21:57:32.346Z,0.573,99377.03515625
1612475742307,2021-02-04T21:57:32.360Z,0.651,99376.56640625
1612475742384,2021-02-04T21:57:32.373Z,0.728,99376.06640625
1612475742462,2021-02-04T21:57:32.386Z,0.806,99375.60546875
1612475742540,2021-02-04T21:57:32.391Z,0.884,99375.61328125
1612475742617,2021-02-04T21:57:32.404Z,0.961,99375.30078125
1612475742695,2021-02-04T21:57:32.417Z,1.039,99374.99609375
1612475742772,2021-02-04T21:57:32.422Z,1.116,99375.30859375
1612475742850,2021-02-04T21:57:32.436Z,1.194,99374.34765625
1612475742928,2021-02-04T21:57:32.448Z,1.272,99374.84765625
1612475743005,2021-02-04T21:57:32.462Z,1.349,99375.00390625
1612475743083,2021-02-04T21:57:32.466Z,1.427,99374.03515625
1612475743161,2021-02-04T21:57:32.479Z,1.505,99374.54296875
1612475743238,2021-02-04T21:57:32.493Z,1.582,99374.39453125
1612475743316,2021-02-04T21:57:32.497Z,1.66,99374.23828125
1612475743394,2021-02-04T21:57:32.511Z,1.738,99374.08203125
1612475743471,2021-02-04T21:57:32.524Z,1.815,99373.89453125
1612475743549,2021-02-04T21:57:32.538Z,1.893,99373.58203125
1612475743626,2021-02-04T21:57:32.542Z,1.97,99374.23828125
1612475743704,2021-02-04T21:57:32.556Z,2.048,99373.42578125
1612475743782,2021-02-04T21:57:32.569Z,2.126,99373.26953125
1612475743859,2021-02-04T21:57:32.582Z,2.203,99373.11328125
1612475743937,2021-02-04T21:57:32.586Z,2.281,99373.11328125
1612475744015,2021-02-04T21:57:32.600Z,2.359,99372.95703125
1612475744092,2021-02-04T21:57:32.642Z,2.436,99372.73828125
1612475744170,2021-02-04T21:57:32.659Z,2.514,99373.39453125
1612475744248,2021-02-04T21:57:32.672Z,2.592,99372.58203125
1612475744325,2021-02-04T21:57:32.676Z,2.669,99372.58203125
1612475744403,2021-02-04T21:57:32.690Z,2.747,99372.42578125
1612475744480,2021-02-04T21:57:32.705Z,2.824,99372.42578125
1612475744558,2021-02-04T21:57:32.725Z,2.902,99372.26953125
1612475744636,2021-02-04T21:57:32.732Z,2.98,99372.26953125
1612475744713,2021-02-04T21:57:32.736Z,3.057,99372.26953125
1612475744791,2021-02-04T21:57:32.749Z,3.135,99372.93359375
1612475744869,2021-02-04T21:57:32.762Z,3.213,99372.12109375
1612475744946,2021-02-04T21:57:32.766Z,3.29,99372.12109375
1612475745024,2021-02-04T21:57:32.779Z,3.368,99372.12109375
1612475745102,2021-02-04T21:57:32.792Z,3.446,99371.30078125
1612475745179,2021-02-04T21:57:32.796Z,3.523,99371.96484375
1612475745257,2021-02-04T21:57:32.810Z,3.601,99371.96484375
1612475745334,2021-02-04T21:57:32.822Z,3.678,99371.96484375
1612475745412,2021-02-04T21:57:32.827Z,3.756,99371.96484375
1612475745490,2021-02-04T21:57:32.840Z,3.834,99371.96484375
1612475745567,2021-02-04T21:57:32.853Z,3.911,99371.14453125
1612475745645,2021-02-04T21:57:32.867Z,3.989,99371.80859375
1612475745723,2021-02-04T21:57:32.871Z,4.067,99371.80859375
1612475745800,2021-02-04T21:57:32.885Z,4.144,99371.80859375
1612475745878,2021-02-04T21:57:32.899Z,4.222,99371.80859375
1612475745956,2021-02-04T21:57:32.912Z,4.3,99371.80859375
1612475746033,2021-02-04T21:57:32.916Z,4.377,99371.80859375
1612475746111,2021-02-04T21:57:32.930Z,4.455,99370.96484375
1612475746188,2021-02-04T21:57:32.943Z,4.532,99370.96484375
1612475746266,2021-02-04T21:57:32.947Z,4.61,99370.96484375
1612475746344,2021-02-04T21:57:32.961Z,4.688,99370.96484375
1612475746421,2021-02-04T21:57:32.974Z,4.765,99370.96484375
1612475746499,2021-02-04T21:57:32.988Z,4.843,99370.96484375
1612475746577,2021-02-04T21:57:32.992Z,4.921,99370.96484375
1612475746656,2021-02-04T21:57:33.006Z,5,99370.96484375
1612475746732,2021-02-04T21:57:33.019Z,5.076,99370.96484375
1612475746810,2021-02-04T21:57:33.032Z,5.154,99370.96484375
1612475746887,2021-02-04T21:57:33.036Z,5.231,99370.96484375
1612475746965,2021-02-04T21:57:33.050Z,5.309,99370.96484375
1612475747042,2021-02-04T21:57:33.063Z,5.386,99370.96484375
1612475747122,2021-02-04T21:57:33.076Z,5.466,99371.62109375
1612475747198,2021-02-04T21:57:33.080Z,5.542,99371.62109375
1612475747277,2021-02-04T21:57:33.137Z,5.621,99370.96484375
1612475747353,2021-02-04T21:57:33.141Z,5.697,99370.96484375
1612475747431,2021-02-04T21:57:33.154Z,5.775,99370.96484375
1612475747508,2021-02-04T21:57:33.168Z,5.852,99371.62109375
1612475747586,2021-02-04T21:57:33.172Z,5.93,99371.62109375
1612475747664,2021-02-04T21:57:33.186Z,6.008,99371.62109375
1612475747741,2021-02-04T21:57:33.199Z,6.085,99371.62109375
1612475747819,2021-02-04T21:57:33.213Z,6.163,99371.62109375
1612475747896,2021-02-04T21:57:33.217Z,6.24,99371.62109375
1612475747974,2021-02-04T21:57:33.231Z,6.318,99371.62109375
1612475748052,2021-02-04T21:57:33.244Z,6.396,99371.62109375
1612475748129,2021-02-04T21:57:33.259Z,6.473,99371.62109375
1612475748207,2021-02-04T21:57:33.272Z,6.551,99371.62109375
1612475748285,2021-02-04T21:57:33.277Z,6.629,99371.62109375
1612475748362,2021-02-04T21:57:33.290Z,6.706,99371.62109375
1612475748441,2021-02-04T21:57:33.304Z,6.785,99371.62109375
1612475748519,2021-02-04T21:57:33.307Z,6.863,99371.62109375
1612475748597,2021-02-04T21:57:33.321Z,6.941,99371.62109375
1612475748674,2021-02-04T21:57:33.333Z,7.018,99371.62109375
1612475748752,2021-02-04T21:57:33.347Z,7.096,99371.62109375
1612475748830,2021-02-04T21:57:33.351Z,7.174,99371.62109375
1612475748907,2021-02-04T21:57:33.365Z,7.251,99371.62109375
1612475748985,2021-02-04T21:57:33.377Z,7.329,99371.62109375
1612475749062,2021-02-04T21:57:33.381Z,7.406,99371.62109375
1612475749140,2021-02-04T21:57:33.394Z,7.484,99371.62109375
1612475749218,2021-02-04T21:57:33.408Z,7.562,99371.62109375
1612475749295,2021-02-04T21:57:33.412Z,7.639,99371.62109375
1612475749373,2021-02-04T21:57:33.426Z,7.717,99371.62109375
1612475749451,2021-02-04T21:57:33.439Z,7.795,99371.62109375
1612475749528,2021-02-04T21:57:33.453Z,7.872,99371.62109375
1612475749606,2021-02-04T21:57:33.457Z,7.95,99371.62109375
1612475749684,2021-02-04T21:57:33.471Z,8.028,99372.28515625
1612475749761,2021-02-04T21:57:33.483Z,8.105,99371.62109375
1612475749839,2021-02-04T21:57:33.497Z,8.183,99372.28515625
1612475749916,2021-02-04T21:57:33.501Z,8.26,99372.28515625
1612475749994,2021-02-04T21:57:33.515Z,8.338,99372.28515625
1612475750072,2021-02-04T21:57:33.528Z,8.416,99372.28515625
1612475750149,2021-02-04T21:57:33.542Z,8.493,99372.28515625
1612475750227,2021-02-04T21:57:33.547Z,8.571,99372.28515625
1612475750305,2021-02-04T21:57:33.587Z,8.649,99372.28515625
1612475750382,2021-02-04T21:57:33.591Z,8.726,99372.28515625
1612475750461,2021-02-04T21:57:33.604Z,8.805,99371.62109375
