epoch (ms),time (-07:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1612475741652,2021-02-04T21:57:32.272Z,-0.024,-0.0036214191932231188,0.8286675214767456,-0.5101115107536316
1612475741693,2021-02-04T21:57:32.274Z,0.017,-0.0031331379432231188,0.8308647871017456,-0.5167033076286316
1612475741733,2021-02-04T21:57:32.276Z,0.057,-0.0019124349346384406,0.8320854902267456,-0.5147501826286316
1612475741774,2021-02-04T21:57:32.287Z,0.098,-0.0033772785682231188,0.8313530683517456,-0.5167033076286316
1612475741813,2021-02-04T21:57:32.289Z,0.137,-0.0024007160682231188,0.8308647871017456,-0.5179240107536316
1612475741863,2021-02-04T21:57:32.292Z,0.187,-0.0019124349346384406,0.8315972089767456,-0.5191447138786316
1612475741904,2021-02-04T21:57:32.303Z,0.228,-0.0011800130596384406,0.8313530683517456,-0.5130411982536316
1612475741954,2021-02-04T21:57:32.306Z,0.278,-0.0009358723764307797,0.8333061933517456,-0.5181681513786316
1612475741993,2021-02-04T21:57:32.317Z,0.317,-0.0009358723764307797,0.8289116621017456,-0.5184122920036316
1612475742034,2021-02-04T21:57:32.318Z,0.358,-0.0033772785682231188,0.8328179121017456,-0.5162150263786316
1612475742074,2021-02-04T21:57:32.321Z,0.398,-0.0038655598182231188,0.8315972089767456,-0.5154826045036316
1612475742114,2021-02-04T21:57:32.333Z,0.438,-0.0031331379432231188,0.8323296308517456,-0.5157267451286316
1612475742155,2021-02-04T21:57:32.334Z,0.479,-0.0011800130596384406,0.8311089277267456,-0.5167033076286316
1612475742194,2021-02-04T21:57:32.336Z,0.518,-0.0009358723764307797,0.8296440839767456,-0.5152384638786316
1612475742235,2021-02-04T21:57:32.347Z,0.559,-0.0019124349346384406,0.8306206464767456,-0.5147501826286316
1612475742275,2021-02-04T21:57:32.350Z,0.599,-0.0019124349346384406,0.8315972089767456,-0.5206095576286316
1612475742314,2021-02-04T21:57:32.352Z,0.638,-0.0033772785682231188,0.8315972089767456,-0.5184122920036316
1612475742355,2021-02-04T21:57:32.363Z,0.679,-0.0024007160682231188,0.8308647871017456,-0.5152384638786316
1612475742395,2021-02-04T21:57:32.365Z,0.719,-0.0028889973182231188,0.8311089277267456,-0.5132853388786316
