epoch (ms),time (-07:00),elapsed (s),Pressure (Pa)
1612475047696,2021-02-04T21:47:31.529Z,0.382,99395.46484375
1612475047773,2021-02-04T21:47:31.542Z,0.459,99393.48046875
1612475047851,2021-02-04T21:47:31.555Z,0.537,99391.51171875
1612475047929,2021-02-04T21:47:31.559Z,0.615,99390.98046875
1612475048006,2021-02-04T21:47:31.573Z,0.692,99390.60546875
1612475048084,2021-02-04T21:47:31.586Z,0.77,99389.41796875
1612475048162,2021-02-04T21:47:31.600Z,0.848,99388.35546875
1612475048239,2021-02-04T21:47:31.604Z,0.925,99387.98046875
1612475048317,2021-02-04T21:47:31.618Z,1.003,99386.91796875
1612475048396,2021-02-04T21:47:31.630Z,1.082,99386.66796875
1612475048474,2021-02-04T21:47:31.634Z,1.16,99385.58984375
1612475048551,2021-02-04T21:47:31.647Z,1.237,99385.33984375
1612475048629,2021-02-04T21:47:31.660Z,1.315,99384.40234375
1612475048706,2021-02-04T21:47:31.664Z,1.392,99383.49609375
1612475048784,2021-02-04T21:47:31.680Z,1.47,99383.21484375
1612475048862,2021-02-04T21:47:31.691Z,1.548,99382.30078125
1612475048939,2021-02-04T21:47:31.705Z,1.625,99381.23828125
1612475049017,2021-02-04T21:47:31.709Z,1.703,99380.44921875
1612475049095,2021-02-04T21:47:31.722Z,1.781,99380.32421875
1612475049172,2021-02-04T21:47:31.735Z,1.858,99379.41796875
1612475049250,2021-02-04T21:47:31.740Z,1.936,99379.26171875
1612475049328,2021-02-04T21:47:31.753Z,2.014,99378.47265625
1612475049405,2021-02-04T21:47:31.766Z,2.091,99378.34765625
1612475049483,2021-02-04T21:47:31.770Z,2.169,99377.55859375
1612475049560,2021-02-04T21:47:31.811Z,2.246,99377.40234375
1612475049638,2021-02-04T21:47:31.825Z,2.324,99377.24609375
1612475049716,2021-02-04T21:47:31.829Z,2.402,99377.12109375
1612475049793,2021-02-04T21:47:31.843Z,2.479,99377.12109375
1612475049871,2021-02-04T21:47:31.856Z,2.557,99376.33984375
1612475049949,2021-02-04T21:47:31.870Z,2.635,99376.21484375
1612475050026,2021-02-04T21:47:31.874Z,2.712,99376.87109375
1612475050104,2021-02-04T21:47:31.887Z,2.79,99376.08984375
1612475050182,2021-02-04T21:47:31.900Z,2.868,99375.93359375
1612475050259,2021-02-04T21:47:31.905Z,2.945,99375.93359375
1612475050337,2021-02-04T21:47:31.917Z,3.023,99375.80859375
1612475050414,2021-02-04T21:47:31.931Z,3.1,99375.80859375
1612475050492,2021-02-04T21:47:31.934Z,3.178,99375.01953125
1612475050570,2021-02-04T21:47:31.948Z,3.256,99375.01953125
1612475050647,2021-02-04T21:47:31.961Z,3.333,99375.01953125
1612475050726,2021-02-04T21:47:31.975Z,3.412,99374.23046875
1612475050804,2021-02-04T21:47:31.979Z,3.49,99374.23046875
1612475050882,2021-02-04T21:47:31.992Z,3.568,99374.23046875
1612475050959,2021-02-04T21:47:32.005Z,3.645,99374.23046875
1612475051037,2021-02-04T21:47:32.010Z,3.723,99373.44921875
1612475051115,2021-02-04T21:47:32.023Z,3.801,99373.44921875
1612475051192,2021-02-04T21:47:32.036Z,3.878,99373.44921875
1612475051270,2021-02-04T21:47:32.040Z,3.956,99373.44921875
1612475051348,2021-02-04T21:47:32.054Z,4.034,99373.29296875
1612475051425,2021-02-04T21:47:32.067Z,4.111,99373.29296875
1612475051503,2021-02-04T21:47:32.080Z,4.189,99373.29296875
1612475051580,2021-02-04T21:47:32.084Z,4.266,99373.29296875
