epoch (ms),time (-07:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1631029143570,2021-09-07T15:40:29.407Z,0.008,-0.012150065042078495,0.20508626103401184,0.9522379636764526
1631029143610,2021-09-07T15:40:29.409Z,0.048,-0.01996256597340107,0.21192219853401184,0.9576090574264526
1631029143651,2021-09-07T15:40:29.411Z,0.089,-0.014347330667078495,0.21656087040901184,0.9661539793014526
1631029143690,2021-09-07T15:40:29.422Z,0.128,-0.014347330667078495,0.21680501103401184,0.9605387449264526
1631029143730,2021-09-07T15:40:29.423Z,0.168,-0.01581217534840107,0.21167805790901184,0.9617594480514526
1631029143771,2021-09-07T15:40:29.425Z,0.209,-0.014835611917078495,0.21509602665901184,0.9607828855514526
1631029143810,2021-09-07T15:40:29.436Z,0.248,-0.013370768167078495,0.21680501103401184,0.9576090574264526
1631029143850,2021-09-07T15:40:29.438Z,0.288,-0.010685221292078495,0.21656087040901184,0.9612711668014526
1631029143891,2021-09-07T15:40:29.442Z,0.329,-0.014103190042078495,0.21704915165901184,0.9593180418014526
1631029143930,2021-09-07T15:40:29.452Z,0.368,-0.015079752542078495,0.21534016728401184,0.9668864011764526
1631029143971,2021-09-07T15:40:29.455Z,0.409,-0.015323893167078495,0.21363118290901184,0.9576090574264526
1631029144011,2021-09-07T15:40:29.457Z,0.449,-0.012638346292078495,0.21558430790901184,0.9639567136764526
1631029144051,2021-09-07T15:40:29.472Z,0.489,-0.01654459722340107,0.21631672978401184,0.9632242918014526
1631029144092,2021-09-07T15:40:29.472Z,0.53,-0.013859049417078495,0.21607258915901184,0.9620035886764526
1631029144131,2021-09-07T15:40:29.481Z,0.569,-0.013370768167078495,0.21656087040901184,0.9549235105514526
1631029144172,2021-09-07T15:40:29.484Z,0.61,-0.011905924417078495,0.21631672978401184,0.9566324949264526
1631029144212,2021-09-07T15:40:29.486Z,0.65,-0.01947428472340107,0.22168782353401184,0.9607828855514526
1631029144251,2021-09-07T15:40:29.497Z,0.689,-0.015323893167078495,0.21534016728401184,0.9688395261764526
1631029144292,2021-09-07T15:40:29.499Z,0.73,-0.007999674417078495,0.20801594853401184,0.9615153074264526
1631029144332,2021-09-07T15:40:29.501Z,0.77,-0.006290690042078495,0.20703938603401184,0.9651774168014526
1631029144382,2021-09-07T15:40:29.513Z,0.82,-0.008243815042078495,0.21387532353401184,0.9673746824264526
1631029144423,2021-09-07T15:40:29.515Z,0.861,-0.005069986917078495,0.21460774540901184,0.9615153074264526
1631029144462,2021-09-07T15:40:29.517Z,0.9,-0.006290690042078495,0.21021321415901184,0.9610270261764526
1631029144512,2021-09-07T15:40:29.528Z,0.95,-0.005069986917078495,0.20752766728401184,0.9624918699264526
1631029144553,2021-09-07T15:40:29.530Z,0.991,-0.007023111917078495,0.20923665165901184,0.9656656980514526
1631029144593,2021-09-07T15:40:29.541Z,1.031,-0.005314127542078495,0.20923665165901184,0.9673746824264526
1631029144632,2021-09-07T15:40:29.543Z,1.07,-0.006290690042078495,0.20703938603401184,0.9624918699264526
1631029144673,2021-09-07T15:40:29.546Z,1.111,-0.004825846292078495,0.20630696415901184,0.9637125730514526
