epoch (ms),time (-07:00),elapsed (s),X-Axis (deg/s),Y-Axis (deg/s),Z-Axis (deg/s)
1631029473029,2021-09-07T15:45:36.680Z,0.084,-12.53429889678955,-9.30068588256836,-4.001524448394775
1631029473068,2021-09-07T15:45:36.682Z,0.123,-16.07088279724121,-13.812881469726562,-6.01371955871582
1631029473108,2021-09-07T15:45:36.684Z,0.163,-13.875762939453125,-18.690929412841797,-7.233231544494629
1631029473148,2021-09-07T15:45:36.695Z,0.203,-8.63185977935791,-13.32507610321045,-3.574695110321045
1631029473187,2021-09-07T15:45:36.697Z,0.242,-3.326981782913208,-3.508002996444702,-2.6600608825683594
1631029473227,2021-09-07T15:45:36.710Z,0.282,-5.887957572937012,-1.0689785480499268,0.14481708407402039
1631029473266,2021-09-07T15:45:36.711Z,0.321,-0.27820122241973877,2.955411672592163,1.9740854501724243
1631029473297,2021-09-07T15:45:36.713Z,0.352,-1.8025914430618286,-7.532393932342529,3.315548896789551
1631029473337,2021-09-07T15:45:36.725Z,0.392,-1.741615891456604,-4.788491249084473,2.096036672592163
1631029473376,2021-09-07T15:45:36.727Z,0.431,-3.4489328861236572,-13.690930366516113,1.9740854501724243
1631029473416,2021-09-07T15:45:36.729Z,0.471,0.45350611209869385,-2.7762956619262695,2.5228660106658936
1631029473455,2021-09-07T15:45:36.740Z,0.51,0.39253050088882446,0.9432164430618286,0.5716463327407837
1631029473495,2021-09-07T15:45:36.743Z,0.55,-0.5830792784690857,-1.0080029964447021,-1.3185975551605225
1631029473534,2021-09-07T15:45:36.754Z,0.589,-3.8757622241973877,-1.7397103309631348,-1.9283536672592163
1631029473574,2021-09-07T15:45:36.756Z,0.629,-2.778201103210449,-0.8250762820243835,-1.6844512224197388
1631029473613,2021-09-07T15:45:36.758Z,0.668,-2.7172255516052246,-0.03239325433969498,-0.9527439475059509
1631029473653,2021-09-07T15:45:36.770Z,0.708,-0.948932945728302,0.8212652206420898,-0.22103658318519592
1631029473694,2021-09-07T15:45:36.771Z,0.749,1.3681402206420898,2.284679889678955,1.0594512224197388
1631029473732,2021-09-07T15:45:36.773Z,0.787,0.6974085569381714,2.0407774448394775,0.7545731067657471
