epoch (ms),time (-07:00),elapsed (s),Pressure (Pa)
1631033540871,2021-09-07T16:53:36.436Z,0.296,99318.515625
1631033540949,2021-09-07T16:53:36.449Z,0.374,99319.171875
1631033541027,2021-09-07T16:53:36.462Z,0.452,99319.171875
1631033541104,2021-09-07T16:53:36.493Z,0.529,99319.171875
1631033541182,2021-09-07T16:53:36.497Z,0.607,99319.171875
1631033541260,2021-09-07T16:53:36.511Z,0.685,99318.515625
1631033541337,2021-09-07T16:53:36.524Z,0.762,99319.171875
1631033541415,2021-09-07T16:53:36.537Z,0.84,99318.515625
1631033541493,2021-09-07T16:53:36.542Z,0.918,99318.515625
1631033541570,2021-09-07T16:53:36.555Z,0.995,99318.515625
1631033541648,2021-09-07T16:53:36.568Z,1.073,99318.515625
1631033541725,2021-09-07T16:53:36.572Z,1.15,99318.6875
1631033541803,2021-09-07T16:53:36.585Z,1.228,99319.34375
1631033541881,2021-09-07T16:53:36.598Z,1.306,99318.6875
1631033541958,2021-09-07T16:53:36.602Z,1.383,99318.03125
1631033542036,2021-09-07T16:53:36.616Z,1.461,99318.03125
1631033542114,2021-09-07T16:53:36.629Z,1.539,99318.859375
1631033542191,2021-09-07T16:53:36.642Z,1.616,99318.859375
1631033542269,2021-09-07T16:53:36.647Z,1.694,99318.203125
1631033542347,2021-09-07T16:53:36.660Z,1.772,99318.203125
1631033542424,2021-09-07T16:53:36.673Z,1.849,99318.203125
1631033542502,2021-09-07T16:53:36.677Z,1.927,99318.203125
1631033542579,2021-09-07T16:53:36.690Z,2.004,99318.203125
1631033542657,2021-09-07T16:53:36.705Z,2.082,99317.546875
1631033542735,2021-09-07T16:53:36.717Z,2.16,99317.546875
1631033542812,2021-09-07T16:53:36.722Z,2.237,99316.8984375
1631033542890,2021-09-07T16:53:36.735Z,2.315,99317.75
1631033542968,2021-09-07T16:53:36.748Z,2.393,99316.8984375
1631033543045,2021-09-07T16:53:36.752Z,2.47,99316.8984375
1631033543123,2021-09-07T16:53:36.766Z,2.548,99317.75
1631033543201,2021-09-07T16:53:36.779Z,2.626,99317.75
1631033543278,2021-09-07T16:53:36.793Z,2.703,99317.75
1631033543356,2021-09-07T16:53:36.796Z,2.781,99317.09375
1631033543433,2021-09-07T16:53:36.810Z,2.858,99317.09375
1631033543511,2021-09-07T16:53:36.823Z,2.936,99317.09375
1631033543589,2021-09-07T16:53:36.827Z,3.014,99317.09375
1631033543666,2021-09-07T16:53:36.840Z,3.091,99317.09375
1631033543744,2021-09-07T16:53:36.854Z,3.169,99317.09375
1631033543822,2021-09-07T16:53:36.867Z,3.247,99317.09375
1631033543899,2021-09-07T16:53:36.872Z,3.324,99317.09375
1631033543977,2021-09-07T16:53:36.885Z,3.402,99317.09375
1631033544055,2021-09-07T16:53:36.898Z,3.48,99316.4453125
1631033544132,2021-09-07T16:53:36.902Z,3.557,99316.4453125
1631033544210,2021-09-07T16:53:36.915Z,3.635,99316.4453125
1631033544287,2021-09-07T16:53:36.946Z,3.712,99316.4453125
1631033544365,2021-09-07T16:53:36.960Z,3.79,99315.796875
1631033544443,2021-09-07T16:53:36.973Z,3.868,99316.4453125
1631033544520,2021-09-07T16:53:36.978Z,3.945,99315.796875
1631033544598,2021-09-07T16:53:36.991Z,4.023,99316.4453125
1631033544676,2021-09-07T16:53:37.004Z,4.101,99317.265625
1631033544753,2021-09-07T16:53:37.018Z,4.178,99317.265625
1631033544832,2021-09-07T16:53:37.022Z,4.257,99317.265625
1631033544909,2021-09-07T16:53:37.035Z,4.334,99317.265625
1631033544986,2021-09-07T16:53:37.048Z,4.411,99316.609375
1631033545065,2021-09-07T16:53:37.062Z,4.49,99317.265625
1631033545143,2021-09-07T16:53:37.065Z,4.568,99316.609375
1631033545221,2021-09-07T16:53:37.079Z,4.646,99317.265625
1631033545298,2021-09-07T16:53:37.092Z,4.723,99317.265625
1631033545376,2021-09-07T16:53:37.097Z,4.801,99317.265625
1631033545453,2021-09-07T16:53:37.110Z,4.878,99316.609375
1631033545531,2021-09-07T16:53:37.123Z,4.956,99316.609375
1631033545609,2021-09-07T16:53:37.127Z,5.034,99316.609375
1631033545686,2021-09-07T16:53:37.140Z,5.111,99316.609375
1631033545764,2021-09-07T16:53:37.154Z,5.189,99316.609375
1631033545842,2021-09-07T16:53:37.167Z,5.267,99315.9609375
1631033545919,2021-09-07T16:53:37.171Z,5.344,99315.9609375
1631033545997,2021-09-07T16:53:37.186Z,5.422,99315.9609375
1631033546075,2021-09-07T16:53:37.198Z,5.5,99316.609375
1631033546152,2021-09-07T16:53:37.202Z,5.577,99316.609375
1631033546230,2021-09-07T16:53:37.215Z,5.655,99317.4375
1631033546307,2021-09-07T16:53:37.229Z,5.732,99317.4375
1631033546385,2021-09-07T16:53:37.242Z,5.81,99318.09375
1631033546463,2021-09-07T16:53:37.247Z,5.888,99318.09375
1631033546540,2021-09-07T16:53:37.259Z,5.965,99318.09375
1631033546618,2021-09-07T16:53:37.272Z,6.043,99318.09375
1631033546696,2021-09-07T16:53:37.277Z,6.121,99318.09375
1631033546773,2021-09-07T16:53:37.290Z,6.198,99318.09375
1631033546851,2021-09-07T16:53:37.303Z,6.276,99318.09375
1631033546929,2021-09-07T16:53:37.317Z,6.354,99318.09375
1631033547006,2021-09-07T16:53:37.321Z,6.431,99317.4375
1631033547084,2021-09-07T16:53:37.335Z,6.509,99318.09375
1631033547161,2021-09-07T16:53:37.348Z,6.586,99318.09375
1631033547239,2021-09-07T16:53:37.352Z,6.664,99317.4375
1631033547317,2021-09-07T16:53:37.392Z,6.742,99317.4375
1631033547394,2021-09-07T16:53:37.396Z,6.819,99317.4375
1631033547472,2021-09-07T16:53:37.410Z,6.897,99317.4375
1631033547550,2021-09-07T16:53:37.423Z,6.975,99317.4375
1631033547627,2021-09-07T16:53:37.427Z,7.052,99317.4375
1631033547705,2021-09-07T16:53:37.440Z,7.13,99317.4375
1631033547783,2021-09-07T16:53:37.454Z,7.208,99317.4375
