epoch (ms),time (-07:00),elapsed (s),X-Axis (T),Y-Axis (T),Z-Axis (T)
1631031868857,2021-09-07T16:27:09.214Z,-0.015,5.003787994384766,-23.967803955078125,-85.01704406738281
1631031868897,2021-09-07T16:27:09.216Z,0.025,4.628787994384766,-24.717803955078125,-85.39204406738281
1631031868938,2021-09-07T16:27:09.218Z,0.066,5.003787994384766,-24.342803955078125,-85.39204406738281
1631031868977,2021-09-07T16:27:09.229Z,0.105,5.378787994384766,-29.905303955078125,-84.14204406738281
1631031869017,2021-09-07T16:27:09.231Z,0.145,4.628787994384766,-24.717803955078125,-87.32954406738281
1631031869037,2021-09-07T16:27:09.233Z,0.165,4.628787994384766,-22.842803955078125,-84.95454406738281
1631031869077,2021-09-07T16:27:09.244Z,0.205,3.8787879943847656,-24.342803955078125,-86.45454406738281
1631031869118,2021-09-07T16:27:09.246Z,0.246,5.003787994384766,-22.467803955078125,-84.89204406738281
1631031869157,2021-09-07T16:27:09.258Z,0.285,4.628787994384766,-24.342803955078125,-85.26704406738281
1631031869197,2021-09-07T16:27:09.260Z,0.325,5.378787994384766,-25.092803955078125,-87.26704406738281
1631031869236,2021-09-07T16:27:09.262Z,0.364,5.003787994384766,-23.217803955078125,-85.70454406738281
1631031869276,2021-09-07T16:27:09.273Z,0.404,4.628787994384766,-31.717803955078125,-86.89204406738281
1631031869316,2021-09-07T16:27:09.275Z,0.444,4.628787994384766,-23.592803955078125,-87.64204406738281
1631031869355,2021-09-07T16:27:09.277Z,0.483,5.003787994384766,-23.217803955078125,-86.45454406738281
1631031869395,2021-09-07T16:27:09.289Z,0.523,4.628787994384766,-24.717803955078125,-85.70454406738281
1631031869434,2021-09-07T16:27:09.290Z,0.562,4.253787994384766,-22.467803955078125,-85.64204406738281
1631031869474,2021-09-07T16:27:09.293Z,0.602,3.8787879943847656,-23.967803955078125,-85.26704406738281
1631031869513,2021-09-07T16:27:09.304Z,0.641,5.003787994384766,-22.467803955078125,-85.64204406738281
1631031869554,2021-09-07T16:27:09.306Z,0.682,5.003787994384766,-22.842803955078125,-86.45454406738281
1631031869594,2021-09-07T16:27:09.308Z,0.722,5.753787994384766,-22.842803955078125,-85.70454406738281
1631031869633,2021-09-07T16:27:09.334Z,0.761,4.253787994384766,-23.967803955078125,-87.57954406738281
1631031869673,2021-09-07T16:27:09.336Z,0.801,5.003787994384766,-23.967803955078125,-85.64204406738281
1631031869713,2021-09-07T16:27:09.338Z,0.841,5.378787994384766,-25.092803955078125,-85.70454406738281
1631031869752,2021-09-07T16:27:09.349Z,0.88,5.003787994384766,-22.467803955078125,-87.20454406738281
1631031869792,2021-09-07T16:27:09.352Z,0.92,5.003787994384766,-22.092803955078125,-86.82954406738281
1631031869831,2021-09-07T16:27:09.363Z,0.959,4.628787994384766,-30.655303955078125,-86.01704406738281
1631031869871,2021-09-07T16:27:09.365Z,0.999,5.378787994384766,-23.967803955078125,-88.45454406738281
1631031869910,2021-09-07T16:27:09.367Z,1.038,5.378787994384766,-25.092803955078125,-84.82954406738281
1631031869950,2021-09-07T16:27:09.378Z,1.078,5.753787994384766,-26.905303955078125,-84.45454406738281
1631031869989,2021-09-07T16:27:09.380Z,1.117,7.191287994384766,-24.717803955078125,-84.01704406738281
1631031870030,2021-09-07T16:27:09.382Z,1.158,6.503787994384766,-26.217803955078125,-82.45454406738281
1631031870070,2021-09-07T16:27:09.438Z,1.198,6.816287994384766,-26.530303955078125,-80.45454406738281
1631031870110,2021-09-07T16:27:09.440Z,1.238,7.191287994384766,-26.905303955078125,-78.45454406738281
1631031870149,2021-09-07T16:27:09.443Z,1.277,6.503787994384766,-27.280303955078125,-77.32954406738281
1631031870189,2021-09-07T16:27:09.454Z,1.317,7.566287994384766,-26.905303955078125,-80.14204406738281
1631031870228,2021-09-07T16:27:09.456Z,1.356,7.191287994384766,-27.280303955078125,-78.07954406738281
1631031870268,2021-09-07T16:27:09.458Z,1.396,6.128787994384766,-27.280303955078125,-76.57954406738281
1631031870307,2021-09-07T16:27:09.470Z,1.435,7.191287994384766,-28.780303955078125,-77.70454406738281
1631031870347,2021-09-07T16:27:09.472Z,1.475,7.566287994384766,-29.155303955078125,-76.89204406738281
1631031870386,2021-09-07T16:27:09.483Z,1.514,8.316287994384766,-27.280303955078125,-77.70454406738281
1631031870426,2021-09-07T16:27:09.485Z,1.554,7.941287994384766,-29.155303955078125,-77.70454406738281
1631031870467,2021-09-07T16:27:09.487Z,1.595,7.191287994384766,-27.655303955078125,-76.95454406738281
1631031870506,2021-09-07T16:27:09.498Z,1.634,7.191287994384766,-34.342803955078125,-76.14204406738281
1631031870546,2021-09-07T16:27:09.500Z,1.674,7.941287994384766,-26.530303955078125,-76.95454406738281
1631031870586,2021-09-07T16:27:09.502Z,1.714,7.941287994384766,-28.780303955078125,-76.14204406738281
1631031870625,2021-09-07T16:27:09.514Z,1.753,6.816287994384766,-29.905303955078125,-77.70454406738281
1631031870665,2021-09-07T16:27:09.516Z,1.793,6.816287994384766,-28.780303955078125,-77.32954406738281
1631031870704,2021-09-07T16:27:09.518Z,1.832,6.816287994384766,-29.530303955078125,-76.89204406738281
1631031870744,2021-09-07T16:27:09.529Z,1.872,7.191287994384766,-27.655303955078125,-77.32954406738281
1631031870783,2021-09-07T16:27:09.532Z,1.911,7.941287994384766,-28.780303955078125,-76.57954406738281
1631031870823,2021-09-07T16:27:09.543Z,1.951,7.566287994384766,-28.780303955078125,-76.14204406738281
1631031870862,2021-09-07T16:27:09.545Z,1.99,7.191287994384766,-26.530303955078125,-76.95454406738281
1631031870902,2021-09-07T16:27:09.547Z,2.03,7.191287994384766,-28.405303955078125,-76.57954406738281
1631031870943,2021-09-07T16:27:09.558Z,2.071,7.191287994384766,-28.405303955078125,-77.26704406738281
1631031870983,2021-09-07T16:27:09.560Z,2.111,6.816287994384766,-27.280303955078125,-78.07954406738281
1631031871022,2021-09-07T16:27:09.562Z,2.15,7.191287994384766,-28.405303955078125,-76.89204406738281
1631031871062,2021-09-07T16:27:09.573Z,2.19,7.566287994384766,-38.030303955078125,-76.45454406738281
1631031871101,2021-09-07T16:27:09.576Z,2.229,7.191287994384766,-28.030303955078125,-77.32954406738281
1631031871141,2021-09-07T16:27:09.578Z,2.269,6.816287994384766,-26.155303955078125,-76.89204406738281
1631031871180,2021-09-07T16:27:09.589Z,2.308,8.316287994384766,-31.342803955078125,-77.64204406738281
1631031871220,2021-09-07T16:27:09.591Z,2.348,6.816287994384766,-27.655303955078125,-78.01704406738281
1631031871259,2021-09-07T16:27:09.602Z,2.387,6.503787994384766,-28.405303955078125,-76.95454406738281
1631031871299,2021-09-07T16:27:09.604Z,2.427,6.503787994384766,-28.780303955078125,-76.57954406738281
1631031871339,2021-09-07T16:27:09.607Z,2.467,6.128787994384766,-26.155303955078125,-77.26704406738281
1631031871380,2021-09-07T16:27:09.618Z,2.508,7.566287994384766,-28.030303955078125,-75.76704406738281
1631031871419,2021-09-07T16:27:09.620Z,2.547,6.441287994384766,-27.655303955078125,-77.32954406738281
1631031871459,2021-09-07T16:27:09.622Z,2.587,7.566287994384766,-28.030303955078125,-75.76704406738281
1631031871498,2021-09-07T16:27:09.633Z,2.626,7.566287994384766,-28.030303955078125,-76.57954406738281
1631031871538,2021-09-07T16:27:09.635Z,2.666,7.191287994384766,-28.780303955078125,-77.32954406738281
1631031871577,2021-09-07T16:27:09.638Z,2.705,6.816287994384766,-28.030303955078125,-76.89204406738281
1631031871617,2021-09-07T16:27:09.649Z,2.745,7.191287994384766,-28.030303955078125,-75.76704406738281
1631031871656,2021-09-07T16:27:09.654Z,2.784,7.191287994384766,-28.405303955078125,-78.07954406738281
1631031871696,2021-09-07T16:27:09.655Z,2.824,7.941287994384766,-26.530303955078125,-77.32954406738281
1631031871735,2021-09-07T16:27:09.681Z,2.863,7.566287994384766,-33.217803955078125,-76.51704406738281
1631031871775,2021-09-07T16:27:09.682Z,2.903,6.816287994384766,-26.530303955078125,-78.07954406738281
1631031871815,2021-09-07T16:27:09.682Z,2.943,7.191287994384766,-26.530303955078125,-76.51704406738281
1631031871856,2021-09-07T16:27:09.694Z,2.984,6.816287994384766,-28.030303955078125,-76.89204406738281
1631031871895,2021-09-07T16:27:09.696Z,3.023,6.816287994384766,-26.530303955078125,-78.45454406738281
1631031871935,2021-09-07T16:27:09.698Z,3.063,6.816287994384766,-26.155303955078125,-77.64204406738281
1631031871974,2021-09-07T16:27:09.709Z,3.102,6.503787994384766,-25.842803955078125,-78.51704406738281
1631031872014,2021-09-07T16:27:09.713Z,3.142,6.128787994384766,-28.405303955078125,-76.89204406738281
1631031872053,2021-09-07T16:27:09.723Z,3.181,6.816287994384766,-28.405303955078125,-77.64204406738281
1631031872093,2021-09-07T16:27:09.725Z,3.221,8.316287994384766,-28.405303955078125,-79.64204406738281
1631031872132,2021-09-07T16:27:09.728Z,3.26,6.441287994384766,-28.405303955078125,-76.45454406738281
1631031872172,2021-09-07T16:27:09.738Z,3.3,7.566287994384766,-28.780303955078125,-78.01704406738281
1631031872212,2021-09-07T16:27:09.740Z,3.34,6.816287994384766,-27.280303955078125,-80.01704406738281
1631031872251,2021-09-07T16:27:09.742Z,3.379,6.816287994384766,-28.405303955078125,-76.89204406738281
1631031872292,2021-09-07T16:27:09.753Z,3.42,7.191287994384766,-40.967803955078125,-77.26704406738281
1631031872332,2021-09-07T16:27:09.756Z,3.46,7.191287994384766,-24.717803955078125,-80.01704406738281
1631031872371,2021-09-07T16:27:09.758Z,3.499,7.191287994384766,-26.155303955078125,-78.89204406738281
1631031872411,2021-09-07T16:27:09.769Z,3.539,7.941287994384766,-27.655303955078125,-78.82954406738281
1631031872450,2021-09-07T16:27:09.771Z,3.578,6.816287994384766,-28.405303955078125,-79.20454406738281
1631031872490,2021-09-07T16:27:09.782Z,3.618,6.441287994384766,-26.530303955078125,-77.32954406738281
1631031872529,2021-09-07T16:27:09.785Z,3.657,6.441287994384766,-27.280303955078125,-80.01704406738281
1631031872569,2021-09-07T16:27:09.787Z,3.697,7.191287994384766,-29.530303955078125,-78.82954406738281
1631031872609,2021-09-07T16:27:09.798Z,3.737,7.566287994384766,-27.280303955078125,-78.82954406738281
1631031872648,2021-09-07T16:27:09.801Z,3.776,6.128787994384766,-25.842803955078125,-79.70454406738281
1631031872688,2021-09-07T16:27:09.802Z,3.816,7.566287994384766,-27.655303955078125,-78.01704406738281
1631031872727,2021-09-07T16:27:09.814Z,3.855,7.191287994384766,-27.655303955078125,-77.70454406738281
1631031872768,2021-09-07T16:27:09.815Z,3.896,7.191287994384766,-28.030303955078125,-79.64204406738281
1631031872808,2021-09-07T16:27:09.818Z,3.936,6.816287994384766,-27.655303955078125,-76.89204406738281
1631031872847,2021-09-07T16:27:09.829Z,3.975,6.441287994384766,-26.530303955078125,-78.45454406738281
1631031872887,2021-09-07T16:27:09.831Z,4.015,7.566287994384766,-27.655303955078125,-78.89204406738281
1631031872926,2021-09-07T16:27:09.833Z,4.054,6.816287994384766,-26.530303955078125,-78.01704406738281
1631031872966,2021-09-07T16:27:09.845Z,4.094,7.941287994384766,-32.092803955078125,-78.45454406738281
1631031873006,2021-09-07T16:27:09.847Z,4.134,6.441287994384766,-28.030303955078125,-80.45454406738281
1631031873045,2021-09-07T16:27:09.858Z,4.173,7.566287994384766,-27.655303955078125,-78.82954406738281
1631031873085,2021-09-07T16:27:09.860Z,4.213,6.816287994384766,-27.655303955078125,-78.39204406738281
1631031873124,2021-09-07T16:27:09.862Z,4.252,6.441287994384766,-27.655303955078125,-78.01704406738281
1631031873164,2021-09-07T16:27:09.874Z,4.292,6.816287994384766,-26.530303955078125,-78.07954406738281
1631031873205,2021-09-07T16:27:09.904Z,4.333,7.191287994384766,-26.155303955078125,-80.01704406738281
1631031873244,2021-09-07T16:27:09.906Z,4.372,6.816287994384766,-26.155303955078125,-78.89204406738281
1631031873284,2021-09-07T16:27:09.918Z,4.412,7.191287994384766,-26.530303955078125,-78.14204406738281
1631031873323,2021-09-07T16:27:09.920Z,4.451,6.128787994384766,-27.280303955078125,-79.64204406738281
1631031873363,2021-09-07T16:27:09.922Z,4.491,6.816287994384766,-28.405303955078125,-78.45454406738281
1631031873402,2021-09-07T16:27:09.933Z,4.53,6.816287994384766,-29.155303955078125,-78.07954406738281
1631031873442,2021-09-07T16:27:09.935Z,4.57,7.566287994384766,-27.280303955078125,-78.82954406738281
1631031873482,2021-09-07T16:27:09.937Z,4.61,7.191287994384766,-26.530303955078125,-77.70454406738281
1631031873521,2021-09-07T16:27:09.949Z,4.649,7.191287994384766,-36.530303955078125,-78.01704406738281
1631031873561,2021-09-07T16:27:09.951Z,4.689,7.191287994384766,-27.280303955078125,-79.20454406738281
1631031873600,2021-09-07T16:27:09.953Z,4.728,6.441287994384766,-28.405303955078125,-79.26704406738281
1631031873641,2021-09-07T16:27:09.979Z,4.769,6.128787994384766,-26.530303955078125,-79.26704406738281
1631031873681,2021-09-07T16:27:09.981Z,4.809,7.191287994384766,-29.530303955078125,-79.32954406738281
1631031873720,2021-09-07T16:27:09.983Z,4.848,6.441287994384766,-28.405303955078125,-77.64204406738281
1631031873760,2021-09-07T16:27:09.994Z,4.888,6.816287994384766,-28.405303955078125,-78.82954406738281
1631031873799,2021-09-07T16:27:09.997Z,4.927,7.566287994384766,-26.530303955078125,-78.89204406738281
1631031873839,2021-09-07T16:27:10.007Z,4.967,6.441287994384766,-28.405303955078125,-78.01704406738281
1631031873879,2021-09-07T16:27:10.010Z,5.007,6.128787994384766,-32.467803955078125,-79.20454406738281
1631031873918,2021-09-07T16:27:10.012Z,5.046,6.441287994384766,-30.280303955078125,-78.01704406738281
1631031873958,2021-09-07T16:27:10.023Z,5.086,6.503787994384766,-29.155303955078125,-78.51704406738281
1631031873997,2021-09-07T16:27:10.025Z,5.125,6.441287994384766,-30.280303955078125,-79.20454406738281
1631031874037,2021-09-07T16:27:10.027Z,5.165,6.441287994384766,-29.905303955078125,-78.45454406738281
1631031874078,2021-09-07T16:27:10.038Z,5.206,6.816287994384766,-29.905303955078125,-78.07954406738281
1631031874117,2021-09-07T16:27:10.041Z,5.245,6.441287994384766,-31.342803955078125,-77.64204406738281
1631031874157,2021-09-07T16:27:10.043Z,5.285,6.816287994384766,-30.655303955078125,-78.45454406738281
1631031874196,2021-09-07T16:27:10.054Z,5.324,6.441287994384766,-36.905303955078125,-78.01704406738281
1631031874236,2021-09-07T16:27:10.056Z,5.364,7.191287994384766,-29.530303955078125,-79.64204406738281
1631031874276,2021-09-07T16:27:10.068Z,5.404,6.816287994384766,-30.655303955078125,-78.82954406738281
1631031874315,2021-09-07T16:27:10.070Z,5.443,6.441287994384766,-34.342803955078125,-79.26704406738281
1631031874355,2021-09-07T16:27:10.072Z,5.483,6.816287994384766,-32.842803955078125,-80.01704406738281
1631031874394,2021-09-07T16:27:10.083Z,5.522,6.816287994384766,-29.905303955078125,-77.64204406738281
1631031874434,2021-09-07T16:27:10.085Z,5.562,6.816287994384766,-34.342803955078125,-78.82954406738281
1631031874475,2021-09-07T16:27:10.087Z,5.603,6.441287994384766,-32.467803955078125,-78.45454406738281
1631031874514,2021-09-07T16:27:10.098Z,5.642,6.441287994384766,-33.592803955078125,-79.20454406738281
1631031874554,2021-09-07T16:27:10.101Z,5.682,7.191287994384766,-32.842803955078125,-81.14204406738281
1631031874593,2021-09-07T16:27:10.103Z,5.721,5.753787994384766,-31.342803955078125,-78.01704406738281
1631031874633,2021-09-07T16:27:10.114Z,5.761,6.128787994384766,-33.967803955078125,-79.64204406738281
1631031874672,2021-09-07T16:27:10.116Z,5.8,6.066287994384766,-33.592803955078125,-80.82954406738281
1631031874712,2021-09-07T16:27:10.118Z,5.84,5.753787994384766,-34.342803955078125,-78.89204406738281
1631031874752,2021-09-07T16:27:10.130Z,5.88,7.566287994384766,-38.780303955078125,-79.26704406738281
1631031874791,2021-09-07T16:27:10.132Z,5.919,6.816287994384766,-33.217803955078125,-80.39204406738281
1631031874831,2021-09-07T16:27:10.143Z,5.959,6.441287994384766,-35.092803955078125,-80.01704406738281
1631031874870,2021-09-07T16:27:10.145Z,5.998,6.816287994384766,-32.842803955078125,-81.20454406738281
1631031874910,2021-09-07T16:27:10.147Z,6.038,5.378787994384766,-35.467803955078125,-80.82954406738281
1631031874951,2021-09-07T16:27:10.158Z,6.079,6.128787994384766,-36.530303955078125,-79.26704406738281
1631031874990,2021-09-07T16:27:10.160Z,6.118,5.378787994384766,-36.530303955078125,-80.45454406738281
1631031875030,2021-09-07T16:27:10.162Z,6.158,6.816287994384766,-32.842803955078125,-79.64204406738281
1631031875069,2021-09-07T16:27:10.174Z,6.197,5.753787994384766,-33.967803955078125,-79.20454406738281
1631031875109,2021-09-07T16:27:10.176Z,6.237,6.816287994384766,-38.030303955078125,-80.82954406738281
1631031875149,2021-09-07T16:27:10.179Z,6.277,6.128787994384766,-35.780303955078125,-79.26704406738281
1631031875188,2021-09-07T16:27:10.189Z,6.316,6.066287994384766,-33.967803955078125,-78.82954406738281
1631031875228,2021-09-07T16:27:10.192Z,6.356,7.566287994384766,-36.905303955078125,-80.45454406738281
1631031875267,2021-09-07T16:27:10.203Z,6.395,5.753787994384766,-34.717803955078125,-80.07954406738281
1631031875307,2021-09-07T16:27:10.205Z,6.435,6.128787994384766,-33.217803955078125,-79.20454406738281
1631031875348,2021-09-07T16:27:10.207Z,6.476,6.816287994384766,-33.217803955078125,-80.76704406738281
1631031875387,2021-09-07T16:27:10.218Z,6.515,6.441287994384766,-33.217803955078125,-78.45454406738281
1631031875427,2021-09-07T16:27:10.234Z,6.555,7.191287994384766,-42.092803955078125,-80.82954406738281
1631031875466,2021-09-07T16:27:10.237Z,6.594,6.441287994384766,-37.280303955078125,-80.82954406738281
1631031875506,2021-09-07T16:27:10.248Z,6.634,6.128787994384766,-36.530303955078125,-80.39204406738281
1631031875546,2021-09-07T16:27:10.250Z,6.674,6.441287994384766,-31.717803955078125,-80.39204406738281
1631031875585,2021-09-07T16:27:10.252Z,6.713,6.441287994384766,-33.967803955078125,-82.01704406738281
1631031875625,2021-09-07T16:27:10.263Z,6.753,6.128787994384766,-33.967803955078125,-78.82954406738281
1631031875664,2021-09-07T16:27:10.265Z,6.792,6.816287994384766,-29.530303955078125,-80.82954406738281
1631031875704,2021-09-07T16:27:10.267Z,6.832,6.441287994384766,-32.842803955078125,-80.01704406738281
1631031875743,2021-09-07T16:27:10.279Z,6.871,6.066287994384766,-32.842803955078125,-78.82954406738281
1631031875783,2021-09-07T16:27:10.280Z,6.911,6.441287994384766,-33.217803955078125,-81.57954406738281
1631031875824,2021-09-07T16:27:10.283Z,6.952,5.753787994384766,-32.467803955078125,-79.20454406738281
1631031875863,2021-09-07T16:27:10.294Z,6.991,6.816287994384766,-29.155303955078125,-80.01704406738281
1631031875903,2021-09-07T16:27:10.296Z,7.031,6.441287994384766,-33.592803955078125,-81.57954406738281
1631031875943,2021-09-07T16:27:10.308Z,7.071,6.066287994384766,-34.342803955078125,-80.76704406738281
1631031875982,2021-09-07T16:27:10.310Z,7.11,6.816287994384766,-34.717803955078125,-79.95454406738281
1631031876022,2021-09-07T16:27:10.312Z,7.15,6.066287994384766,-29.530303955078125,-82.39204406738281
1631031876061,2021-09-07T16:27:10.323Z,7.189,5.003787994384766,-31.717803955078125,-79.95454406738281
1631031876101,2021-09-07T16:27:10.325Z,7.229,6.066287994384766,-28.030303955078125,-81.20454406738281
1631031876140,2021-09-07T16:27:10.328Z,7.268,5.691287994384766,-33.217803955078125,-81.95454406738281
1631031876180,2021-09-07T16:27:10.339Z,7.308,6.441287994384766,-29.530303955078125,-80.39204406738281
1631031876219,2021-09-07T16:27:10.341Z,7.347,5.753787994384766,-27.280303955078125,-82.01704406738281
1631031876260,2021-09-07T16:27:10.343Z,7.388,6.066287994384766,-28.030303955078125,-79.95454406738281
1631031876300,2021-09-07T16:27:10.383Z,7.428,6.066287994384766,-28.030303955078125,-80.39204406738281
1631031876339,2021-09-07T16:27:10.386Z,7.467,7.191287994384766,-29.155303955078125,-81.20454406738281
1631031876379,2021-09-07T16:27:10.388Z,7.507,6.441287994384766,-25.467803955078125,-79.57954406738281
1631031876419,2021-09-07T16:27:10.400Z,7.547,6.441287994384766,-28.405303955078125,-81.20454406738281
1631031876458,2021-09-07T16:27:10.401Z,7.586,6.816287994384766,-27.655303955078125,-82.01704406738281
1631031876498,2021-09-07T16:27:10.403Z,7.626,6.441287994384766,-27.280303955078125,-80.82954406738281
1631031876537,2021-09-07T16:27:10.415Z,7.665,6.441287994384766,-32.467803955078125,-80.82954406738281
1631031876577,2021-09-07T16:27:10.417Z,7.705,6.816287994384766,-27.655303955078125,-81.57954406738281
1631031876616,2021-09-07T16:27:10.428Z,7.744,6.066287994384766,-24.717803955078125,-80.01704406738281
