epoch (ms),time (-07:00),elapsed (s),X-Axis (T),Y-Axis (T),Z-Axis (T)
1612559037333,2021-02-05T21:05:29.056Z,0.018,10.347222328186035,5.827777862548828,-91.29305267333984
1612559037372,2021-02-05T21:05:29.058Z,0.057,9.972222328186035,6.577777862548828,-91.73055267333984
1612559037413,2021-02-05T21:05:29.072Z,0.098,9.597222328186035,6.577777862548828,-91.29305267333984
1612559037453,2021-02-05T21:05:29.086Z,0.138,9.222222328186035,6.890277862548828,-91.29305267333984
1612559037492,2021-02-05T21:05:29.101Z,0.177,9.597222328186035,6.890277862548828,-92.60555267333984
1612559037513,2021-02-05T21:05:29.116Z,0.198,9.222222328186035,7.265277862548828,-91.73055267333984
1612559037552,2021-02-05T21:05:29.146Z,0.237,8.847222328186035,6.890277862548828,-92.16805267333984
1612559037593,2021-02-05T21:05:29.148Z,0.278,8.847222328186035,8.015277862548828,-90.98055267333984
1612559037633,2021-02-05T21:05:29.178Z,0.318,8.847222328186035,6.202777862548828,-90.98055267333984
1612559037672,2021-02-05T21:05:29.206Z,0.357,9.972222328186035,5.827777862548828,-92.16805267333984
1612559037713,2021-02-05T21:05:29.221Z,0.398,9.597222328186035,6.890277862548828,-90.60555267333984
1612559037753,2021-02-05T21:05:29.223Z,0.438,10.347222328186035,6.890277862548828,-90.16805267333984
1612559037793,2021-02-05T21:05:29.253Z,0.478,9.597222328186035,6.890277862548828,-92.16805267333984
1612559037834,2021-02-05T21:05:29.267Z,0.519,9.222222328186035,6.577777862548828,-91.04305267333984
1612559037873,2021-02-05T21:05:29.281Z,0.558,9.972222328186035,7.265277862548828,-91.10555267333984
1612559037913,2021-02-05T21:05:29.313Z,0.598,9.597222328186035,6.515277862548828,-92.66805267333984
1612559037954,2021-02-05T21:05:29.328Z,0.639,9.597222328186035,5.827777862548828,-89.85555267333984
1612559037993,2021-02-05T21:05:29.342Z,0.678,8.472222328186035,7.265277862548828,-91.41805267333984
1612559038033,2021-02-05T21:05:29.357Z,0.718,9.972222328186035,7.265277862548828,-92.23055267333984
1612559038074,2021-02-05T21:05:29.371Z,0.759,8.472222328186035,7.265277862548828,-91.41805267333984
1612559038113,2021-02-05T21:05:29.386Z,0.798,9.222222328186035,7.640277862548828,-90.60555267333984
1612559038153,2021-02-05T21:05:29.401Z,0.838,8.472222328186035,6.577777862548828,-92.60555267333984
1612559038194,2021-02-05T21:05:29.402Z,0.879,10.347222328186035,7.265277862548828,-91.85555267333984
1612559038233,2021-02-05T21:05:29.417Z,0.918,9.972222328186035,6.890277862548828,-91.41805267333984
1612559038273,2021-02-05T21:05:29.431Z,0.958,9.597222328186035,6.890277862548828,-91.41805267333984
1612559038314,2021-02-05T21:05:29.446Z,0.999,9.972222328186035,6.890277862548828,-92.29305267333984
1612559038354,2021-02-05T21:05:29.448Z,1.039,9.222222328186035,6.890277862548828,-90.66805267333984
1612559038393,2021-02-05T21:05:29.463Z,1.078,8.847222328186035,6.515277862548828,-90.66805267333984
1612559038434,2021-02-05T21:05:29.477Z,1.119,8.847222328186035,6.890277862548828,-91.41805267333984
1612559038474,2021-02-05T21:05:29.491Z,1.159,9.972222328186035,7.640277862548828,-90.23055267333984
1612559038515,2021-02-05T21:05:29.521Z,1.2,8.847222328186035,7.265277862548828,-93.04305267333984
1612559038554,2021-02-05T21:05:29.536Z,1.239,10.347222328186035,7.265277862548828,-90.23055267333984
1612559038594,2021-02-05T21:05:29.551Z,1.279,9.222222328186035,6.890277862548828,-91.48055267333984
1612559038633,2021-02-05T21:05:29.551Z,1.318,9.222222328186035,6.515277862548828,-92.29305267333984
1612559038674,2021-02-05T21:05:29.566Z,1.359,10.347222328186035,7.265277862548828,-91.85555267333984
1612559038714,2021-02-05T21:05:29.581Z,1.399,9.222222328186035,6.515277862548828,-92.29305267333984
1612559038753,2021-02-05T21:05:29.611Z,1.438,10.347222328186035,7.265277862548828,-92.66805267333984
1612559038794,2021-02-05T21:05:29.626Z,1.479,10.347222328186035,8.015277862548828,-91.04305267333984
1612559038834,2021-02-05T21:05:29.628Z,1.519,9.597222328186035,7.265277862548828,-90.23055267333984
1612559038874,2021-02-05T21:05:29.643Z,1.559,10.722222328186035,8.015277862548828,-91.04305267333984
1612559038915,2021-02-05T21:05:29.658Z,1.6,9.597222328186035,7.640277862548828,-91.04305267333984
1612559038954,2021-02-05T21:05:29.673Z,1.639,8.847222328186035,7.265277862548828,-90.23055267333984
1612559038994,2021-02-05T21:05:29.702Z,1.679,8.847222328186035,5.827777862548828,-91.41805267333984
1612559039035,2021-02-05T21:05:29.717Z,1.72,9.222222328186035,7.265277862548828,-91.85555267333984
1612559039074,2021-02-05T21:05:29.746Z,1.759,8.847222328186035,6.577777862548828,-89.85555267333984
1612559039114,2021-02-05T21:05:29.762Z,1.799,10.347222328186035,6.515277862548828,-90.66805267333984
1612559039155,2021-02-05T21:05:29.776Z,1.84,9.222222328186035,8.390277862548828,-91.04305267333984
1612559039194,2021-02-05T21:05:29.806Z,1.879,9.222222328186035,6.890277862548828,-90.66805267333984
1612559039234,2021-02-05T21:05:29.821Z,1.919,9.972222328186035,7.265277862548828,-90.66805267333984
