epoch (ms),time (-07:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1612560589937,2021-02-05T21:31:21.983Z,-0.006,0.9983131885528564,-0.19276012480258942,-0.029624246060848236
1612560589976,2021-02-05T21:31:21.998Z,0.033,1.0012428760528564,-0.19593395292758942,-0.029624246060848236
1612560590016,2021-02-05T21:31:22.000Z,0.073,1.0000221729278564,-0.19739879667758942,-0.029380105435848236
1612560590057,2021-02-05T21:31:22.014Z,0.114,1.0009987354278564,-0.19300426542758942,-0.028159402310848236
1612560590096,2021-02-05T21:31:22.044Z,0.153,1.0027077198028564,-0.19984020292758942,-0.036948464810848236
1612560590137,2021-02-05T21:31:22.058Z,0.194,1.0058815479278564,-0.19227184355258942,-0.030600808560848236
1612560590177,2021-02-05T21:31:22.060Z,0.234,0.9990456104278564,-0.20154918730258942,-0.033286355435848236
1612560590216,2021-02-05T21:31:22.104Z,0.273,1.0019752979278564,-0.19886364042758942,-0.029135964810848236
1612560590257,2021-02-05T21:31:22.119Z,0.314,1.0027077198028564,-0.19886364042758942,-0.032553933560848236
1612560590297,2021-02-05T21:31:22.149Z,0.354,1.0005104541778564,-0.19715465605258942,-0.031577371060848236
1612560590338,2021-02-05T21:31:22.163Z,0.395,1.0022194385528564,-0.19764293730258942,-0.030844949185848236
1612560590377,2021-02-05T21:31:22.193Z,0.434,1.0044167041778564,-0.19373668730258942,-0.029868386685848236
1612560590418,2021-02-05T21:31:22.208Z,0.475,1.0031960010528564,-0.19471324980258942,-0.031821511685848236
1612560590458,2021-02-05T21:31:22.210Z,0.515,1.0039284229278564,-0.19739879667758942,-0.031089089810848236
1612560590498,2021-02-05T21:31:22.254Z,0.555,1.0007545948028564,-0.19959606230258942,-0.031333230435848236
1612560590539,2021-02-05T21:31:22.268Z,0.596,1.0012428760528564,-0.19959606230258942,-0.028891824185848236
1612560590578,2021-02-05T21:31:22.284Z,0.635,1.0041725635528564,-0.20789684355258942,-0.033042214810848236
1612560590619,2021-02-05T21:31:22.298Z,0.676,1.0068581104278564,-0.18519176542758942,-0.027182839810848236
1612560590659,2021-02-05T21:31:22.313Z,0.716,0.9880592823028564,-0.21229137480258942,-0.027915261685848236
1612560590700,2021-02-05T21:31:22.315Z,0.757,1.0002663135528564,-0.19324840605258942,-0.031821511685848236
1612560590739,2021-02-05T21:31:22.330Z,0.796,1.0127174854278564,-0.17298473417758942,-0.032065652310848236
1612560590779,2021-02-05T21:31:22.344Z,0.836,0.9956276416778564,-0.20374645292758942,-0.030844949185848236
1612560590820,2021-02-05T21:31:22.359Z,0.877,1.0071022510528564,-0.19568981230258942,-0.040366433560848236
1612560590859,2021-02-05T21:31:22.374Z,0.916,1.0019752979278564,-0.18763317167758942,-0.023276589810848236
1612560590899,2021-02-05T21:31:22.403Z,0.956,0.9953835010528564,-0.19642223417758942,-0.027426980435848236
1612560590940,2021-02-05T21:31:22.405Z,0.997,1.0002663135528564,-0.18568004667758942,-0.024741433560848236
1612560590980,2021-02-05T21:31:22.419Z,1.037,0.9975807666778564,-0.21570934355258942,-0.038169167935848236
1612560591021,2021-02-05T21:31:22.434Z,1.078,1.0176002979278564,-0.15247692167758942,-0.030356667935848236
1612560591060,2021-02-05T21:31:22.448Z,1.117,1.0007545948028564,-0.19349254667758942,-0.045981667935848236
1612560591101,2021-02-05T21:31:22.464Z,1.158,1.0193092823028564,-0.19349254667758942,-0.039389871060848236
1612560591141,2021-02-05T21:31:22.479Z,1.198,0.9970924854278564,-0.15882457792758942,-0.023764871060848236
1612560591180,2021-02-05T21:31:22.493Z,1.237,0.9931862354278564,-0.17786754667758942,-0.033774636685848236
1612560591221,2021-02-05T21:31:22.508Z,1.278,1.0290749073028564,-0.13904918730258942,-0.033042214810848236
1612560591261,2021-02-05T21:31:22.510Z,1.318,0.9926979541778564,-0.15369762480258942,-0.030356667935848236
1612560591302,2021-02-05T21:31:22.539Z,1.359,1.0036842823028564,-0.18665660917758942,-0.037192605435848236
1612560591341,2021-02-05T21:31:22.554Z,1.398,1.0068581104278564,-0.13318981230258942,-0.013022682629525661
1612560591381,2021-02-05T21:31:22.568Z,1.438,0.9878151416778564,-0.16907848417758942,-0.029624246060848236
1612560591422,2021-02-05T21:31:22.574Z,1.479,1.0215065479278564,-0.15931285917758942,-0.035971902310848236
1612560591461,2021-02-05T21:31:22.599Z,1.518,1.0068581104278564,-0.12440074235200882,-0.035971902310848236
1612560591502,2021-02-05T21:31:22.620Z,1.559,1.0110085010528564,-0.13782848417758942,-0.041831277310848236
1612560591542,2021-02-05T21:31:22.643Z,1.599,1.0114967823028564,-0.14710582792758942,-0.035239480435848236
1612560591583,2021-02-05T21:31:22.658Z,1.64,1.0049049854278564,-0.15223278105258942,-0.043051980435848236
1612560591623,2021-02-05T21:31:22.660Z,1.68,1.0178444385528564,-0.15247692167758942,-0.033042214810848236
1612560591662,2021-02-05T21:31:22.705Z,1.719,0.9931862354278564,-0.16639293730258942,-0.034262917935848236
1612560591703,2021-02-05T21:31:22.719Z,1.76,1.0136940479278564,-0.15711559355258942,-0.044028542935848236
1612560591743,2021-02-05T21:31:22.763Z,1.8,1.0127174854278564,-0.15467418730258942,-0.038413308560848236
1612560591784,2021-02-05T21:31:22.765Z,1.841,0.9980690479278564,-0.17176403105258942,-0.047690652310848236
1612560591823,2021-02-05T21:31:22.780Z,1.88,1.0156471729278564,-0.14515270292758942,-0.040366433560848236
1612560591863,2021-02-05T21:31:22.794Z,1.92,1.0146706104278564,-0.14393199980258942,-0.041342996060848236
1612560591904,2021-02-05T21:31:22.809Z,1.961,1.0034401416778564,-0.16077770292758942,-0.034018777310848236
1612560591943,2021-02-05T21:31:22.824Z,2,1.0090553760528564,-0.16053356230258942,-0.034018777310848236
1612560591995,2021-02-05T21:31:22.838Z,2.052,1.0009987354278564,-0.15174449980258942,-0.027915261685848236
1612560592034,2021-02-05T21:31:22.840Z,2.091,1.0034401416778564,-0.16907848417758942,-0.031089089810848236
