epoch (ms),time (-07:00),elapsed (s),Pressure (Pa)
1612560590342,2021-02-05T21:31:22.014Z,0.402,99622.35091145833
1612560590420,2021-02-05T21:31:22.027Z,0.48,99623.01497395833
1612560590498,2021-02-05T21:31:22.041Z,0.558,99623.67903645833
1612560590575,2021-02-05T21:31:22.045Z,0.635,99624.33528645833
1612560590653,2021-02-05T21:31:22.059Z,0.713,99624.33528645833
1612560590730,2021-02-05T21:31:22.072Z,0.79,99624.33528645833
1612560590808,2021-02-05T21:31:22.086Z,0.868,99625.78059895833
1612560590886,2021-02-05T21:31:22.100Z,0.946,99625.78059895833
1612560590965,2021-02-05T21:31:22.104Z,1.025,99626.56184895833
1612560591042,2021-02-05T21:31:22.118Z,1.102,99626.56184895833
1612560591120,2021-02-05T21:31:22.137Z,1.18,99626.56184895833
1612560591198,2021-02-05T21:31:22.138Z,1.258,99626.56184895833
1612560591275,2021-02-05T21:31:22.149Z,1.335,99627.37434895833
1612560591353,2021-02-05T21:31:22.162Z,1.413,99627.37434895833
1612560591431,2021-02-05T21:31:22.175Z,1.491,99627.37434895833
1612560591508,2021-02-05T21:31:22.179Z,1.568,99627.37434895833
1612560591586,2021-02-05T21:31:22.193Z,1.646,99628.14778645833
1612560591664,2021-02-05T21:31:22.206Z,1.724,99627.49153645833
1612560591741,2021-02-05T21:31:22.210Z,1.801,99628.14778645833
1612560591819,2021-02-05T21:31:22.238Z,1.879,99627.49153645833
1612560591896,2021-02-05T21:31:22.253Z,1.956,99628.27278645833
1612560591974,2021-02-05T21:31:22.265Z,2.034,99628.27278645833
1612560592052,2021-02-05T21:31:22.282Z,2.112,99628.27278645833
1612560592129,2021-02-05T21:31:22.295Z,2.189,99628.27278645833
1612560592207,2021-02-05T21:31:22.299Z,2.267,99628.27278645833
1612560592285,2021-02-05T21:31:22.313Z,2.345,99628.92903645833
1612560592362,2021-02-05T21:31:22.356Z,2.422,99628.92903645833
1612560592440,2021-02-05T21:31:22.361Z,2.5,99629.71809895833
1612560592518,2021-02-05T21:31:22.373Z,2.578,99629.71809895833
1612560592595,2021-02-05T21:31:22.386Z,2.655,99629.71809895833
1612560592673,2021-02-05T21:31:22.400Z,2.733,99629.71809895833
1612560592750,2021-02-05T21:31:22.404Z,2.81,99629.71809895833
1612560592828,2021-02-05T21:31:22.418Z,2.888,99629.71809895833
1612560592906,2021-02-05T21:31:22.431Z,2.966,99629.71809895833
1612560592983,2021-02-05T21:31:22.435Z,3.043,99629.05403645833
1612560593061,2021-02-05T21:31:22.450Z,3.121,99629.83528645833
1612560593139,2021-02-05T21:31:22.462Z,3.199,99629.83528645833
1612560593216,2021-02-05T21:31:22.475Z,3.276,99629.83528645833
1612560593294,2021-02-05T21:31:22.478Z,3.354,99629.83528645833
1612560593372,2021-02-05T21:31:22.491Z,3.432,99629.83528645833
