epoch (ms),time (-07:00),elapsed (s),Pressure (Pa)
1612561386807,2021-02-05T21:44:07.944Z,23.811999999999998,99659.82682291669
1612561386847,2021-02-05T21:44:07.955Z,23.851999999999997,99659.82682291669
1612561386887,2021-02-05T21:44:07.957Z,23.892,99659.82682291669
1612561386926,2021-02-05T21:44:07.959Z,23.930999999999997,99659.82682291669
1612561386966,2021-02-05T21:44:07.970Z,23.971,99659.82682291669
1612561387005,2021-02-05T21:44:07.973Z,24.01,99659.82682291669
1612561387046,2021-02-05T21:44:07.975Z,24.051,99659.82682291669
1612561387086,2021-02-05T21:44:07.986Z,24.090999999999998,99659.82682291669
1612561387125,2021-02-05T21:44:07.988Z,24.13,99659.82682291669
1612561387165,2021-02-05T21:44:07.990Z,24.17,99659.82682291669
1612561387204,2021-02-05T21:44:08.001Z,24.209,99659.82682291669
1612561387244,2021-02-05T21:44:08.004Z,24.249000000000002,99659.82682291669
1612561387284,2021-02-05T21:44:08.005Z,24.289,99659.82682291669
1612561387323,2021-02-05T21:44:08.018Z,24.328000000000003,99659.82682291669
1612561387363,2021-02-05T21:44:08.020Z,24.368000000000002,99659.82682291669
1612561387402,2021-02-05T21:44:08.031Z,24.406999999999996,99659.82682291669
1612561387442,2021-02-05T21:44:08.033Z,24.447,99659.82682291669
1612561387481,2021-02-05T21:44:08.035Z,24.486,99659.82682291669
1612561387521,2021-02-05T21:44:08.047Z,24.526,99659.82682291669
1612561387562,2021-02-05T21:44:08.048Z,24.566999999999997,99659.82682291669
1612561387601,2021-02-05T21:44:08.051Z,24.605999999999998,99659.82682291669
1612561387641,2021-02-05T21:44:08.062Z,24.646,99659.82682291669
1612561387681,2021-02-05T21:44:08.064Z,24.686,99659.82682291669
1612561387720,2021-02-05T21:44:08.075Z,24.725,99659.82682291669
1612561387760,2021-02-05T21:44:08.077Z,24.765,99659.82682291669
1612561387799,2021-02-05T21:44:08.080Z,24.804000000000002,99660.48307291669
1612561387839,2021-02-05T21:44:08.091Z,24.844,99660.48307291669
1612561387878,2021-02-05T21:44:08.093Z,24.883000000000003,99660.48307291669
1612561387918,2021-02-05T21:44:08.095Z,24.923000000000002,99660.48307291669
1612561387957,2021-02-05T21:44:08.106Z,24.962,99660.48307291669
1612561387997,2021-02-05T21:44:08.108Z,25.002,99660.48307291669
1612561388038,2021-02-05T21:44:08.120Z,25.043000000000003,99660.48307291669
1612561388077,2021-02-05T21:44:08.122Z,25.081999999999997,99660.48307291669
1612561388117,2021-02-05T21:44:08.125Z,25.122,99660.48307291669
1612561388157,2021-02-05T21:44:08.136Z,25.162,99660.48307291669
