epoch (ms),time (-07:00),elapsed (s),W-Axis,X-Axis (i),Y-Axis (j),Z-Axis (k)
1612804732975,2021-02-08T17:18:52.976Z,0,0.23324088521051867,-0.5789681649324531,-0.137429644495459,-0.7690953427728018
1612804732991,2021-02-08T17:18:52.991Z,0.016,0.23324088521051867,-0.5789681649324531,-0.137429644495459,-0.7690953427728018
1612804733006,2021-02-08T17:18:53.006Z,0.031,0.23324088521051867,-0.5789681649324531,-0.137429644495459,-0.7690953427728018
1612804733036,2021-02-08T17:18:53.036Z,0.061,0.23323057182299067,-0.5790154161444334,-0.13744564432986103,-0.7690600386764085
1612804733051,2021-02-08T17:18:53.051Z,0.076,0.23319551939234914,-0.5791759153439143,-0.13750000615279423,-0.76894008682657
1612804733066,2021-02-08T17:18:53.066Z,0.091,0.23318412544350067,-0.5792280667343996,-0.1375176724812638,-0.7689010990391515
1612804733096,2021-02-08T17:18:53.096Z,0.121,0.22775054117724955,-0.5823084194688589,-0.14461786598658655,-0.7668978213860276
1612804733111,2021-02-08T17:18:53.111Z,0.136,0.2165406172056365,-0.5884563233905439,-0.15920296507437856,-0.7625508064866314
1612804733126,2021-02-08T17:18:53.126Z,0.151,0.2046261629032719,-0.5946890386755214,-0.17445912951229794,-0.757652356205984
1612804733155,2021-02-08T17:18:53.156Z,0.18,0.1921369435546008,-0.600899648061984,-0.1902614048177513,-0.7521991795510387
1612804733171,2021-02-08T17:18:53.171Z,0.196,0.179119892857645,-0.6070500578638188,-0.20656820830894182,-0.7461473490847725
1612804733185,2021-02-08T17:18:53.186Z,0.21,0.16552035771305393,-0.6131270622522673,-0.22337480757758144,-0.7394470312714264
1612804733216,2021-02-08T17:18:53.216Z,0.241,0.15133725365612472,-0.6190911273883631,-0.24065786352395005,-0.7320566947777442
1612804733231,2021-02-08T17:18:53.231Z,0.256,0.13652422961782726,-0.6250400978642737,-0.2584165653517415,-0.7238141263756096
1612804733245,2021-02-08T17:18:53.246Z,0.27,0.12115955765492484,-0.6307900874490983,-0.27655136791340845,-0.7148031673615083
1612804733275,2021-02-08T17:18:53.276Z,0.3,0.10530099496740333,-0.6361588024074313,-0.2949915679783503,-0.7051196021953241
1612804733290,2021-02-08T17:18:53.291Z,0.315,0.08895542432324062,-0.6410900066085355,-0.3136806306237908,-0.6947625478403405
1612804733305,2021-02-08T17:18:53.306Z,0.33,0.07215968667392303,-0.6456231471616666,-0.3325578742150077,-0.6836439071371744
1612804733320,2021-02-08T17:18:53.321Z,0.345,0.05493826583030305,-0.6497450757464999,-0.35154568622402627,-0.6717356280472345
1612804733350,2021-02-08T17:18:53.351Z,0.375,0.037268409410128295,-0.6534835963859578,-0.370596979530508,-0.6589598877605358
1612804733365,2021-02-08T17:18:53.365Z,0.39,0.0192518215265577,-0.6567316265578178,-0.38959034641098156,-0.6454086302723291
1612804733380,2021-02-08T17:18:53.381Z,0.405,0.0011043993479606027,-0.659359491745728,-0.40841275671190264,-0.6312233052588281
1612804733411,2021-02-08T17:18:53.411Z,0.436,-0.01700423233548272,-0.6613263251273456,-0.42700782241364005,-0.6164597856906828
1612804733425,2021-02-08T17:18:53.426Z,0.45,0.035141293868937315,0.6627497489478815,0.44522956205269826,0.601081106681203
1612804733440,2021-02-08T17:18:53.440Z,0.465,0.05324266311138659,0.6635753348130666,0.4630680358519251,0.5851503977822917
1612804733470,2021-02-08T17:18:53.470Z,0.495,0.0713378373476144,0.6638942736567537,0.48044312006277434,0.5686208884245139
1612804733485,2021-02-08T17:18:53.486Z,0.51,0.08917556807650072,0.663691180438778,0.4971745709176614,0.5517057015283182
1612804733500,2021-02-08T17:18:53.501Z,0.525,0.10662438734937871,0.6628509942659025,0.5132912385591281,0.5345950840042495
1612804733531,2021-02-08T17:18:53.531Z,0.556,0.12371948531266877,0.661423542830704,0.528749218752194,0.5173361089390461
1612804733546,2021-02-08T17:18:53.546Z,0.571,0.14046762004984975,0.6594364396044875,0.5434985844485026,0.5000217180700876
1612804733560,2021-02-08T17:18:53.561Z,0.585,0.15682274025233614,0.6569768361184716,0.557498354742074,0.4826837985714789
1612804733590,2021-02-08T17:18:53.590Z,0.615,0.17273679975041947,0.65410976644416,0.5707152505254331,0.46538856267858786
1612804733605,2021-02-08T17:18:53.606Z,0.63,0.18813559119910833,0.6509104218460701,0.5831534688223976,0.44816587761311966
1612804733620,2021-02-08T17:18:53.622Z,0.645,0.20298027662062337,0.6474057529202654,0.5948194647490461,0.43110857419496773
1612804733635,2021-02-08T17:18:53.636Z,0.66,0.21716445144584576,0.6435649967754454,0.6057535289206802,0.41439879120695844
1612804733665,2021-02-08T17:18:53.665Z,0.69,0.2306348294506313,0.6393110790200037,0.6160626764019117,0.39819053031315316
1612804733680,2021-02-08T17:18:53.680Z,0.705,0.2434061365046444,0.634886616962747,0.6256364478598208,0.3824283873130058
1612804733695,2021-02-08T17:18:53.696Z,0.72,0.25572556906028365,0.6303197765986861,0.6345590672464989,0.36692806206752515
1612804733725,2021-02-08T17:18:53.725Z,0.75,0.2671331376161705,0.6258209330981187,0.642756196297514,0.3519268654204901
1612804733741,2021-02-08T17:18:53.741Z,0.766,0.2780878771888582,0.6211578684742908,0.6503987455655051,0.337359610445423
1612804733755,2021-02-08T17:18:53.756Z,0.78,0.2884706814033742,0.6164494666759172,0.6574331106152385,0.32335186109317815
1612804733788,2021-02-08T17:18:53.788Z,0.813,0.29836141885736595,0.611725874235258,0.6638645345284508,0.3099286987741727
1612804733800,2021-02-08T17:18:53.800Z,0.825,0.3076625558375183,0.6071211507490386,0.6697184757901024,0.29702663724668066
1612804733815,2021-02-08T17:18:53.816Z,0.84,0.31635475981207256,0.6025280177627101,0.6751372012136737,0.2847269100252954
1612804733845,2021-02-08T17:18:53.845Z,0.87,0.32465543224712884,0.5980159772104333,0.6800831493972456,0.2728784550297152
1612804733860,2021-02-08T17:18:53.861Z,0.885,0.33224887040849793,0.5935988389003093,0.684645607845258,0.2617470118772684
1612804733875,2021-02-08T17:18:53.875Z,0.9,0.3394452992182848,0.5892859464273859,0.688839156360471,0.25103700692603875
1612804733905,2021-02-08T17:18:53.906Z,0.93,0.34615883740603753,0.5850398516127825,0.692751416871277,0.2408275435522946
1612804733920,2021-02-08T17:18:53.921Z,0.945,0.3524647192592041,0.580950964275838,0.6963110348855325,0.23111802500268794
1612804733935,2021-02-08T17:18:53.936Z,0.96,0.358388198522772,0.576976759805809,0.6995932853789961,0.22186697108000164
1612804733966,2021-02-08T17:18:53.966Z,0.991,0.3638898189466005,0.5731087335656583,0.7026361342874007,0.21315028025183336
1612804733980,2021-02-08T17:18:53.981Z,1.005,0.368997135444409,0.5693688454103236,0.7054541928302507,0.20492587374012874
1612804733995,2021-02-08T17:18:53.995Z,1.02,0.37389554565928834,0.5657977966635126,0.7079942340676149,0.19702573119739716
1612804734010,2021-02-08T17:18:54.011Z,1.035,0.3785812197934233,0.5624037186419918,0.7102514286013729,0.1895289567509205
1612804734040,2021-02-08T17:18:54.041Z,1.065,0.3829614743655395,0.5591869078497993,0.7123046298294398,0.18240785499724899
1612804734055,2021-02-08T17:18:54.056Z,1.08,0.3869083220446666,0.5561270440107715,0.7142296961646226,0.17578567168291234
1612804734070,2021-02-08T17:18:54.070Z,1.095,0.39058548212834515,0.5532264061136621,0.7159766475985806,0.16959057999378263
1612804734100,2021-02-08T17:18:54.100Z,1.125,0.39408765024752657,0.5504349317560019,0.7175697790010269,0.1637373570373179
1612804734115,2021-02-08T17:18:54.116Z,1.14,0.39738916995299134,0.547764996725694,0.7190314037827347,0.15820618300307632
1612804734131,2021-02-08T17:18:54.131Z,1.156,0.4005074509957965,0.5452072031679097,0.7203786530521957,0.1529623598712419
1612804734161,2021-02-08T17:18:54.161Z,1.186,0.403437654126996,0.5427558361314759,0.7216391502791675,0.14795640696532789
1612804734175,2021-02-08T17:18:54.176Z,1.2,0.40628095736808795,0.5403977657900212,0.7227811790772756,0.14315518007004424
1612804734190,2021-02-08T17:18:54.190Z,1.215,0.4090059405086971,0.5380664971078155,0.7238913877711003,0.1384913139137326
1612804734220,2021-02-08T17:18:54.221Z,1.245,0.40869778186994093,0.538242504447566,0.7238782276291077,0.13878559386746173
1612804734235,2021-02-08T17:18:54.235Z,1.26,0.4076601721921449,0.5388548909137525,0.7238161095680172,0.13978136526883175
1612804734250,2021-02-08T17:18:54.250Z,1.275,0.40568439654078914,0.539972104201926,0.7235877451527316,0.14237651545063743
1612804734280,2021-02-08T17:18:54.280Z,1.305,0.4023406438071713,0.5419480377670104,0.722987759410454,0.14731948426453828
1612804734295,2021-02-08T17:18:54.295Z,1.32,0.39843679499910895,0.5448110880027733,0.7214202160191155,0.1548608107269403
1612804734310,2021-02-08T17:18:54.310Z,1.335,0.39559985477612986,0.5488639523005536,0.7177915610261874,0.1643909720322556
