epoch (ms),time (-07:00),elapsed (s),Pressure (Pa)
1612804733319,2021-02-08T17:21:45.119Z,0.32,99535.18587239583
1612804733396,2021-02-08T17:21:45.148Z,0.397,99535.01399739583
1612804733474,2021-02-08T17:21:45.177Z,0.475,99535.01399739583
1612804733552,2021-02-08T17:21:45.194Z,0.553,99534.17805989583
1612804733629,2021-02-08T17:21:45.223Z,0.63,99533.34212239583
1612804733707,2021-02-08T17:21:45.252Z,0.708,99533.34212239583
1612804733784,2021-02-08T17:21:45.268Z,0.785,99532.67024739583
1612804733862,2021-02-08T17:21:45.297Z,0.863,99531.82649739583
1612804733940,2021-02-08T17:21:45.314Z,0.941,99531.82649739583
1612804734017,2021-02-08T17:21:45.342Z,1.018,99531.16243489583
1612804734095,2021-02-08T17:21:45.359Z,1.096,99530.32649739583
1612804734173,2021-02-08T17:21:45.388Z,1.174,99530.32649739583
1612804734250,2021-02-08T17:21:45.417Z,1.251,99529.65462239583
1612804734328,2021-02-08T17:21:45.434Z,1.329,99529.65462239583
1612804734406,2021-02-08T17:21:45.463Z,1.407,99528.15462239583
1612804734483,2021-02-08T17:21:45.492Z,1.484,99528.15462239583
1612804734561,2021-02-08T17:21:45.508Z,1.562,99528.15462239583
1612804734638,2021-02-08T17:21:45.537Z,1.639,99528.15462239583
1612804734716,2021-02-08T17:21:45.554Z,1.717,99527.48274739583
1612804734794,2021-02-08T17:21:45.583Z,1.795,99527.48274739583
1612804734871,2021-02-08T17:21:45.612Z,1.872,99527.48274739583
1612804734949,2021-02-08T17:21:45.629Z,1.95,99527.48274739583
1612804735027,2021-02-08T17:21:45.658Z,2.028,99527.48274739583
1612804735104,2021-02-08T17:21:45.687Z,2.105,99526.63899739583
1612804735182,2021-02-08T17:21:45.703Z,2.183,99526.63899739583
1612804735260,2021-02-08T17:21:45.732Z,2.261,99526.63899739583
1612804735337,2021-02-08T17:21:45.748Z,2.338,99525.96712239583
1612804735415,2021-02-08T17:21:45.777Z,2.416,99525.96712239583
1612804735492,2021-02-08T17:21:45.794Z,2.493,99525.96712239583
