epoch (ms),time (-07:00),elapsed (s),Pressure (Pa)
1612806181428,2021-02-08T17:45:22.828Z,0.279,99510.00611413043
1612806181505,2021-02-08T17:45:22.861Z,0.356,99510.44361413043
1612806181583,2021-02-08T17:45:22.874Z,0.434,99510.20923913043
1612806181661,2021-02-08T17:45:22.903Z,0.512,99511.42798913043
1612806181738,2021-02-08T17:45:22.932Z,0.589,99511.94361413043
1612806181816,2021-02-08T17:45:22.949Z,0.667,99512.50611413043
1612806181894,2021-02-08T17:45:22.977Z,0.745,99512.32642663043
1612806181971,2021-02-08T17:45:22.993Z,0.822,99512.11548913043
1612806182049,2021-02-08T17:45:23.022Z,0.9,99512.72486413043
1612806182126,2021-02-08T17:45:23.038Z,0.977,99512.58423913043
1612806182204,2021-02-08T17:45:23.067Z,1.055,99513.80298913043
1612806182282,2021-02-08T17:45:23.084Z,1.133,99512.92017663043
1612806182359,2021-02-08T17:45:23.112Z,1.21,99513.56080163043
1612806182437,2021-02-08T17:45:23.129Z,1.288,99513.47486413043
1612806182515,2021-02-08T17:45:23.157Z,1.366,99513.38111413043
1612806182592,2021-02-08T17:45:23.187Z,1.443,99513.29517663043
1612806182670,2021-02-08T17:45:23.203Z,1.521,99513.91236413043
1612806182748,2021-02-08T17:45:23.232Z,1.599,99514.60767663043
1612806182825,2021-02-08T17:45:23.249Z,1.676,99513.81861413043
1612806182903,2021-02-08T17:45:23.278Z,1.754,99513.75611413043
1612806182982,2021-02-08T17:45:23.307Z,1.833,99514.45923913043
1612806183058,2021-02-08T17:45:23.324Z,1.909,99514.28736413043
1612806183136,2021-02-08T17:45:23.352Z,1.987,99514.98267663043
1612806183213,2021-02-08T17:45:23.368Z,2.064,99514.19361413043
1612806183292,2021-02-08T17:45:23.397Z,2.143,99514.89673913043
1612806183369,2021-02-08T17:45:23.414Z,2.22,99515.59205163043
1612806183446,2021-02-08T17:45:23.442Z,2.297,99515.50611413043
1612806183524,2021-02-08T17:45:23.472Z,2.375,99515.50611413043
1612806183602,2021-02-08T17:45:23.487Z,2.453,99515.41236413043
1612806183679,2021-02-08T17:45:23.504Z,2.53,99516.11548913043
1612806183757,2021-02-08T17:45:23.532Z,2.608,99516.11548913043
1612806183834,2021-02-08T17:45:23.562Z,2.685,99515.35767663043
1612806183912,2021-02-08T17:45:23.578Z,2.763,99516.05298913043
1612806183990,2021-02-08T17:45:23.607Z,2.841,99516.05298913043
1612806184069,2021-02-08T17:45:23.624Z,2.92,99515.27173913043
1612806184146,2021-02-08T17:45:23.654Z,2.997,99515.27173913043
1612806184224,2021-02-08T17:45:23.682Z,3.075,99515.96705163043
1612806184302,2021-02-08T17:45:23.712Z,3.153,99515.96705163043
1612806184379,2021-02-08T17:45:23.758Z,3.23,99515.96705163043
1612806184457,2021-02-08T17:45:23.787Z,3.308,99516.66236413043
1612806184535,2021-02-08T17:45:23.803Z,3.386,99515.88111413043
1612806184612,2021-02-08T17:45:23.832Z,3.463,99515.88111413043
1612806184690,2021-02-08T17:45:23.849Z,3.541,99515.88111413043
1612806184769,2021-02-08T17:45:23.877Z,3.62,99515.88111413043
1612806184845,2021-02-08T17:45:23.893Z,3.696,99515.88111413043
1612806184923,2021-02-08T17:45:23.922Z,3.774,99516.57642663043
1612806185000,2021-02-08T17:45:23.939Z,3.851,99516.57642663043
1612806185080,2021-02-08T17:45:23.968Z,3.931,99516.57642663043
1612806185156,2021-02-08T17:45:23.997Z,4.007,99515.88111413043
1612806185233,2021-02-08T17:45:24.014Z,4.084,99516.57642663043
1612806185311,2021-02-08T17:45:24.044Z,4.162,99515.88111413043
1612806185389,2021-02-08T17:45:24.057Z,4.24,99516.57642663043
1612806185466,2021-02-08T17:45:24.087Z,4.317,99516.57642663043
1612806185544,2021-02-08T17:45:24.103Z,4.395,99516.57642663043
1612806185622,2021-02-08T17:45:24.132Z,4.473,99516.57642663043
1612806185699,2021-02-08T17:45:24.149Z,4.55,99516.57642663043
1612806185777,2021-02-08T17:45:24.177Z,4.628,99515.78736413043
1612806185854,2021-02-08T17:45:24.194Z,4.705,99515.78736413043
1612806185934,2021-02-08T17:45:24.223Z,4.785,99515.78736413043
1612806186010,2021-02-08T17:45:24.252Z,4.861,99515.78736413043
1612806186087,2021-02-08T17:45:24.269Z,4.938,99515.78736413043
1612806186165,2021-02-08T17:45:24.297Z,5.016,99515.78736413043
1612806186244,2021-02-08T17:45:24.314Z,5.095,99516.49048913043
1612806186322,2021-02-08T17:45:24.343Z,5.173,99516.49048913043
1612806186399,2021-02-08T17:45:24.372Z,5.25,99516.49048913043
1612806186477,2021-02-08T17:45:24.388Z,5.328,99516.49048913043
1612806186555,2021-02-08T17:45:24.432Z,5.406,99516.49048913043
1612806186632,2021-02-08T17:45:24.448Z,5.483,99516.49048913043
1612806186710,2021-02-08T17:45:24.477Z,5.561,99516.49048913043
1612806186788,2021-02-08T17:45:24.494Z,5.639,99516.49048913043
1612806186865,2021-02-08T17:45:24.523Z,5.716,99516.49048913043
1612806186943,2021-02-08T17:45:24.552Z,5.794,99516.49048913043
1612806187020,2021-02-08T17:45:24.568Z,5.871,99516.49048913043
1612806187098,2021-02-08T17:45:24.597Z,5.949,99516.49048913043
1612806187176,2021-02-08T17:45:24.613Z,6.027,99516.49048913043
1612806187253,2021-02-08T17:45:24.642Z,6.104,99517.18580163043
1612806187331,2021-02-08T17:45:24.661Z,6.182,99517.18580163043
1612806187409,2021-02-08T17:45:24.687Z,6.26,99517.18580163043
1612806187486,2021-02-08T17:45:24.704Z,6.337,99517.18580163043
1612806187564,2021-02-08T17:45:24.763Z,6.415,99517.18580163043
1612806187642,2021-02-08T17:45:24.792Z,6.493,99517.18580163043
1612806187719,2021-02-08T17:45:24.808Z,6.57,99517.18580163043
1612806187797,2021-02-08T17:45:24.837Z,6.648,99516.49048913043
1612806187874,2021-02-08T17:45:24.854Z,6.725,99516.49048913043
1612806187952,2021-02-08T17:45:24.883Z,6.803,99517.18580163043
1612806188030,2021-02-08T17:45:24.912Z,6.881,99517.97486413043
1612806188107,2021-02-08T17:45:24.929Z,6.958,99517.97486413043
1612806188185,2021-02-08T17:45:24.958Z,7.036,99517.97486413043
1612806188263,2021-02-08T17:45:24.987Z,7.114,99516.49048913043
1612806188340,2021-02-08T17:45:25.002Z,7.191,99516.49048913043
1612806188418,2021-02-08T17:45:25.019Z,7.269,99516.49048913043
1612806188496,2021-02-08T17:45:25.048Z,7.347,99516.49048913043
1612806188573,2021-02-08T17:45:25.077Z,7.424,99517.27955163043
1612806188651,2021-02-08T17:45:25.094Z,7.502,99517.27955163043
1612806188728,2021-02-08T17:45:25.122Z,7.579,99516.57642663043
1612806188806,2021-02-08T17:45:25.152Z,7.657,99516.57642663043
1612806188884,2021-02-08T17:45:25.168Z,7.735,99517.27955163043
1612806188961,2021-02-08T17:45:25.197Z,7.812,99516.57642663043
1612806189039,2021-02-08T17:45:25.214Z,7.89,99516.57642663043
1612806189117,2021-02-08T17:45:25.243Z,7.968,99516.57642663043
1612806189196,2021-02-08T17:45:25.272Z,8.047,99516.57642663043
1612806189273,2021-02-08T17:45:25.288Z,8.124,99516.57642663043
1612806189351,2021-02-08T17:45:25.317Z,8.202,99516.57642663043
1612806189429,2021-02-08T17:45:25.334Z,8.28,99516.57642663043
1612806189506,2021-02-08T17:45:25.362Z,8.357,99515.88111413043
1612806189584,2021-02-08T17:45:25.379Z,8.435,99515.88111413043
