epoch (ms),time (-07:00),elapsed (s),Pressure (Pa)
1612806512039,2021-02-08T17:50:45.013Z,0.285,99505.59986413043
1612806512116,2021-02-08T17:50:45.030Z,0.362,99506.30298913043
1612806512194,2021-02-08T17:50:45.059Z,0.44,99505.50611413043
1612806512271,2021-02-08T17:50:45.076Z,0.517,99505.50611413043
1612806512349,2021-02-08T17:50:45.105Z,0.595,99505.50611413043
1612806512427,2021-02-08T17:50:45.134Z,0.673,99505.50611413043
1612806512504,2021-02-08T17:50:45.150Z,0.75,99505.42798913043
1612806512582,2021-02-08T17:50:45.166Z,0.828,99505.42798913043
1612806512660,2021-02-08T17:50:45.195Z,0.906,99504.72486413043
1612806512737,2021-02-08T17:50:45.224Z,0.983,99504.72486413043
1612806512815,2021-02-08T17:50:45.240Z,1.061,99504.72486413043
1612806512893,2021-02-08T17:50:45.269Z,1.139,99504.72486413043
1612806512970,2021-02-08T17:50:45.286Z,1.216,99504.72486413043
1612806513048,2021-02-08T17:50:45.314Z,1.294,99504.72486413043
1612806513125,2021-02-08T17:50:45.344Z,1.371,99504.02173913043
1612806513203,2021-02-08T17:50:45.360Z,1.449,99504.02173913043
1612806513281,2021-02-08T17:50:45.420Z,1.527,99504.02173913043
1612806513358,2021-02-08T17:50:45.449Z,1.604,99503.32642663043
1612806513436,2021-02-08T17:50:45.465Z,1.682,99503.32642663043
1612806513514,2021-02-08T17:50:45.481Z,1.76,99503.32642663043
1612806513591,2021-02-08T17:50:45.510Z,1.837,99503.32642663043
1612806513669,2021-02-08T17:50:45.539Z,1.915,99503.32642663043
1612806513747,2021-02-08T17:50:45.556Z,1.993,99503.32642663043
1612806513824,2021-02-08T17:50:45.584Z,2.07,99502.63111413043
1612806513902,2021-02-08T17:50:45.601Z,2.148,99502.63111413043
1612806513979,2021-02-08T17:50:45.629Z,2.225,99502.63111413043
1612806514057,2021-02-08T17:50:45.659Z,2.303,99502.63111413043
1612806514135,2021-02-08T17:50:45.675Z,2.381,99503.32642663043
1612806514212,2021-02-08T17:50:45.704Z,2.458,99502.63111413043
1612806514290,2021-02-08T17:50:45.721Z,2.536,99502.63111413043
1612806514368,2021-02-08T17:50:45.750Z,2.614,99502.63111413043
1612806514445,2021-02-08T17:50:45.779Z,2.691,99502.63111413043
1612806514523,2021-02-08T17:50:45.796Z,2.769,99501.92798913043
1612806514601,2021-02-08T17:50:45.811Z,2.847,99501.92798913043
1612806514678,2021-02-08T17:50:45.840Z,2.924,99501.92798913043
1612806514756,2021-02-08T17:50:45.869Z,3.002,99501.92798913043
1612806514835,2021-02-08T17:50:45.886Z,3.081,99501.92798913043
1612806514913,2021-02-08T17:50:45.914Z,3.159,99501.92798913043
1612806514990,2021-02-08T17:50:45.944Z,3.236,99501.92798913043
1612806515068,2021-02-08T17:50:45.960Z,3.314,99501.92798913043
1612806515145,2021-02-08T17:50:45.989Z,3.391,99501.22486413043
1612806515223,2021-02-08T17:50:46.004Z,3.469,99501.22486413043
1612806515301,2021-02-08T17:50:46.034Z,3.547,99501.22486413043
1612806515378,2021-02-08T17:50:46.050Z,3.624,99501.22486413043
1612806515456,2021-02-08T17:50:46.079Z,3.702,99501.22486413043
1612806515534,2021-02-08T17:50:46.095Z,3.78,99501.22486413043
1612806515611,2021-02-08T17:50:46.124Z,3.857,99500.52955163043
1612806515689,2021-02-08T17:50:46.141Z,3.935,99500.52955163043
1612806515767,2021-02-08T17:50:46.170Z,4.013,99500.52955163043
1612806515844,2021-02-08T17:50:46.199Z,4.09,99500.52955163043
1612806515922,2021-02-08T17:50:46.216Z,4.168,99501.22486413043
1612806515999,2021-02-08T17:50:46.244Z,4.245,99502.02173913043
1612806516077,2021-02-08T17:50:46.261Z,4.323,99501.22486413043
1612806516155,2021-02-08T17:50:46.289Z,4.401,99502.02173913043
1612806516232,2021-02-08T17:50:46.319Z,4.478,99502.02173913043
1612806516310,2021-02-08T17:50:46.335Z,4.556,99502.02173913043
1612806516388,2021-02-08T17:50:46.364Z,4.634,99501.31861413043
1612806516465,2021-02-08T17:50:46.412Z,4.711,99502.02173913043
1612806516543,2021-02-08T17:50:46.439Z,4.789,99502.02173913043
1612806516621,2021-02-08T17:50:46.456Z,4.867,99502.02173913043
1612806516698,2021-02-08T17:50:46.484Z,4.944,99502.02173913043
1612806516776,2021-02-08T17:50:46.514Z,5.022,99502.02173913043
1612806516853,2021-02-08T17:50:46.530Z,5.099,99502.02173913043
1612806516931,2021-02-08T17:50:46.559Z,5.177,99502.02173913043
1612806517009,2021-02-08T17:50:46.575Z,5.255,99502.02173913043
1612806517086,2021-02-08T17:50:46.604Z,5.332,99502.02173913043
1612806517164,2021-02-08T17:50:46.621Z,5.41,99502.02173913043
1612806517242,2021-02-08T17:50:46.664Z,5.488,99502.02173913043
1612806517319,2021-02-08T17:50:46.681Z,5.565,99502.02173913043
1612806517397,2021-02-08T17:50:46.696Z,5.643,99502.02173913043
1612806517475,2021-02-08T17:50:46.724Z,5.721,99502.70923913043
1612806517552,2021-02-08T17:50:46.741Z,5.798,99502.70923913043
1612806517630,2021-02-08T17:50:46.769Z,5.876,99502.70923913043
1612806517707,2021-02-08T17:50:46.786Z,5.953,99502.70923913043
