epoch (ms),time (-07:00),elapsed (s),W-Axis,X-Axis (i),Y-Axis (j),Z-Axis (k)
1612807656460,2021-02-08T18:07:36.460Z,0,0.4593918270690425,0.6583062535774017,-0.33288125797501666,-0.4947545793744844
1612807656475,2021-02-08T18:07:36.475Z,0.015,0.4593918270690425,0.6583062535774017,-0.33288125797501666,-0.4947545793744844
1612807656505,2021-02-08T18:07:36.506Z,0.045,0.4593918270690425,0.6583062535774017,-0.33288125797501666,-0.4947545793744844
1612807656520,2021-02-08T18:07:36.520Z,0.06,0.4593918270690425,0.6583062535774017,-0.33288125797501666,-0.4947545793744844
1612807656535,2021-02-08T18:07:36.536Z,0.075,0.4593918270690425,0.6583062535774017,-0.33288125797501666,-0.4947545793744844
1612807656565,2021-02-08T18:07:36.566Z,0.105,0.4551337486064837,0.660395710222254,-0.327396851269795,-0.49954186869378503
1612807656580,2021-02-08T18:07:36.580Z,0.12,0.44684807301003066,0.6642597595578391,-0.31674560712775374,-0.5086826042284667
1612807656595,2021-02-08T18:07:36.596Z,0.135,0.4389150946998438,0.6677141153719467,-0.30656758615911006,-0.5172308139450533
1612807656625,2021-02-08T18:07:36.625Z,0.165,0.43130207790117664,0.6708210951508509,-0.29684086896168543,-0.5252266885953264
1612807656640,2021-02-08T18:07:36.640Z,0.18,0.4239738271777544,0.673651265530361,-0.2875639569857077,-0.5326792064275765
1612807656655,2021-02-08T18:07:36.656Z,0.195,0.416958199146721,0.676205929869185,-0.2787329083803243,-0.5396289154223667
1612807656685,2021-02-08T18:07:36.685Z,0.225,0.41025523871006486,0.6785116775041525,-0.2703430898412287,-0.5461017820668104
1612807656700,2021-02-08T18:07:36.700Z,0.24,0.4038661506089199,0.6805690403989336,-0.2623531510806255,-0.5521673095728094
1612807656715,2021-02-08T18:07:36.715Z,0.255,0.3977711596944365,0.6824173555264199,-0.2547547288268713,-0.5578393008134317
1612807656745,2021-02-08T18:07:36.745Z,0.285,0.39194989933743374,0.684085603561189,-0.2475258662893327,-0.5631457261912007
1612807656760,2021-02-08T18:07:36.760Z,0.3,0.3864017862902232,0.6855920918308271,-0.2406653346765947,-0.5680997622387799
1612807656775,2021-02-08T18:07:36.775Z,0.315,0.3810922778856397,0.6869830589164936,-0.23415734675871766,-0.572706983942565
1612807656805,2021-02-08T18:07:36.805Z,0.345,0.3760434309679223,0.6882270598134339,-0.22797494103142504,-0.5770288367388131
1612807656820,2021-02-08T18:07:36.820Z,0.36,0.3712444218152433,0.68934888227794,-0.22211583448199318,-0.5810682006835242
1612807656835,2021-02-08T18:07:36.835Z,0.375,0.3667256252958621,0.6903317184866838,-0.21658962130038992,-0.5848447402067789
1612807656865,2021-02-08T18:07:36.865Z,0.405,0.3624834612148637,0.6911960768454808,-0.21140132623824126,-0.5883563571202585
1612807656880,2021-02-08T18:07:36.880Z,0.42,0.3584495792243694,0.6920049064896708,-0.20651147108590887,-0.5916046998275356
1612807656895,2021-02-08T18:07:36.895Z,0.435,0.35463134649871253,0.6927483170697352,-0.20190878284839006,-0.5946168688207906
