epoch (ms),time (-07:00),elapsed (s),X-Axis (T),Y-Axis (T),Z-Axis (T)
1612807113830,2021-02-08T18:03:48.869Z,0.093,-39.440277099609375,-10.004166603088379,-46.75138854980469
1612807113869,2021-02-08T18:03:48.871Z,0.132,-38.315277099609375,-8.504166603088379,-46.81388854980469
1612807113909,2021-02-08T18:03:48.885Z,0.172,-41.252777099609375,-9.629166603088379,-46.06388854980469
1612807113949,2021-02-08T18:03:48.900Z,0.212,-38.315277099609375,-22.504167556762695,-46.12638854980469
1612807113988,2021-02-08T18:03:48.914Z,0.251,-39.065277099609375,-10.004166603088379,-46.93888854980469
1612807114025,2021-02-08T18:03:48.915Z,0.288,-39.440277099609375,-10.004166603088379,-45.37638854980469
1612807114064,2021-02-08T18:03:48.930Z,0.327,-40.502777099609375,-11.504166603088379,-46.18888854980469
1612807114105,2021-02-08T18:03:48.945Z,0.368,-39.440277099609375,-9.629166603088379,-44.93888854980469
1612807114145,2021-02-08T18:03:48.960Z,0.408,-39.065277099609375,-11.129166603088379,-45.37638854980469
1612807114184,2021-02-08T18:03:48.990Z,0.447,-38.315277099609375,-9.254166603088379,-47.75138854980469
1612807114224,2021-02-08T18:03:49.004Z,0.487,-38.690277099609375,-10.754166603088379,-46.25138854980469
1612807114263,2021-02-08T18:03:49.006Z,0.526,-40.190277099609375,-26.191667556762695,-45.43888854980469
1612807114303,2021-02-08T18:03:49.021Z,0.566,-39.065277099609375,-12.191666603088379,-46.62638854980469
1612807114343,2021-02-08T18:03:49.065Z,0.606,-39.065277099609375,-11.504166603088379,-44.18888854980469
1612807114382,2021-02-08T18:03:49.080Z,0.645,-39.065277099609375,-12.941666603088379,-46.62638854980469
1612807114422,2021-02-08T18:03:49.094Z,0.685,-38.315277099609375,-11.129166603088379,-47.06388854980469
1612807114463,2021-02-08T18:03:49.109Z,0.726,-39.440277099609375,-11.504166603088379,-45.87638854980469
1612807114502,2021-02-08T18:03:49.111Z,0.765,-39.440277099609375,-12.191666603088379,-45.87638854980469
1612807114542,2021-02-08T18:03:49.140Z,0.805,-39.065277099609375,-10.379166603088379,-45.56388854980469
1612807114581,2021-02-08T18:03:49.154Z,0.844,-39.440277099609375,-9.316666603088379,-45.93888854980469
1612807114621,2021-02-08T18:03:49.184Z,0.884,-39.440277099609375,-10.004166603088379,-45.93888854980469
1612807114660,2021-02-08T18:03:49.186Z,0.923,-39.440277099609375,-10.004166603088379,-46.75138854980469
1612807114700,2021-02-08T18:03:49.200Z,0.963,-39.065277099609375,-12.191666603088379,-45.06388854980469
1612807114741,2021-02-08T18:03:49.215Z,1.004,-38.690277099609375,-10.004166603088379,-46.68888854980469
1612807114781,2021-02-08T18:03:49.230Z,1.044,-40.190277099609375,-11.879166603088379,-45.87638854980469
1612807114820,2021-02-08T18:03:49.260Z,1.083,-39.440277099609375,-10.004166603088379,-45.56388854980469
1612807114860,2021-02-08T18:03:49.274Z,1.123,-39.815277099609375,-9.316666603088379,-46.75138854980469
1612807114899,2021-02-08T18:03:49.320Z,1.162,-39.815277099609375,-10.004166603088379,-46.68888854980469
1612807114939,2021-02-08T18:03:49.334Z,1.202,-39.440277099609375,-12.941666603088379,-46.37638854980469
1612807114978,2021-02-08T18:03:49.336Z,1.241,-39.815277099609375,-17.754167556762695,-47.18888854980469
1612807115019,2021-02-08T18:03:49.365Z,1.282,-39.440277099609375,-14.441666603088379,-44.75138854980469
1612807115059,2021-02-08T18:03:49.395Z,1.322,-39.440277099609375,-24.316667556762695,-44.37638854980469
1612807115098,2021-02-08T18:03:49.409Z,1.361,-38.690277099609375,-11.129166603088379,-45.93888854980469
1612807115138,2021-02-08T18:03:49.424Z,1.401,-39.440277099609375,-14.441666603088379,-43.43888854980469
1612807115178,2021-02-08T18:03:49.426Z,1.441,-40.190277099609375,-10.379166603088379,-46.37638854980469
1612807115217,2021-02-08T18:03:49.456Z,1.48,-39.065277099609375,-10.004166603088379,-46.37638854980469
1612807115257,2021-02-08T18:03:49.474Z,1.52,-38.690277099609375,-10.379166603088379,-45.12638854980469
1612807115298,2021-02-08T18:03:49.485Z,1.561,-39.065277099609375,-9.629166603088379,-47.12638854980469
1612807115337,2021-02-08T18:03:49.500Z,1.6,-38.315277099609375,-10.004166603088379,-45.93888854980469
1612807115377,2021-02-08T18:03:49.515Z,1.64,-39.065277099609375,-10.004166603088379,-46.75138854980469
1612807115416,2021-02-08T18:03:49.544Z,1.679,-39.440277099609375,-9.629166603088379,-46.75138854980469
1612807115456,2021-02-08T18:03:49.546Z,1.719,-39.440277099609375,-8.941666603088379,-45.50138854980469
1612807115495,2021-02-08T18:03:49.560Z,1.758,-38.690277099609375,-9.629166603088379,-45.93888854980469
1612807115535,2021-02-08T18:03:49.575Z,1.798,-39.815277099609375,-10.754166603088379,-47.12638854980469
1612807115574,2021-02-08T18:03:49.590Z,1.837,-38.690277099609375,-9.629166603088379,-45.12638854980469
1612807115616,2021-02-08T18:03:49.619Z,1.879,-39.815277099609375,-11.129166603088379,-45.56388854980469
1612807115655,2021-02-08T18:03:49.621Z,1.918,-39.815277099609375,-9.629166603088379,-47.56388854980469
1612807115695,2021-02-08T18:03:49.651Z,1.958,-40.190277099609375,-10.004166603088379,-45.12638854980469
1612807115734,2021-02-08T18:03:49.665Z,1.997,-39.065277099609375,-11.504166603088379,-46.37638854980469
1612807115774,2021-02-08T18:03:49.680Z,2.037,-39.815277099609375,-11.129166603088379,-46.75138854980469
1612807115813,2021-02-08T18:03:49.696Z,2.076,-39.440277099609375,-9.316666603088379,-45.93888854980469
1612807115853,2021-02-08T18:03:49.711Z,2.116,-40.190277099609375,-25.816667556762695,-45.56388854980469
1612807115892,2021-02-08T18:03:49.740Z,2.155,-39.440277099609375,-9.629166603088379,-46.75138854980469
1612807115933,2021-02-08T18:03:49.754Z,2.196,-39.065277099609375,-11.129166603088379,-45.56388854980469
1612807115973,2021-02-08T18:03:49.769Z,2.236,-39.815277099609375,-10.004166603088379,-45.12638854980469
1612807116012,2021-02-08T18:03:49.784Z,2.275,-39.440277099609375,-8.191666603088379,-46.75138854980469
1612807116052,2021-02-08T18:03:49.786Z,2.315,-40.565277099609375,-10.004166603088379,-45.56388854980469
1612807116092,2021-02-08T18:03:49.816Z,2.355,-39.065277099609375,-16.254167556762695,-46.43888854980469
1612807116131,2021-02-08T18:03:49.830Z,2.394,-40.190277099609375,-15.191666603088379,-45.18888854980469
1612807116171,2021-02-08T18:03:49.876Z,2.434,-40.565277099609375,-14.816666603088379,-44.75138854980469
1612807116212,2021-02-08T18:03:49.890Z,2.475,-39.815277099609375,-9.316666603088379,-46.37638854980469
1612807116251,2021-02-08T18:03:49.920Z,2.514,-38.690277099609375,-11.504166603088379,-45.12638854980469
1612807116291,2021-02-08T18:03:49.949Z,2.554,-38.315277099609375,-11.504166603088379,-44.81388854980469
1612807116330,2021-02-08T18:03:49.964Z,2.593,-40.190277099609375,-10.379166603088379,-45.12638854980469
1612807116370,2021-02-08T18:03:49.966Z,2.633,-39.440277099609375,-10.004166603088379,-45.18888854980469
1612807116411,2021-02-08T18:03:49.980Z,2.674,-38.315277099609375,-9.629166603088379,-43.93888854980469
1612807116449,2021-02-08T18:03:50.010Z,2.712,-39.065277099609375,-8.566666603088379,-44.75138854980469
1612807116489,2021-02-08T18:03:50.025Z,2.752,-39.065277099609375,-10.379166603088379,-45.12638854980469
1612807116530,2021-02-08T18:03:50.040Z,2.793,-39.440277099609375,-12.941666603088379,-44.43888854980469
1612807116569,2021-02-08T18:03:50.054Z,2.832,-39.440277099609375,-11.129166603088379,-46.06388854980469
1612807116609,2021-02-08T18:03:50.114Z,2.872,-39.440277099609375,-8.941666603088379,-45.56388854980469
1612807116648,2021-02-08T18:03:50.116Z,2.911,-39.065277099609375,-22.129167556762695,-46.75138854980469
1612807116688,2021-02-08T18:03:50.130Z,2.951,-39.065277099609375,-10.754166603088379,-48.00138854980469
1612807116727,2021-02-08T18:03:50.174Z,2.99,-39.440277099609375,-10.379166603088379,-46.81388854980469
1612807116767,2021-02-08T18:03:50.220Z,3.03,-39.065277099609375,-9.316666603088379,-47.56388854980469
1612807116808,2021-02-08T18:03:50.235Z,3.071,-39.815277099609375,-10.379166603088379,-48.75138854980469
1612807116847,2021-02-08T18:03:50.250Z,3.11,-39.440277099609375,-9.629166603088379,-48.31388854980469
1612807116887,2021-02-08T18:03:50.265Z,3.15,-39.815277099609375,-11.129166603088379,-48.75138854980469
1612807116927,2021-02-08T18:03:50.295Z,3.19,-39.815277099609375,-8.566666603088379,-46.75138854980469
1612807116966,2021-02-08T18:03:50.309Z,3.229,-40.190277099609375,-10.379166603088379,-46.75138854980469
1612807117006,2021-02-08T18:03:50.311Z,3.269,-39.440277099609375,-10.754166603088379,-47.50138854980469
1612807117045,2021-02-08T18:03:50.325Z,3.308,-39.440277099609375,-9.629166603088379,-47.06388854980469
1612807117086,2021-02-08T18:03:50.341Z,3.349,-39.440277099609375,-8.941666603088379,-48.31388854980469
1612807117126,2021-02-08T18:03:50.371Z,3.389,-38.315277099609375,-8.566666603088379,-48.00138854980469
1612807117165,2021-02-08T18:03:50.389Z,3.428,-39.815277099609375,-10.379166603088379,-47.18888854980469
1612807117205,2021-02-08T18:03:50.431Z,3.468,-38.690277099609375,-9.629166603088379,-46.37638854980469
1612807117244,2021-02-08T18:03:50.445Z,3.507,-39.440277099609375,-12.566666603088379,-47.12638854980469
1612807117284,2021-02-08T18:03:50.475Z,3.547,-37.940277099609375,-15.879166603088379,-47.18888854980469
1612807117324,2021-02-08T18:03:50.504Z,3.587,-39.065277099609375,-17.754167556762695,-46.37638854980469
1612807117363,2021-02-08T18:03:50.506Z,3.626,-40.565277099609375,-10.379166603088379,-48.00138854980469
1612807117404,2021-02-08T18:03:50.536Z,3.667,-38.690277099609375,-9.316666603088379,-46.75138854980469
1612807117444,2021-02-08T18:03:50.565Z,3.707,-39.440277099609375,-23.629167556762695,-46.81388854980469
1612807117483,2021-02-08T18:03:50.579Z,3.746,-39.065277099609375,-9.629166603088379,-49.50138854980469
