epoch (ms),time (-07:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1612807113757,2021-02-08T18:03:48.859Z,0.016,0.22538064420223236,0.08354603499174118,0.9586681127548218
1612807113797,2021-02-08T18:03:48.861Z,0.056,0.21903298795223236,0.08842884749174118,0.9691661596298218
1612807113836,2021-02-08T18:03:48.862Z,0.095,0.22440408170223236,0.08134876936674118,0.9677013158798218
1612807113876,2021-02-08T18:03:48.873Z,0.135,0.22489236295223236,0.08427845686674118,0.9667247533798218
1612807113916,2021-02-08T18:03:48.876Z,0.175,0.22538064420223236,0.08598744124174118,0.9652599096298218
1612807113955,2021-02-08T18:03:48.877Z,0.214,0.22367165982723236,0.08647572249174118,0.9677013158798218
1612807113995,2021-02-08T18:03:48.888Z,0.254,0.22415994107723236,0.08379017561674118,0.9677013158798218
1612807114036,2021-02-08T18:03:48.891Z,0.295,0.22220681607723236,0.09282337874174118,0.9689220190048218
1612807114075,2021-02-08T18:03:48.893Z,0.334,0.22440408170223236,0.09111439436674118,0.9657481908798218
1612807114115,2021-02-08T18:03:48.904Z,0.374,0.22489236295223236,0.08647572249174118,0.9650157690048218
1612807114154,2021-02-08T18:03:48.906Z,0.413,0.22538064420223236,0.08623158186674118,0.9645274877548218
1612807114194,2021-02-08T18:03:48.908Z,0.453,0.22733376920223236,0.08696400374174118,0.9635509252548218
1612807114233,2021-02-08T18:03:48.920Z,0.492,0.22611306607723236,0.08501087874174118,0.9652599096298218
1612807114273,2021-02-08T18:03:48.922Z,0.532,0.22708962857723236,0.08891712874174118,0.9679454565048218
1612807114313,2021-02-08T18:03:48.933Z,0.572,0.22196267545223236,0.09453236311674118,0.9681895971298218
1612807114352,2021-02-08T18:03:48.935Z,0.611,0.22220681607723236,0.08256947249174118,0.9667247533798218
1612807114392,2021-02-08T18:03:48.938Z,0.651,0.22342751920223236,0.08354603499174118,0.9652599096298218
1612807114431,2021-02-08T18:03:48.948Z,0.69,0.22489236295223236,0.09038197249174118,0.9677013158798218
1612807114471,2021-02-08T18:03:48.951Z,0.73,0.22904275357723236,0.08427845686674118,0.9640392065048218
1612807114510,2021-02-08T18:03:48.952Z,0.769,0.22367165982723236,0.08574330061674118,0.9672130346298218
1612807114551,2021-02-08T18:03:48.978Z,0.81,0.22586892545223236,0.08867298811674118,0.9681895971298218
1612807114591,2021-02-08T18:03:48.980Z,0.85,0.22342751920223236,0.09038197249174118,0.9674571752548218
1612807114630,2021-02-08T18:03:48.982Z,0.889,0.22513650357723236,0.08452259749174118,0.9662364721298218
1612807114670,2021-02-08T18:03:48.993Z,0.929,0.22953103482723236,0.08623158186674118,0.9667247533798218
1612807114709,2021-02-08T18:03:48.996Z,0.968,0.22367165982723236,0.09062611311674118,0.9691661596298218
